accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why	page_ok	description	accessibility_page	study_type	release_date_page	n_listing	listing_kinds	example_run_files	processed_on_hra
HRA014880	PRJCA050452	RNA sequencing following RASA4 knockdown in small cell lung cancer cells	Hefei Institutes of Physical Science, Chinese Academy of Sciences	0	Open	0	2026-01-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014880	True	False	False	False	False	lung	True	In the small cell lung cancer cell line SBC-2, we knocked down the RASA4 gene using shRNA delivered by lentiviral vectors. Subsequently, RNA sequencing was performed on both the control (Scramble) and experimental (shRASA4) groups, with three biological replicates set up for each.	Open access	Cell line related study	2025-11-24	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2896057_f1.fastq.gz,HRR2896057_r2.fastq.gz,HRR2896057_sta.xml,(.+?)	0
HRA014533	PRJCA050452	Methylome profiling of tumor tissue and plasma cell-free DNA identifies a novel epigenetic silenced tumor suppressor RASA4 in small cell lung cancer	Hefei Institutes of Physical Science, Chinese Academy of Sciences	0	Open	0	2026-01-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014533	True	False	False	False	False	lung	True	We performed Methylated DNA Immunoprecipitation Sequencing (MeDIP-seq) to conduct whole-genome methylation profiling on paired primary tumor tissues and adjacent normal tissues from patients with limited-stage small cell lung cancer (LS-SCLC) who underwent surgical treatment. In parallel, blood samples collected from patients with extensive-stage small cell lung cancer (ES-SCLC) before chemotherapy and at disease progression after developing chemoresistance were also analyzed.	Open access	Disease Study	2025-11-21	0	{}		0
HRA014782	PRJCA051539	mRNA half-life profiling of METTL3 inhibitor STM2457-treated human large cell lung carcinoma cell line	Peking University Health Science Center	0	Open	0	2025-12-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014782	True	False	False	False	False	lung	True	N6-methyladenosine (m6A) methylation has emerged as a prevalent RNA modification that extensively impacts various physiological and pathological processes via various post-transcriptional readout effects in mammals. High-throughput methylome profiling has outlined the landscape of m6A modification sites, but their downstream readouts require comprehensive investigation. METTL3 has been highlighted as the core component of the m6A writer complex, which can be effectively inhibited by the inhibitor STM2457. Therefore, to investigate the readout effect of m6A on the human large cell lung carcinoma cell line H460, cells were grouped into STM2457-treated and control cells. Actinomycin-D (a transcription inhibitor)-treated time-series transcriptome sequencing (with ERCC spike-in) was employed to profile and compare the mRNA half-life levels between the two groups. The results suggested that the half-life of thousands of m6A target genes was perturbed by the METTL3 inhibitor STM2457 in the H460 cell line.	Open access	Cell line related study	2025-11-20	18	"{""run_or_nested"": 16, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2884077_f1.fq.gz,HRR2884077_r2.fq.gz,HRR2884077_sta.xml,(.+?)	0
HRA014488	PRJCA050456	A case of pulmonary nodular lesion caused by Tropheryma whipplei infection: a case report and literature review	The Second Affiliated Hospital of Nanjing Medical University, Nanjing City, Jiangsu Province, China	0	Open	0	2025-12-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014488	True	False	False	False	False	lung	True	Target-enriched NGS (tNGS) for pathogen detection in BALF samples from a patient cohort.Standard library construction protocol for target-enriched metagenomic sequencing was followed.	Open access	Human metagenome	2025-11-10	3	"{""run_or_nested"": 1, ""md5"": 1, ""other"": 1, ""fastq"": 1}"	HRR2865562.fastq.gz,HRR2865562_sta.xml,(.+?)	0
HRA011985	PRJCA041862	A translational study on the survival outcome and molecular mechanism of PD-L1 expression status in EGFR-mutant lung adenocarcinoma treated with osimertinib	Hunan Cancer Hospital	1	Controlled	0	2026-07-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011985	True	True	False	False	False	lung+ici	True	Highly expressed PD-L1 is associated with poor clinical outcomes in EGFR-mutated NSCLC patients receiving EGFR TKIs. However, the prognostic significance of PD-L1 expression with first-line osimertinib remains unclear. In this retrospective study, we analyzed 317 EGFR-mutated stage III-IV lung adenocarcinoma patients treated with first-line osimertinib. High PD-L1 expression demonstrated significantly shorter progression-free survival (12.2 vs. 21.5 months, p<0.001) and overall survival (31.9 vs. 38.9 months, p=0.025) compared to low PD-L1 expression. Transcriptomic analysis revealed upregulation of IFNG and IL-6/JAK/STAT3 signaling pathways in high PD-L1 tumors.Flow cytometry identified an increased proportion of CD56bright natural killer cells in high PD-L1 patients. In vitro experiments demonstrated that IFNG induces PD-L1 expression via STAT3 activation.	Controlled access	Disease Study	2025-11-01	0	{}		0
HRA014210	PRJCA049293	Osimertinib with or without savolitinib as first-line treatment for MET-aberrant, EGFR-mutant NSCLC: randomized phase 2 trial (FLOWERS)	Guangdong Lung Cancer Institute, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, 510080, China	0	Open	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA014210	True	False	False	False	False	lung	True	Poor response to EGFR inhibitor alone is seen in advanced non-small cell lung cancer with EGFR mutations and de novo MET aberrations. This Phase 2 randomized trial shows promising antitumor activity and good safety in such patients treated with first-line osimertinib plus savolitinib.	Open access	Disease Study	2025-10-28	0	{}		0
HRA010868	PRJCA037426	Time-course RNA-seq data from NSCLC cells treated with alectinib	Sun Yat-sen University Cancer Center	0	Open	0	2026-07-20	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010868	True	False	False	False	False	lung	True	Time-course RNA-seq data from ALK-rearrenged NSCLC cells treated with alectinib(0, 0.5 d, 1 d, 2 d, 4 d, 8 d, 12 d, 20 d, and 32 d)	Open access	Cell line related study	2025-10-26	114	"{""run_or_nested"": 112, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2265926_f1.fq.gz,HRR2265926_r2.fq.gz,HRR2265926_sta.xml,(.+?)	0
HRA013880	PRJCA013277	Transcriptome Profiling of Tumor-Infiltrating Lymphocyte-Mediated Cytotoxicity against Patient-Derived Lung Cancer Organoids	Peking University Shenzhen Hospital	0	Open	0	2026-03-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013880	True	False	False	False	False	lung	True	Non-small cell lung cancer (NSCLC) is a leading cause of cancer mortality, and therapies utilizing tumor-infiltrating lymphocytes (TILs) show significant promise. However, molecular signatures defining a productive TIL-mediated response remain poorly characterized. Here, we establish a patient-derived organoid and autologous TIL co-culture platform to show that expanded TILs mediate potent, specific cytotoxicity against NSCLC organoids. This functional response is associated with a crucial shift in T-cell states from proliferative towards effector memory phenotypes and involves activating key signaling networks, including the TNF and IL-17 pathways. Furthermore, T-cell receptor (TCR) analysis confirms the expansion process selectively enriches tumor-associated clonotypes, resulting in a more focused repertoire. This work delineates the transcriptional and clonal signatures of an effective anti-tumor immune response, providing a robust framework to guide next-generation personalized TIL therapies.	Open access	Disease Study	2025-10-22	6	"{""run_or_nested"": 4, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2832809_f1.fastq.gz,HRR2832809_r2.fastq.gz,HRR2832809_sta.xml,(.+?)	0
HRA012938	PRJCA042751	Efficiency and safety of sintilimab-based induction therapy in potentially resectable stage III non-small cell lung cancer (LungMate-009): A phase 2 trial	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012938	True	True	True	False	False	lung+ici+neoadjuvant	True	This trial aimed to evaluate the safety and feasibility of administering sintilimab-based induction therapy for potentially resectable stage III NSCLC to offer a more advantageous therapeutic strategy. Bulk RNA-seq and WES of baseline and post-treatment samples were conducted to investigate the tumor microenvironment and identify potential biomarkers.	Controlled access	Disease Study	2025-10-01	0	{}		0
HRA012744	PRJCA044039	Circulating tumor DNA refines consolidation immunotherapy for limited-stage small cell lung cancer patients	Cancer Hospital, Chinese Academy of Medical Sciences	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012744	True	True	False	False	False	lung+ici	True	Circulating tumor DNA refines consolidation immunotherapy for limited-stage small cell lung cancer patients	Controlled access	Disease Study	2025-09-10	0	{}		0
HRA013141	PRJCA045802	ATAC-Seq Analysis of Chromatin Accessibility in NCI-H1688 Small Cell Lung Cancer (SCLC) Cells with XPO1 Knockdow	Tianjin Medical University Cancer Institute and Hospital	0	Open	0	2026-07-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA013141	True	False	False	False	False	lung	True	Small cell lung cancer (SCLC) remains one of the most aggressive malignancies, with limited advances in targeted therapies and only incremental benefits from immune checkpoint inhibitors (ICIs), largely due to its profoundly immunosuppressive tumor microenvironment and lack of precision strategies to reprogram it. Here, we identify Exportin 1 (XPO1) as an upstream orchestrator of immune suppression in SCLC. Mechanistically, XPO1 promotes TRIM21-mediated nuclear export and proteasomal degradation of IRF3, repressing the immunostimulatory cytokine TNFSF15. TNFSF15 loss drives differentiation of TREM2+ macrophages and dictates immune exclusion. These macrophages attenuate STAT1 signaling in tumor cells, downregulating MHC I and impairing antigen presentation. Pharmacologic or genetic XPO1 blockade restores TNFSF15, constrains TREM2+ macrophage differentiation and enhances anti-PD-1 efficacy in vivo.	Open access	Cell line related study	2025-09-09	6	"{""run_or_nested"": 4, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2735626_f1.fq.gz,HRR2735626_r2.fq.gz,HRR2735626_sta.xml,(.+?)	0
HRA011029	PRJCA038343	Enhancer Reprogramming Reveals the tumorigenic role of PTPRZ1  in Lung Squamous Cell Carcinoma	Northwest University	0	Open	0	2026-06-29	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011029	True	False	False	False	False	lung	True	Lung squamous cell carcinoma (LUSC) remains a lethal malignancy with limited therapeutic advancements, underscoring the need to identify novel oncogenic drivers. Here, we integrated multi-omics analyses-including ChIP-seq, bulk RNA-seq, single-cell ATAC/RNA-seq, and spatial transcriptomics-to delineate enhancer-driven transcriptional networks in 59 matched LUSC tumors and adjacent normal tissues.	Open access	Cell line related study	2025-09-02	38	"{""run_or_nested"": 36, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2300759_f1.fq.gz,HRR2300759_r2.fq.gz,HRR2300759_sta.xml,(.+?)	0
HRA012872	PRJCA044537	CTLA-4 Haploinsufficiency (CHAI syndrome) presenting as Colchicine-Resistant Familial Mediterranean Fever: expanding the differential diagnosis in autoinflammatory syndromes	Tehran University of Medical Sciences	0	Open	0	2025-08-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012872	False	True	False	False	False	ici	True	we discuss a 5-year-old boy who presented with recurrent fevers, gastrointestinal symptoms, thrombocytopenia, and features resembling Familial Mediterranean Fever (FMF) that were unresponsive to colchicine treatment. Despite identifying a positive MEFV mutation, colchicine did not alleviate the symptoms. Further genetic analysis revealed a heterozygous mutation in the CTLA4 gene, confirming a diagnosis of CHAI syndrome. The patient demonstrated significant improvement after starting treatment with the IL-1 receptor antagonist.	Open access	Disease Study	2025-08-28	5	"{""run_or_nested"": 3, ""md5"": 1, ""other"": 1}"	HRR2708693.ab1,(.+?)	1
HRA012793	PRJCA040920	Sintilimab combined with chemotherapy for first line treatment of locally advanced or metastatic pulmonary lymphoepithelioma-like carcinomaRunning head: Sintilimab Combined Chemotherapy for Untreated PLELC	First Affiliated Hospital of Guangzhou Medical University	1	Controlled	0	2026-05-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012793	True	True	False	False	False	lung+ici	True	Pulmonary lymphoepithelioma like carcinoma is a distinct subtype of non-small cell lung cancer associated with Epstein-Barr virus and a unique immune environment. Currently, there is no established standard treatment protocol for PLELC. A multicenter, single arm, phase II study is conducted on 30 patients, who had a histologic diagnosis of locally advanced or metastatic PLELC without any prior systemic treatment. Patients received four cycles of sintilimab plus gemcitabine and carboplatin, followed by sintilimab maintenance. At a median follow up of 42.4 months, the objective response rate was 73.3%, with a disease control rate of 100% . The median progression free survival was 13.5 months, and the median overall survival was 46.9 months. Grade more than 3 treatment-related adverse events occurred in 70.0% of patients, with neutropenia being the most common.Sintilimab plus gemcitabine and carboplatin showed promising efficacy with manageable safety as first-line treatment for advanced PLELC.	Controlled access	Disease Study	2025-08-20	0	{}		0
HRA012578	PRJCA043918	Research on Plasma in Lung Adenocarcinoma	Hefei Institutes of Physical Sciences, Chinese Academy of Science	0	Open	0	2026-05-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012578	True	False	False	False	False	lung	True	Transcriptome sequencing analysis of Calu-1 cells after plasma treatment	Open access	Cell line related study	2025-08-03	20	"{""run_or_nested"": 18, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2688674_f1.fq.gz,HRR2688674_r2.fq.gz,HRR2688674_sta.xml,(.+?)	0
HRA004798	PRJCA016881	The role of gut microbiota on the treatment efficacy of combination of chemotherapy and immunotherapy in non-small cell lung cancer	Zhongshan Hospital, Fudan University	1	Controlled	0	2025-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004798	True	True	False	False	False	lung+ici	True	To better understand the role of microbiota on development of NSCLC and examine whether gut microbiota affects the treatment of NSCLC. The results would help to establish the microbiome-based strategies for patients with NSCLC.	Controlled access	Human metagenome	2025-08-02	0	{}		0
HRA009113	PRJCA031877	T7-PCR for integation sites mapping in mamalian cells	Sun Yat-sen University	0	Open	0	2025-07-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009113	False	False	False	True	False	mpr_keyword	True	Uisng T7-PCR to profile the integration sites mediated by PiggyBac system in HEK293 cell line.	Open access	Cell line related study	2025-07-24	0	{}		0
HRA012323	PRJCA041925	WEE1 inhibitor exerts synergistic effect with KRAS G12C inhibitor in KRASG12C-mutant lung cancer	Shanghai Chest Hospital of Shanghai Jiao Tong University School of Medicine	0	Open	0	2025-07-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA012323	True	False	False	False	False	lung	True	WEE1 inhibitor exerts synergistic effect with KRAS G12C inhibitor in KRASG12C-mutant lung cancer.H2122 cells were exposed to vehicle, sotorasib, adavosertib, or their combination for 24 hours,then we perform RNA sequencing analysis.	Open access	Cell line related study	2025-07-14	14	"{""run_or_nested"": 12, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2667847_f1.fq.gz,HRR2667847_r2.fq.gz,HRR2667847_sta.xml,(.+?)	0
HRA006607	PRJCA021379	Uncovering the molecular pathways associated with immunotherapy-induced pneumonitis in non-small cell lung cancer patients	The First Affiliated Hospital of Guangzhou Medical University	1	Controlled	0	2025-12-04	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006607	True	True	False	False	False	lung+ici	True	In this project, the experimental group was the immune checkpoint inhibitor-related pneumonitis(CIP) tissue samples of advanced non-small cell lung cancer patients after receiving immunotherapy treatment. We comprehensively analyzed the immune landscape during CIP onset using scRNA/TCR/BCR-seq, it could serve as a novel therapeutic strategy for CIP treatment and provide biomarkers and intervention targets for precision medicine.	Controlled access	Disease Study	2025-06-30	0	{}		0
HRA004938	PRJCA017533	Correlation between lung microbiota and detection of some pathogenicmicroorganism in patients with severe pneumonia in ICU	First Affiliated Hospital, Zhejiang University	0	Open	0	2026-06-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004938	True	False	False	False	False	lung	True	Human intestinal fungi and pulmonary fungi play an important role in human microecology and health. Aggressive fungal infections can occur in people with Covid-19 or severe influenza, especially after treatment with immunosuppressive drugs such as dexamethasone or IL-6 inhibitors. No studies have been conducted to evaluate the effects of early pulmonary and intestinal fungal microecological changes on the risk of secondary fungal infection in patients with viral pneumonia. This study plans to collect alveolar lavage fluid, stool and serum from severe pneumonia patients admitted to ICU from 2023 to 2024, and collect clinical data of patients to identify the pulmonary and intestinal fungal microecological changes and the risk of secondary fungal infection in patients of different groups, so as to find targeted treatment plans.	Open access	Human metagenome	2025-06-26	74	"{""run_or_nested"": 72, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1267016_f1.fastq.gz,HRR1267016_r2.fastq.gz,HRR1267016_sta.xml,(.+?)	0
HRA005035	PRJCA017719	PHASE II, SINGLE-ARM STUDY OF LOW-DOSE  RADIOTHERAPY (LDRT) CONCURRENT  CISPLATIN/CARBOPLATIN PLUS ETOPOSIDE  WITH ATEZOLIZUMAB FOR PATIENTS WITH  EXTENSIVE-STAGE SMALL CELL LUNG CANCER	West China Hospital of Sichuan University	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005035	True	True	False	False	False	lung+ici	True	This study will evaluate the efficacy and safety of LDRT concurrent cisplatin/carboplatin plus etoposide with atezolizumab in patients with ES-SCLC. Specific objectives and corresponding endpoints for the study are outlined below.	Controlled access	Disease Study	2025-06-15	0	{}		0
HRA004817	PRJCA017527	RB1 aberrations predict outcomes of immune checkpoint inhibitor combination therapy in NSCLC	jiangsu province hospital	1	Controlled	0	2024-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004817	True	True	False	False	False	lung+ici	True	Immune checkpoint inhibitors (ICI) have changed the current status of non-small lung cancer (NSCLC) treatment. However, only a proportion of patients benefit from ICI combination therapy. In this study, we further explored potential predictive biomarkers for ICI combination therapy	Controlled access	Disease Study	2025-06-06	0	{}		0
HRA004588	PRJCA016983	Paired specimens elucidate the role of tumor microenvironment reprogramming in the efficacy of neoadjuvant chemoimmunotherapy in NSCLC	Second Affiliated Hospital of Zhejiang University School of Medicine	1	Controlled	0	2026-06-19	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004588	True	True	True	False	False	lung+ici+neoadjuvant	True	This study aims to elucidate the role of tumor microenvironment reprogramming in neoadjuvant chemoimmunotherapy in non-small cell lung cancer via paired specimens.	Controlled access	Disease Study	2025-05-15	0	{}		0
HRA004156	PRJCA015093	FOXO3 knockdown and Thrombin treatment in human lung microvascular endothelial cells	Institute of Zoology, Chinese Academy of Sciences	0	Open	0	2026-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004156	True	False	False	False	False	lung	True	Bulk RNA-seq of adult human lung microvascular endothelial cells after FOXO3 knockdown and Thrombin treatment.	Open access	Cell line related study	2025-05-10	17	"{""run_or_nested"": 15, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1134921_f1.fq.gz,HRR1134921_r2.fq.gz,HRR1134921_sta.xml,(.+?)	0
HRA011353	PRJCA039509	Salvianolic acid F inhibits proliferation, migration and invasion of lung cancer cells via CXCL5	Nanjing Xiaozhuang University	0	Open	0	2025-05-09	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011353	True	False	False	False	False	lung	True	Lung cancer represents a malignant neoplasm that has affected human populations for an extended period. Despite the implementation of diverse therapeutic approaches that have notably enhanced patient survival rates, the associated adverse effects remain inadequately addressed. Recent research has identified that traditional Chinese medicine possesses distinctive benefits in the management of tumors. In our study, we isolated and extracted a monomeric compound from Danshen, which demonstrated a significant inhibitory effect on the proliferation of lung cancer cells.	Open access	Cell line related study	2025-05-08	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2359733_f1.fq.gz,HRR2359733_r2.fq.gz,HRR2359733_sta.xml,(.+?)	0
HRA010830	PRJCA037607	Anlotinib Enhances the Efficacy of KRAS-G12C Inhibitors through c-Myc/ORC2 Axis Inhibition in Non-Small Cell Lung Cancer	Shanghai Chest Hospital of Shanghai Jiao Tong University School of Medicine	0	Open	0	2025-07-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010830	True	False	False	False	False	lung	True	The KRAS-G12C mutation, occurring in approximately 14% of lung adenocarcinomas, has emerged as a critical target for precision medicine strategies. While KRAS-G12C inhibitors, including sotorasib and adagrasib, have shown promise in clinical trials, their efficacy is limited by primary and acquired resistance mechanisms. This study explored the potential of combining anlotinib, a multi-target tyrosine kinase inhibitor, with KRAS-G12C inhibitors to overcome these resistance challenges in NSCLC treatment. Our results demonstrated that anlotinib improved the sensitivity to KRAS-G12C inhibitors in primary and acquired resistance settings, both in vitro and in vivo. Mechanistically, the combination therapy inhibited c-Myc/ORC2 signaling, leading to cell cycle arrest and apoptosis. These findings suggest that the combination of anlotinib and KRAS-G12C inhibitors represents a promising novel therapeutic approach for KRAS-G12C-mutant NSCLC.	Open access	Cell line related study	2025-04-30	17	"{""run_or_nested"": 15, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2263223_f1.fastq.gz,HRR2263223_r2.fastq.gz,HRR2263223_sta.xml,(.+?)	0
HRA011002	PRJCA037797	Identification of altered immune landscape at single-cell resolution and its association with poor immune checkpoint inhibitor responses in NSCLC brain metastasis	Shandong Cancer Hospital and Institute	1	Controlled	0	2026-08-07	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA011002	True	True	False	False	False	lung+ici	True	Brain metastasis, a common complication of advanced non-small cell lung cancer (NSCLC), leads to poor prognosis and reduces the efficacy of immune checkpoint inhibitors (ICIs). However, the mechanisms underlying this diminished ICI response remain unclear. Therefore, we comprehensively analyzed RNA sequencing data derived from 112,200 immune cells isolated from primary and brain metastatic NSCLC single-cell samples.	Controlled access	Disease Study	2025-04-18	0	{}		0
HRA004391	PRJCA016193	Single-cell landscape of lung adenocarcinoma accepting neoadjuvant immunotherapy	National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences	1	Controlled	0	2026-07-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004391	True	True	True	False	False	lung+ici+neoadjuvant	True	This study profiled the molecular landscape of the tumors samples from lung adenocarcinoma patients accepting neoadjuvant therapy.	Controlled access	Disease Study	2025-04-18	0	{}		0
HRA010971	PRJCA038052	Noncanonical Circular RNAs and Their Cellular Functions in Lung Cancer	The Hong Kong Polytechnic University	0	Open	0	2026-08-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010971	True	False	False	False	False	lung	True	We generated in-house RNase R-treated RNA-seq data for three lung cell lines (A549, NCI-H23, and HSAEC). Amplicon sequencing of NCI-H23 was performed by Novogene.	Open access	Cell line related study	2025-04-05	6	"{""run_or_nested"": 4, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2292714_f1.fq.gz,HRR2292714_r2.fq.gz,HRR2292714_sta.xml,(.+?)	0
HRA005191	PRJCA018356	Immune Correlates of Response and Resistance to Neoadjuvant Chemo-immunotherapy in Non-small Cell Lung Cancer	Peking University	1	Controlled	0	2026-06-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005191	True	True	True	False	False	lung+ici+neoadjuvant	True	To understand mechanisms of primary resistance, we followed a sufficiently large cohort of NSCLC patients receiving neoadjuvant immunotherapy, and profiled post-treatment samples using single-cell RNA and T cell receptor (TCR) sequencing. By associating tumor immune microenvironment (TIME) with response, we uncovered heterogeneous mechanisms of response and major mechanisms of primary resistance, providing insights into strategic developments of combination regimens.	Controlled access	Disease Study	2025-03-29	0	{}		0
HRA010627	PRJCA036953	Transcriptome study of the interaction of six A. baumannii phages with A549 lung epithelial cells.	Wuhan Institute of Virology, Chinese Academy of Sciences	0	Open	0	2025-11-26	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010627	True	False	False	False	False	lung	True	In this study, we evaluate the influence of six morphologically different Acinetobacter baumannii phages on A549 cells after a 12 hour challenge.	Open access	Cell line related study	2025-03-17	19	"{""run_or_nested"": 17, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2200004_f1.fastq.gz,HRR2200004_r2.fastq.gz,HRR2200004_sta.xml,(.+?)	0
HRA003360	PRJCA009311	Neoadjuvant anti-PD-1 therapy for human non-small cell lung cancer	The second affiliated hospital zhejiang university school of medicine	1	Controlled	0	2026-03-30	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003360	True	True	True	False	False	lung+ici+neoadjuvant	True	Neoadjuvant anti-PD-1 therapy for human non-small cell lung cancer	Controlled access	Disease Study	2025-03-02	0	{}		0
HRA009335	PRJCA031820	Single-cell analysis reveals transcriptomic features and therapeutic targets in primary pulmonary lymphoepithelioma-like carcinoma.	Sun Yat-sen Memorial Hospital, Sun Yat-sen University	0	Open	0	2026-05-07	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009335	True	False	False	False	False	lung	True	The snRNA-seq identified a crucial malignant subpopulation of PPLELC with overexpression of AKT3 and FGFR2, related to late clinical state, large tumor size and lymph nodes metastasis. Moreover, higher expression of AKT3 and FGFR2 is associated with worse prognosis in PPLELC patients. Enzastaurin, AKT3 inhibitor, and Erdafitinib, FGFR2 inhibitor have shrunk the PPLELC tumor in PDXs. The different gene modules of T lymphocytes, B lymphocytes and macrophages were identified in their subgroups. The multiple ligand-receptor interactions of intercellular communications were depicted in the PPLELC microenvironment.	Open access	Disease Study	2025-02-11	6	"{""run_or_nested"": 4, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2054880_f1.fastq.gz,HRR2054880_r2.fastq.gz,HRR2054880_sta.xml,(.+?)	0
HRA010221	PRJCA035340	Drug repurposing to overcome osimertinib resistance in non-small cell lung cancer	The Chinse University of Hong Kong	0	Open	0	2025-01-30	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA010221	True	False	False	False	False	lung	True	Novel Met-inhibitory drug candidates were identified and repurposed to overcome osimertinib resistance in non-small cell lung cancer. RNA sequencing was conducted to investigate the differentially expressed genes after drug treatment	Open access	Cell line related study	2025-01-30	14	"{""run_or_nested"": 12, ""md5"": 1, ""other"": 1, ""fastq"": 1}"	HRR2155988.fq.gz,HRR2155988_sta.xml,(.+?)	0
HRA007083	PRJCA024852	Early-Age Onset Lung Cancer in Young East Asian Populations: Unveiling Genetic and Immune Signatures	Northeastern University	0	Open	0	2026-06-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007083	True	False	False	False	False	lung	True	Focusing on young NSCLC patients, this study examines the mutation types of the HER2 gene and proposes potential biomarkers and treatment strategies.	Open access	Cell line related study	2025-01-11	11	"{""run_or_nested"": 9, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1686684_f1.fq.gz,HRR1686684_r2.fq.gz,HRR1686684_sta.xml,(.+?)	0
HRA009333	PRJCA032472	CCN1 is a therapeutic target upregulated in EML4-ALK mutant lung adenocarcinoma reversibly resistant to alectinib	Sun Yat-sen University Cancer Center	0	Open	0	2026-04-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA009333	True	False	False	False	False	lung	True	There is limited understanding of the phenomenon of reversible resistance, which is characterized by tumor cells becoming resistant to drugs for a period of time and regaining sensitivity when the drugs are withdrawn. In this study, alectinib was used to induce reversible resistance in EML4-ALK positive lung cancer cell lines. Changes in transcriptional expression profiles were examined by RNA sequencing of reversibly resistant cell lines, and significant changes in CCN1 were detected after treatment discontinuation and after repeated dosing with alectinib. Targeting CCN1 inhibits tumor cell proliferation and angiogenesis and restores sensitivity to alectinib. Further studies suggest that CCN1 may affect the expression of VEGFA by affecting AKT phosphorylation, and changes in NF-kB may affect the activation of CCN1-AKT-VEGFA pathway. Inhibition of NF-kB or CCN1 receptors increases alectinib sensitivity, suggesting that NF-kB and CCN1 may play a key role in reversible resistance.	Open access	Cell line related study	2024-12-31	34	"{""run_or_nested"": 32, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR2054812_f1.fq.gz,HRR2054812_r2.fq.gz,HRR2054812_sta.xml,(.+?)	0
