accession,title,taxon,n_samples,pdat,gdstype,is_human,is_lung,is_ici,is_expression,mentions_outcome,relevant,n_suppl_files,suppl_total_bytes,suppl_total_mb,has_processed_suppl,processed_bytes,under_2gb,suppl_files,suppl_error,summary
GSE189804,"A549 NRF NT, mock and knockout RNAseq",Homo sapiens,9,2023/03/22,Expression profiling by high throughput sequencing,True,True,True,True,False,True,3,1191936,1.1,True,1191936,True,GSE189804_A549_counts.txt.gz;GSE189804_IFNy_A549_counts.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"The NRF2 pathway is frequently activated in various cancer types, yet a comprehensive analysis of its effects across different malignancies is currently lacking. We developed a robust NRF2 activity metric and utilized it to conduct a pan-cancer wide analysis of oncogenic NRF2 signaling. We identified a distinct immunoevasive phenotype where high NRF2 activity is associated with low interferon-gamma (IFNγ), HLA-I expression and T-cell infiltration spanning non-small cell lung cancer (NSCLC) and squamous malignancies of head and neck area, cervix and esophagus. In squamous cell cancers, NRF2 overactive tumors comprise a molecular phenotype with SOX2/TP63 amplification, TP53 mutation and CDKN2A loss. These immune-cold NRF2 hyperactive diseases are associated with upregulation of immunomodulatory NAMPT, WNT5A, SPP1, SLC7A11 and SLC2A1 that represent candidate NRF2 target genes, suggesting direct modulation of the tumor immune milieu. Based on single-cell mRNA data, coupled with a priori information on intercellular ligand-receptor interactions, cancer cells of this subtype exhibit decreased expression of IFNγ responsive ligands, and increased expression of immunosuppressive ligands NAMPT, SPP1 and WNT5A that mediate signaling in intercellular crosstalk. As we observed differential cytokine mRNA expression with IFNγ treatment in NSCLC adenocarcinoma subtype, we explored the cytokine secretome in vitro. We found that secreted neutrophil chemoattractants interleukin-8 (CXCL8) and ENA-78 (CXCL5) are elevated in NRF2 overactive cells, suggesting contribution of immunosuppressive neutrophils in NRF2 driven immune escape. Importantly, as overactive NRF2 is associated with immune-cold characteristics, our results highlight the utility of NRF2 pathway activation as a putative biomarker for stratifying immune-checkpoint blockade responders and non-responders across NSCLC and squamous cancers."
GSE190731,"Expression data from durvalumab, oleclumab and combo-treated xenograft NSCLC tumors",Homo sapiens,23,2022/02/23,Expression profiling by array,True,True,True,True,True,True,3,112199372,107.0,True,1740,True,GSE190731_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Non-small cell lung cancer (NSCLC) with epidermal growth factor receptor (EGFR) mutations do not respond to anti-PD-1 (L1) as well as tumors without an EGFR mutation. We showed in a xenograft mouse model of EGFR-mutated NSCLC that, neither durvalumab nor oleclumab alone inhibited tumor growth compared to the isotype control. In contrast, the combination of both antibodies significantly inhibited tumor growth and increased gene expressions that corresponded to inflammation and T cell function in tumors treated. We used microarrays to study gene expressions that corresponded to enhanced immune response in antibody-treated mice."
GSE192402,"Multi-modal single-cell and whole-genome sequencing of minute, frozen specimens to propel clinical applications",Homo sapiens,74,2022/10/19,Expression profiling by high throughput sequencing; Other,True,False,False,True,False,False,3,71314432,68.0,True,11264,True,GSE192402_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,This SuperSeries is composed of the SubSeries listed below.
GSE192591,PD-L1+CD8+ T cells enrichment in lung cancer exerted regulatory function and tumor-promoting tolerance,Homo sapiens,6,2022/02/18,Expression profiling by high throughput sequencing,True,True,True,True,True,True,2,441344,0.4,True,441344,True,GSE192591_count.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Targeting checkpoint blockade to rescue exhausted regulatory T cells (Tregs) has become an essential immunotherapy strategy in treating cancer. Until now, the CD4+ Tregs and PD-1+CD8+ T cells were demonstrated to reduce immunogenic responses. In contrast, little is known about the PD-L1 graphic pattern and characteristics in CD8+ T cells. We performed two high-throughput analysis approaches on tumor-infiltrating CD8+ T cells in lung cancers. We discovered PD-L1+CD8+ T cells enriched in tumor lesions, localized with PD-1+CD8+ affected T cells, and owned regulatory functions. Moreover, tumor-derived IL-27 promoted the development of PD-L1+CD8+ T cells through STAT1/STAT3 signaling. Single-cell RNA sequencing data analysis further clarified the enrichment of PD-L1+CD8+ T cells related to the downregulation of adaptive immune response. Additionally, enrichment of this subset was correlated with poor survival of lung cancer patients. Our data collectively demonstrated that PD-L1+CD8+ T cells potentially become a prognostic biomarker in lung cancer."
GSE192790,A subpopulation of cancer cells with high SIRPG expression promotes immune escape of non-small cell lung carcinoma through crosstalk with Hippo signaling,Homo sapiens,6,2022/01/02,Expression profiling by high throughput sequencing,True,True,True,True,True,True,3,15729162,15.0,True,522,True,GSE192790_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Cancer stem like cells (CSLCs) acquire enhanced immune checkpoint responses to evade immune cell killing and promote tumor progression. Here we show that signal regulatory protein gamma (SIRPG) determines a small population of lung adenocarcinoma (LUAD) cancer cells for both CSLCs properties and immune evasion. SIRPGhigh population displays CSLCs properties and transmits the immune escape signal through sustaining CD47 expression to both SIRPGhigh and SIRPGlow/- tumor cells. SIRPG bridges MST1 and PP2A to facilitate MST1 dephosphorylation, resulting in Hippo/YAP activation leading to cytokine release by CSLCs, which stimulates CD47 expression in LUAD cells and consequently inhibits tumor cell phagocytosis. SIRPG promotes tumor growth and metastasis in vivo through YAP signaling. Notably, SIRPG targeting with genetic SIRPG knockdown or a SIRPG neutralization antibody inhibits CSLC phenotypes and elicits phagocytosis that suppresses tumor growth in vivo. SIRPG is upregulated in human LUAD and its overexpression predicts poor survival outcome. Thus, SIRPGhigh cells serve as CSLCs and tumor immune checkpoint initiating cells propagating the immune escape signal to the whole cancer cell populations. Our study identifies Hippo/YAP signaling as the first mechanism by which SIRPG is engaged and reveals that targeting SIRPG represents an immune and CSLC targeting strategy for lung cancer therapy."
GSE193049,Bronchoalveolar lavage fluid reveals factors contributing to the efficacy of PD-1 blockade in lung cancer,Homo sapiens,7,2022/04/07,Expression profiling by high throughput sequencing,True,True,True,True,True,True,3,901639,0.9,True,519,True,GSE193049_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Bronchoalveolar lavage is commonly performed to examine inflammation and responsible pathogens in lung diseases, and its findings may be used to assess the immune profile of the lung tumor microenvironment (TME). To investigate whether analyses of bronchoalveolar lavage fluid (BALF) can help identify non-small cell lung cancer (NSCLC) patients who respond to immune checkpoint inhibitors (ICIs), BALF and blood were prospectively collected before initiating nivolumab. The secreted molecules, microbiome, and cellular profiles based on BALF and blood analysis were compared regarding therapeutic effect in 12 patients. Compared to non-responders, responders showed significantly higher CXCL9 levels and greater diversity in the lung microbiome profile in BALF, and greater frequency of CD56+ subset in blood T cells, whereas no significant difference was found in PD-L1 expression of tumor cells. Antibiotic treatment in a preclinical lung cancer model significantly decreased CXCL9 in the lung TME, resulting in reduced sensitivity to nivolumab, which was reversed by CXCL9 induction in tumor cells. Thus, CXCL9 and the microbiome in the lung TME might be associated with each other, and their balance could contribute to nivolumab sensitivity in NSCLC patients. BALF analysis can help predict the efficacy of ICIs when performed along with currently approved examinations."
GSE193534,Distant antimetastatic effect of enterotropic colon cancer-derived α4β7 CD8 T cells [bulk RNA-seq],Homo sapiens,33,2023/11/01,Expression profiling by high throughput sequencing,True,False,True,True,True,False,2,4613734,4.4,True,4613734,True,GSE193534_matrix_expression_TPM.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Despite the high prognostic value of immune infiltrates in colorectal cancer (CRC), metastatic disease remains resistant to immunotherapy by immune checkpoint blockade (ICB). Here we show in a metastatic CRC multi-tumor preclinical model that orthotopically-implanted primary colon tumors can spontaneously exert a colon-specific and immune-dependent antimetastatic effect on distant hepatic lesions. An immune signature, integrating antitumor CD8 T cells, dendritic cells and protumor macrophages, that we called MicroEnvironment (ME)-score, was predictive of the antimetastatic effect. ScRNA-Seq and phenotypic analyses revealed that enterotropic α4β7 integrin expressing tumor neoantigen-specific CD8 T cells were key components of the systemic immune response responsible for the antimetastatic effect. Accordingly, the presence of concomitant colon tumors improved the efficacy of proof-of-concept ICB on liver lesions and generated a protective memory immune response whereas antibody-mediated partial depletion of α4β7+ cells abrogated the control of metastatic disease by the primary tumor. Finally, in a metastatic CRC patients’ cohort, we show increased expression of genes encoding the α4β7 integrin and of the ME-score in ICB responsive metastases concomitant with increased proportions of circulating α4β7+ CD8 T cells. Our findings identify a systemic cancer immunosurveillance role for gut primed tumor-specific α4β7+ CD8 T cells. "
GSE193707,Genome-wide expression profiling of mediastinal lymph nodal metastasis of stage IIIA NSCLC patients before neoadjuvant chemotherapy,Homo sapiens,4,2022/12/31,Expression profiling by array,True,True,True,True,True,True,3,3880115,3.7,True,384,True,GSE193707_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Non–small-cell lung cancer (NSCLC) is the leading cause of cancer deaths worldwide due to late diagnosis and lack of effective therapies to treat metastatic disease. About one third of NSCLC patients present at diagnosis with locally advanced cancer (stage IIIA) which metastasizes ipsilateral mediastinal or subcarinal lymph nodes (N2). Neoadjuvant chemotherapy (NACT) followed by surgery is the treatment of choice for resectable N2 disease. However, the majority of patients do not respond to NACT and show persistent lymph nodal metastases and an adverse outcome. Our scant knowledge of the molecular biology of lymph node metastases (LNmets) represents a major obstacle to develop more effective therapies. Here, we investigated gene expression profile (coding and non-coding) of LNmets collected by endobronchial ultrasound transbronchial needle aspiration (EBUS-TBNA) and mediastinoscopy, in two cohorts of stage IIIA patients before NACT (N=70). We discovered a microRNA expression signature in LNmets predictive of NACT response of N2 patients. Importantly, we unveiled a miR-455-5p/PD-L1 regulatory axis which drives chemotherapy resistance and impact T cell viability in NSCLC. Our data suggests the relevance of LNmets molecular profiling to predict response to NACT likewise presents strong evidences of a miRNA-based mechanism which functionally links chemotherapy response with PD-L1 regulation."
GSE193719,Genome-wide expression profiling of NSCLC cancer cell lines upon miR-455-5p overexpression,Homo sapiens,10,2022/12/31,Expression profiling by array,True,True,True,True,True,True,3,11535170,11.0,True,834,True,GSE193719_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Non–small-cell lung cancer (NSCLC) is the leading cause of cancer deaths worldwide due to late diagnosis and lack of effective therapies to treat metastatic disease. About one third of NSCLC patients present at diagnosis with locally advanced cancer (stage IIIA) which metastasizes ipsilateral mediastinal or subcarinal lymph nodes (N2). Neoadjuvant chemotherapy (NACT) followed by surgery is the treatment of choice for resectable N2 disease. However, the majority of patients do not respond to NACT and show persistent lymph nodal metastases and an adverse outcome. Our scant knowledge of the molecular biology of lymph node metastases (LNmets) represents a major obstacle to develop more effective therapies. Here, we investigated gene expression profile (coding and non-coding) of LNmets collected by endobronchial ultrasound transbronchial needle aspiration (EBUS-TBNA) and mediastinoscopy, in two cohorts of stage IIIA patients before NACT (N=70). We discovered a microRNA expression signature in LNmets predictive of NACT response of N2 patients. Importantly, we unveiled a miR-455-5p/PD-L1 regulatory axis which drives chemotherapy resistance and impact T cell viability in NSCLC. Our data suggests the relevance of LNmets molecular profiling to predict response to NACT likewise presents strong evidences of a miRNA-based mechanism which functionally links chemotherapy response with PD-L1 regulation."
GSE194350,In vivo CRISPR screens identify a dual function of MEN1 in regulating tumor-microenvironment interactions [A549 RNA-seq],Homo sapiens,8,2022/11/03,Expression profiling by high throughput sequencing,True,True,True,True,True,True,3,1678579,1.6,True,858,True,GSE194350_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"In this study, we used a targeted CRISPR/Cas9 screen to identify genes that determine growth of A549 cells in vivo and in vitro. Functional genomic screens in 2D cell culture are of limited use for identifying therapeutic targets that modulate tumor cell-microenvironment cell interactions. By comparing targeted CRISPR-Cas9 screens in 2D culture of A549 lung cancer cells versus xenografts derived from the same cell line, we identified MEN1 as the top hit that confers differential effects in vitro and in vivo. Knockout of MEN1 in multiple solid cancer types does not impact cell proliferation in vitro, but significantly promotes or inhibits tumor growth in immunodeficient or immunocompetent mice, respectively. Mechanistically, knockout of MEN1 leads to increased chromatin interaction of its interaction partner MLL1 (KMT2A), a histone methyltransferase, to repetitive genomic regions, where it activates expression of double-stranded RNA. This results in MARV and cGAS-STING dependent activation of viral mimicry response, which induces infiltration of neutrophils and CD8+ T cells in immunodeficient and immunocompetent mice respectively. Consistently, multiple immune cell infiltrations are negatively correlated with MEN1 abundance and positively correlated with that of MLL1 in patient tumors of a broad range of cancer types. Pharmacological inhibition of MEN1-MLL interaction reduces tumor growth in CD8+ T cell dependent manner, with enhanced activity in combination with anti-PD-1 treatment. These findings reveal tumor microenvironment dependent oncogenic and tumor suppressive functions of MEN1 and provide rationale for therapeutic targeting of MEN1 alone or in combination with immunotherapy in multiple solid cancer types. "
GSE195770,Idiopathic pulmonary fibrosis (IPF),Homo sapiens,8,2023/01/01,Expression profiling by array,True,True,True,True,False,True,3,67109601,64.0,True,737,True,GSE195770_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Idiopathic pulmonary fibrosis (IPF) is a disease related to AT2 cell. We used flow cytometry to analyze the epithelial component of donor and IPF lungs. From the live cells, we first excluded the CD31PosCD45Pos and then selected the EPCAMPos cells for further analysis using the human AT2 cell marker HTll-280 and the surface marker PD-L1. Our data indicate that, the bona fide differentiated AT2 cells (HTll-280High PD-L1Neg), were drastically reduced in the context of IPF. More interestingly, the number of HTll-280Low/Neg PD-L1High was drastically increased, suggesting that HTll-280Low PD-L1High epithelial cells could represent a pool of progenitors linked to the deficient AT2 lineage. The aim of this experiment is further characterization of AT2 and PDL1+ cells in donor and IPF."
GSE197236,Identification of Key Gene and Functional Pathways in Radioresistance of non-small cell lung cancer,Homo sapiens,6,2022/02/27,Expression profiling by array; Non-coding RNA profiling by array,True,True,True,True,True,True,3,18874812,18.0,True,444,True,GSE197236_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"For better understanding of radiotherapy resistance and its potential mechanism, we established radioresistance cell lines of non-small cell lung cancer (NSCLC) followed by microarray analysis. 529 differentially expressed genes (DEGs) were then screened between radiation resistant cell lines compared with the sensitive cell lines. The biological functions and enrichment pathways of the above DEGs were identified using Kyoto Encyclopedia of Genes and Genomes (KEGG) and gene ontology (GO) enrichment analyses. Gene Set Enrichment Analysis (GSEA) revealed that the radiation resistance group had the most gene sets enriched in altered immune response, such as TNF signaling pathway, when compared to the radiation sensitive group. Protein-protein interaction (PPI) network was carried out from the STRING database. Following that, by means of Cytoscape software, five hub genes (CXCL10, IFIH1, DDX58, CXCL11, RSAD2) were identified, and qRT-PCR confirmed the expression of the above hub genes. ChIP-X Enrichment Analysis showed that STAT1 might be the transcription factor of the above hub genes. Our results suggested that although immune system activation occurs followed by radiation resistance, the unregulated expression of PD-L1 ultimately leads to the exhaustion of anti-tumor immunity, which may be the possible mechanisms of tumor resistance to radiotherapy."
GSE198099,Immune suppressive landscape in the human non-small cell lung cancer microenvironment,Homo sapiens,6,2023/12/31,Expression profiling by high throughput sequencing,True,True,True,True,True,True,3,296748236,283.0,True,1228,True,GSE198099_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Background: Lung cancer is the one of the malignant tumors with the highest morbidity and mortality in China and even the world. The overall five-year survival rate is about 20%, and most patients die of tumor metastasis. Non-small cell lung cancer (NSCLC) is the main pathologic type of lung cancer. The development and metastasis of tumor cells is influenced by the interaction with other cells in the environment. To explore the molecular expression spectrum of tumor and tumor microenvironment can provide clues for the mechanism of tumor progression, drug resistance and metastasis. The emergence of single cell ribonucleic acid sequencing (scRNA-seq) technology can explore the genomic and transcriptional characteristics of different tumor cells at the single cell resolution, which can reveal the molecular characteristics of individual cells and the relationship between individuals and the environment, thus making it possible to further understand the genesis and progression of NSCLC. Methods: ScRNA-seq (10X genomics) was used to detect single-cell transcriptomes in 2 patients with NSCLC, aiming to more accurately explore the effects of the transcriptome in a single cell on its function and the progression of NSCLC, and to find new cell subtypes or molecular targets for drug therapy. Results: The tumor tissue, distant normal tissue, and lymph node tissue of 2 patients with NSCLC were analyzed. A total of 43779 cells were analyzed, which were classified into epithelial cells, T lymphocytes, natural killer cells (NK cells), B lymphocytes, myeloid cells, endothelial cells, fibroblasts, and MAST cells. Tumor cells showed signature markers of epithelial (EPCAM, KRT7, KRT8, KRT18, CDH1, etc.) and tumor (KRT19, ENO2, SLC25A2, UBE2C, etc.) markers. Additionally, the acquired immunity is activated in the tumor microenvironment, while the innate immunity is exhausted. The proportion of B lymphocytes increases, and immunosuppressive tumor-infiltrating B cells (CD19+, MS4A1+, CD69+, CD27-, CR2-) are observed, which are capable of participating in the induction of exhausted regulatory T cells. The proportion of cytotoxic CD8+ T cells in T lymphocyte population decreases, and the number of exhausted regulatory T cells and exhausted follicular helper T cells increases. They all express LAG3+, TIGIT+, PDCD1+, CTLA4+, and other suppressive markers, showing a state of immunosuppression. High expression of WFDC2 in T cells has a significant effect on prognosis. NK cells show a state of depletion, not only in number, but also gradually transform into a less cytotoxic subtype (CD56+, CD16-). In addition, myeloid cells also play an important role in disrupting the anti-tumor immune response. Tumor associated macrophages (TAMs) and plasmacytoid dendritic cells (pDCs) are enriched in tumor tissue. TAMs highly express anti-inflammatory markers (APOE+, C1QA+, C1QB+) and proliferative markers (MKI67+, STMN1+, NUSAP1+), which are closely related to tumor progression and metastasis. TAMs show M2 type polarization of macrophages, which has a tumor promoting effect. At the same time, TAMs express monocyte markers, which may be transformed from monocyte derived macrophages. Macrophages highly express CXCL8, CCL2, and other genes, which participate in Toll-like receptor, NOD-like receptor signaling pathway, and have a significant impact on the prognosis. pDCs are immunosuppressive cells. The high expression of LILR family genes and GZMB in pDCs may lead to poor tumor antigen presentation of lung squamous cell carcinoma. Dendritic cells highly express NLRP3, IRF7, and other genes, which participate in C-type lectin receptor, Toll-like receptor, NOD-like receptor signaling pathway, and have a significant impact on the prognosis. In addition to the immune system, fibroblasts in the stroma also show characteristics of immunosuppressive cells. Enrichment of Cancer-associated fibroblasts (CAFs) in tumor can promote immunosuppression and tumor progression. Among them, a special subtype termed inflammatory CAFs is found, which participate in the process of extracellular matrix remodeling, angiogenesis, and cell migration, resulting in promoting tumor progression. Fibroblasts highly express FN1, TIMP1, and hub gene SPP1, which interact with macrophages, participate in PI3K-AKT pathway, and have a significant impact on the prognosis. Conclusions: NSCLC shows heterogeneous tumor microenvironment. A variety of immune cells and stromal cells together lead to immunosuppressive environment and promote the progression of tumor. This study enhances our understanding of molecular and cellular dynamics of NSCLC, and reveals potential diagnostic and therapeutic targets in tumor microenvironment."
GSE198896,Adolescent bone sarcomas have distinct immune signatures and intercellular communication networks,Homo sapiens,18,2022/08/31,Expression profiling by high throughput sequencing; Other,True,False,False,True,False,False,3,141559193,135.0,True,1433,True,GSE198896_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Ewing and osteosarcoma are bone sarcomas that occur predominantly in adolescents. In the setting of metastatic or recurrent disease, overall prognosis is poor. While immunotherapy is effective for some adult soft tissue sarcoma, limited success has been achieved with immunotherapy for pediatric bone sarcomas. To better understand antitumor immunity in Ewing and osteosarcoma patients, we performed single-cell RNAseq on peripheral blood and tumor infiltrating immune populations using 10X Genomics droplet-based approach. We also included peripheral blood from healthy adolescent blood donors as a comparator. Utilizing these transcriptional profiles, we characterized tumor infiltrating CD8+ T cells and myeloid cells and identified intercellular communication networks in both primary and recurrent disease."
GSE199299,Nanoparticles-mediated TRPV1 channel blockade amplifies cancer thermo-immunotherapy via heat shock factor 1 modulation,Homo sapiens,6,2022/03/24,Expression profiling by high throughput sequencing,True,False,True,True,True,False,4,40894989,39.0,True,14680589,True,GSE199299_RAW.tar;GSE199299_diff-gene-matrix.xlsx;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Survival of malignant tumours is highly relevant to their intrinsic self-defense pathways such as heat shock protein (HSP) during cancer therapy, yet precisely dismantling self-defenses to amplify antitumour potency remains unexplored. Herein, we demonstrate that nanoparticles-mediated transient receptor potential vanilloid member 1 (TRPV1) channel blockade selectively modulates heat shock factor 1 to suppress dual self-defense pathways for potentiating thermo-immunotherapy. TRPV1 blockade is identified to inhibit calcium influx and subsequent nuclear translocation of HSF1 upon hyperthermia, leading to selective suppression of stressfully overexpressed HSP70 for enhancing thermotherapeutic efficacy against a variety of primary, metastatic and recurrent tumours. Particularly, the suppression of HSF1 translocation further restrains TGFβ pathway to apparently degrade extracellular matrix in tumour for improving the infiltration of antitumour therapeutics and immune cells into highly fibrotic and immunosuppressive pancreatic cancers, ultimately synergizing with anti-PD-L1 antibody to retrieve thermo-immunotherapy with tumour-eradicable and immune memory effects. The nanoparticles-mediated TRPV1 blockade represents as an effective and universal approach to selectively dismantle self-defenses for potent cancer therapy."
GSE200146,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [human RNA-Seq],Homo sapiens,249,2023/07/07,Expression profiling by high throughput sequencing,True,False,True,True,False,False,5,7341334,7.0,True,7341334,True,GSE200146_counts.Cell.Lines.txt.gz;GSE200146_counts.Time.Course.txt.gz;GSE200146_meta.Cell.Lines.txt.gz;GSE200146_meta.Time.Course.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Decreased antigen presentation contributes to the ability of cancer cells to evade the immune system. We used the minimal gene regulatory network of type 1 conventional dendritic cells (cDC1) to reprogram cancer cells into professional antigen- presenting cells (tumor-APCs). Enforced expression of the transcription factors PU.1, IRF8, and BATF3 (PIB) was sufficient to induce cDC1 phenotype in 36 cell lines derived from human and mouse hematological and solid tumors. Within 9 days of reprogramming, tumor-APCs acquired transcriptional and epigenetic programs associated with cDC1 cells. Reprogramming restored the expression of antigen presentation complexes and costimulatory molecules on the surface of tumor cells, allowing the presentation of endogenous tumor antigens on MHC-I, and facilitating targeted killing by CD8+ T cells. Functionally, tumor-APCs engulfed and processed proteins and dead cells, secreted inflammatory cytokines, and cross- presented antigens to naïve CD8+ T cells. Human primary tumor cells could also be reprogrammed to increase their capability to present antigen and to activate patient-specific tumor-infiltrating lymphocytes. In addition to acquiring improved antigen presentation, tumor-APCs had impaired tumorigenicity in vitro and in vivo. Injection of in vitro generated melanoma-derived tumor-APCs into subcutaneous melanoma tumors delayed tumor growth and increased survival in mice. Antitumor immunity elicited by tumor-APCs was synergistic with immune checkpoint inhibitors. Our approach serves as a platform for the development of immunotherapies that endow cancer cells with the capability to process and present endogenous tumor antigens."
GSE201021,Pan-cancer tumor-specific antigens and membrane targets from transposable elements,Homo sapiens,23,2023/01/20,Other,True,False,False,True,False,False,5,40371301,38.5,True,9962597,True,GSE201021_RAW.tar;GSE201021_rna-seq_p53_HCT116_drug_activation_BRep1_featurecounts.txt.gz;GSE201021_rna-seq_p53_HCT116_drug_activation_BRep2_featurecounts.txt.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"We charted the transcription start sites (TSSs) landscape globally to determine the expressed isoform of each gene and validate the precence of transposable element-derived transcript. Cryptic promoters within transposable elements (TEs) are transcriptionally reactivated in tumors to create novel TE-gene chimeric transcripts, which can produce immunogenic antigens. We performed the most comprehensive screen to date for these TE exaptation events in 33 TCGA tumortypes,675 cancer cell lines, and 11,686 GTEx adult tissue transcriptomes and identified 201,068 TE-exapted candidates with the potential to generate shared tumor-specific TE-chimeric antigens (TS-TEAs). Resultant whole lysate and HLA-pull down mass spectrometry data confirmed that TS-TEAs are presented on cancer cell surfaces. In addition, we highlight the tumor-specific membrane proteins transcribed from TE promoters that can expose novel epitopes on the extracellular surface of cancer cells. Here, we showcase the high pan-cancer prevalence of TS-TEAs and atypical membrane proteins that can be therapeutically exploited through immunotherapy approaches."
GSE201460,­The proteasome regulator PSME4 reduces the response to immunotherapy by abrogating tumor immunogenicity in NSCLC,Homo sapiens,4,2023/02/26,Expression profiling by high throughput sequencing,True,True,False,True,True,False,2,1258291,1.2,True,1258291,True,GSE201460_RNASeq_PSME4KDvsCTRLKD.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Disruption in proteostasis is a hallmark of cancer, with aberrations in proteasome-mediated degradation highly implicated in this malignancy. Proteasomes further bear critical importance in tumor immunogenicity by regulating inflammatory signaling, promoting immune cell activation and playing a crucial role in antigen processing and presentation. Indeed, response to immunotherapy in melanoma patients has been recently linked to increased expression of immunoproteasomes, a specialized form of proteasomes that are upregulated under inflammatory conditions. Yet, the percentage of patients that respond to therapy remains low, and the underlying mechanisms driving resistance remain poorly understood. Further, comprehensive analysis of the role proteasomes play in the pathophysiology of cancer and as a modulator of anti-tumor immunity is remains lacking. Here, we show that proteasome complex composition varies across cancer types and can be used to stratify patient response to immunotherapy. Specifically, we found that the proteasome regulator PSME4 is upregulated in NSCLC and associated with poor prognosis. We show that PSME4 alters proteasome activity and antigen processing attenuating the antigenic diversity and presentation. Through exacting biochemical assays, proteasome profiling of patient-derived NSCLC samples, combined with scRNA-seq, immunopeptidomics and in vivo analyses we uncovered a novel mechanism of immune evasion mediated by PSME4, which promotes an immunosuppressive tumor microenvironment and abrogates anti-tumor immunity. Collectively, our approach may be adapted to other cancer types and pathological settings and affords a novel paradigm by which proteasome composition heterogeneity should be examined and targeted in the context of precision oncology."
GSE201514,TSC2 regulates tumor susceptibility to TRAIL-mediated T cell killing by orchestrating mTOR signaling,Homo sapiens,16,2023/01/19,Expression profiling by high throughput sequencing,True,False,True,True,True,False,2,751616,0.7,True,751616,True,GSE201514_raw_counts.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Resistance to immunotherapy continues to impair common clinical benefit. Here, we uncover an important role for Tuberous Sclerosis 2 (TSC2) in tumor susceptibility to killing by cytotoxic T lymphocytes, both in in vitro and in vivo. TSC2-depleted tumor cells show disruption of mTOR regulation upon CTL attack, which was associated by enhanced cell death responses. Mechanistically, we observed induced TRAIL receptor expression in TSC2-depleted cells, causing enhanced TRAIL sensitivity of tumor cells. Corroborating these data clinically, a negative correlation between TSC2 expression and TRAIL signaling was found in TCGA patient cohorts. Moreover, a lower TSC2 immune response signature was observed in melanoma patients responding to immune checkpoint blockade. Our study reveals a critical role for TSC2 in cancer immune response by crosstalk between TSC2-mTOR and TRAIL signaling, and merits therapeutic exploration of this pathway for immuno-oncology."
GSE202371,Single-cell RNA sequencing reveals cellular and molecular reprograming landscape of brain tumors,Homo sapiens,14,2022/11/10,Expression profiling by high throughput sequencing,True,True,False,True,False,False,3,175114240,167.0,True,2048,True,GSE202371_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Brain malignancies encompass gliomas and brain metastases originating from extracranial tumors. To reveal the specific characteristics of gliomas and lung-to-brain metastases (LC), we applied single-cell RNA sequencing to profile immune and nonimmune cells in glioma and LC samples. Our analysis revealed that immune cells are present in heterogeneous subpopulations and that LC reprograms cells, including microglia, macrophages, neutrophils, endothelial cells, and T cells, with unique cell proportions and gene signatures. Particularly, we identified that a subset of macrophages was associated with poor prognosis. In addition, ROS-producing neutrophils was found to play an important role in angiogenesis. Furthermore, endothelial cells participated in active communication with fibroblasts. Metastatic epithelial cells exhibited heterogeneity in DNA copy number variation and we identified one subpopulation with stem cell-like phenotype. Further understanding of the heterogenicity of the tumor microenvironment and tumor cells will be crucial for successful immunotherapy development for lung cancer."
