accession,title,pdat,n_samples,taxon,is_human,is_lung_confirmed,is_ici,is_expression,relevant,study_category,outcome_keys,has_processed_suppl,suppl_total_mb,under_2gb,usable_for_TACSTD2_CLDN4,verdict,suppl_files
GSE211153,Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [bulk ATAC-seq],2022/08/22,46,Homo sapiens,True,True,False,False,False,bulk_or_other,,True,2716.0,False,,,GSE211153_ATL43T_bulkATAC.bw;GSE211153_HD_PBMC_eTconv_merged.bw;GSE211153_HD_PBMC_eTreg_merged.bw;GSE211153_HD_PBMC_effector_CD8posT_merged.bw;GSE211153_HD_PBMC_nTconv_merged.bw;GSE211153_HD_PBMC_nTreg_merged.bw;GSE211153_HD_PBMC_naive_CD8posT_merged.bw;GSE211153_HuT102_bulkATAC.bw;GSE211153_MJ_bulkATAC.bw;GSE211153_MT4_bulkATAC.bw;GSE211153_NSCLC_PBMC_eTconv_merged.bw;GSE211153_NSCLC_PBMC_eTreg_merged.bw;GSE211153_NSCLC_PBMC_effector_CD8posT_merged.bw;GSE211153_NSCLC_TIL_eTconv_merged.bw;GSE211153_NSCLC_TIL_eTreg_merged.bw;GSE211153_NSCLC_TIL_effector_CD8posT_merged.bw;GSE211153_bulkATACseq_counts.txt.gz;GSE211153_bulkATACseq_peak_lists.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE162676,Targeting Type I arginine methyltransferase PRMT1 promotes the T cell mediated antitumor immune response,2022/03/01,40,Homo sapiens,True,False,True,True,False,cell_line,,True,6.1,True,,,GSE162676_DESeq2_output.concat.allsamples.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE214585,Targeting advanced prostate cancer with STEAP1 chimeric antigen receptor T cell and tumor-localized IL-12 immunotherapy,2023/03/22,40,Homo sapiens; Mus musculus,True,False,False,True,False,bulk_or_other,,True,9.2,True,,,GSE214585_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE223989,The effector program of human CD8 T cells can support tissue remodeling abilities.,2023/11/20,38,Homo sapiens,True,False,True,True,False,single_cell,,False,0.0,True,,,
GSE185205,Systematic lineage tracing reveals clonal progenitors and long-term persistence of tumor-specific T cells during immune checkpoint blockade [scTCR-seq],2023/02/14,36,Homo sapiens,True,True,True,False,False,single_cell,,True,31.0,True,,,GSE185205_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE212521,First-in-human study of the novel fibroblast activation protein-targeted 4-1BB agonist RO7122290 in patients with advanced solid tumors,2022/11/16,34,Homo sapiens,True,False,True,True,False,bulk_or_other,,True,3.6,True,,,GSE212521_refseq_count.gct.gz;GSE212521_refseq_tpm.gct.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE193534,Distant antimetastatic effect of enterotropic colon cancer-derived α4β7 CD8 T cells [bulk RNA-seq],2023/11/01,33,Homo sapiens,True,False,True,True,False,single_cell,,True,4.4,True,,,GSE193534_matrix_expression_TPM.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE180942,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [CRISPR screen],2023/02/28,27,Homo sapiens,True,False,True,True,False,cell_line,,True,1.6,True,,,GSE180942_beta_score_6K.csv.gz;GSE180942_sgRNA_index_6K.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE235800,"Activated CD4 T cells in tuberculosis express OX40, a target for host-directed immunotherapy",2023/11/06,24,Homo sapiens; Mus musculus,True,False,False,True,False,bulk_or_other,,True,217.0,True,,,GSE235800_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE189045,The expression profiles of exosomal miRNAs associated with response to anti-PD-1/PD-L1 monotherapy in advanced NSCLC patients.,2023/01/12,23,Homo sapiens,True,True,True,False,False,exosomal_mirna,,True,1.4,True,False,Serum exosomal miRNA with anti-PD-1/PD-L1 response labels; no mRNA so TACSTD2/CLDN4 cannot be measured.,GSE189045_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE189628,Landscape of immune-related signatures induced by targeting of epigenetic regulators in melanoma I,2022/11/23,23,Homo sapiens,True,False,False,True,False,cell_line,,True,25.0,True,,,GSE189628_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE201021,Pan-cancer tumor-specific antigens and membrane targets from transposable elements,2023/01/20,23,Homo sapiens,True,False,False,True,False,cell_line,,True,38.5,True,,,GSE201021_RAW.tar;GSE201021_rna-seq_p53_HCT116_drug_activation_BRep1_featurecounts.txt.gz;GSE201021_rna-seq_p53_HCT116_drug_activation_BRep2_featurecounts.txt.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE180941,Cancer Cell Resistance to IFNγ Can Occur via Enhanced Double-Strand Break Repair Pathway Activity [RNA-seq],2023/02/28,22,Homo sapiens,True,False,True,True,False,cell_line,,True,2.3,True,,,GSE180941_Raw_Gene_Counts_Matrix.txt.gz;GSE180941_TPM_Matrix.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE179879,Targeting the tumor mutanome for personalized vaccination in lung cancer,2022/04/27,20,Homo sapiens,True,True,False,True,False,xenograft,,True,38.0,True,,,GSE179879_AllCases_TPMcounts.xlsx;GSE179879_LungCohort_TPMcounts.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE180908,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,2022/04/19,20,Mus musculus; Homo sapiens,True,True,False,True,False,xenograft,,True,56014.6,False,,,GSE180908_counts-20210727.csv.gz;GSE180908_custom-annotation.tar.gz;GSE180908_custom-index.tar.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE241876,"Distinct Transcriptional Landscapes Identified by Radiographic Response in Metastatic Triple-Negative Breast Cancer Treated with Carboplatin, Nab-Paclitaxel, and Pembrolizumab in a Single-Arm Phase II Trial",2023/10/19,19,Homo sapiens,True,False,True,True,False,bulk_or_other,,True,5.9,True,,,GSE241876_DeseqNormalizedCount.csv.gz;GSE241876_raw_count_matrix.csv.gz;GSE241876_readme.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE198896,Adolescent bone sarcomas have distinct immune signatures and intercellular communication networks,2022/08/31,18,Homo sapiens,True,False,False,True,False,single_cell,,True,135.0,True,,,GSE198896_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE205049,Spatially Resolved Multi-Omics Single-Cell Analyses Inform Mechanisms of Immune Dysfunction in Pancreatic Cancer,2023/07/20,18,Homo sapiens,True,True,False,True,False,single_cell,,True,248.7,True,,,GSE205049_RAW.tar;GSE205049_scRNA-seq-annotations.csv.gz;GSE205049_scRNA-seq-integrated_GEM.csv.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE223987,The effector program of human CD8 T cells can promote both target cell killing and tissue remodeling (MRC5),2023/11/20,18,Homo sapiens,True,False,True,True,False,single_cell,,True,1.2,True,,,GSE223987_Delacher-RNA-Seq2021-MRC5_Seq-RawCounts.table.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE184242,Patient-derived micro-organospheres (MOS) enable clinical precision oncology,2022/09/01,17,Homo sapiens,True,False,True,True,False,xenograft,,True,118.0,True,,,GSE184242_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE168844,Identification of a novel antitumor CD4+ T cell cluster orchestrating antitumor immunity,2022/12/21,16,Homo sapiens,True,False,True,True,False,single_cell,,True,301.0,True,,,GSE168844_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE201514,TSC2 regulates tumor susceptibility to TRAIL-mediated T cell killing by orchestrating mTOR signaling,2023/01/19,16,Homo sapiens,True,False,True,True,False,bulk_or_other,,True,0.7,True,,,GSE201514_raw_counts.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE202371,Single-cell RNA sequencing reveals cellular and molecular reprograming landscape of brain tumors,2022/11/10,14,Homo sapiens,True,True,False,True,False,single_cell,,True,167.0,True,,,GSE202371_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE180063,Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection,2022/04/19,12,Homo sapiens; Mus musculus; Severe acute respiratory syndrome coronavirus 2,True,True,False,True,False,xenograft,,True,192.0,True,,,GSE180063_counts_SARS.csv.gz;GSE180063_counts_human.csv.gz;GSE180063_counts_mouse.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE186872,RNA-seq study of SRSF2 over-expressing lung cancer cell lines,2022/10/31,12,Homo sapiens,True,True,False,True,False,cell_line,,True,2.0,True,,,GSE186872_Raw_gene_counts_matrix.txt.gz;GSE186872_gene_FPKM_matrix.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE208390,Effect of PLA2G10 treatment on activated human primary T cells.,2022/07/21,12,Homo sapiens,True,True,False,True,False,bulk_or_other,,True,0.8,True,,,GSE208390_gene_count_matrix.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE229503,AVA-ADR-001- a small molecular inhibitor of ADAR1 (Immuno-oncology target),2023/04/17,12,Homo sapiens,True,False,True,True,False,cell_line,,True,2.9,True,,,GSE229503_Control-AvsTreated-A.xlsx;GSE229503_Control-BvsTreated-B.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE250089,Immune evasion in lung metastasis of leiomyosarcoma: upregulation of EPCAM inhibits CD8⁺ T cell infiltration,2023/12/22,12,Homo sapiens,True,True,False,True,False,cell_line,,True,1.8,True,,,GSE250089_counts.tsv.gz;GSE250089_tpms.tsv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE211068,Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [scRNA-seq],2022/08/22,9,Homo sapiens,True,True,False,True,False,single_cell,,True,156.0,True,,,GSE211068_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE205354,Spatially resolved multi-omics single-cell analyses inform mechanisms of immune-dysfunction in pancreatic cancer,2023/07/20,8,Homo sapiens,True,True,False,True,False,single_cell,,True,179.0,True,,,GSE205354_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE210516,RNAseq in lung cancer pneumospheres treated with PD-L1s,2022/09/14,8,Homo sapiens,True,True,False,True,False,bulk_or_other,,True,31.0,True,,,GSE210516_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE211087,Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [scATAC-seq],2022/08/22,8,Homo sapiens,True,True,False,False,False,bulk_or_other,,True,7680.0,False,,,GSE211087_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE199299,Nanoparticles-mediated TRPV1 channel blockade amplifies cancer thermo-immunotherapy via heat shock factor 1 modulation,2022/03/24,6,Homo sapiens,True,False,True,True,False,bulk_or_other,,True,39.0,True,,,GSE199299_RAW.tar;GSE199299_diff-gene-matrix.xlsx;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE209973,"Prediction of prognosis, immunogenicity and efficacy of immunotherapy based on glutamine metabolism in lung adenocarcinoma",2022/07/31,6,Homo sapiens,True,True,False,True,False,single_cell,,True,5.0,True,,,GSE209973_FPKM.xlsx;GSE209973_total_count.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE238003,Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [CUT&Tag],2023/07/25,6,Homo sapiens; Mus musculus,True,True,True,False,False,bulk_or_other,,True,483.0,True,,,GSE238003_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE201460,­The proteasome regulator PSME4 reduces the response to immunotherapy by abrogating tumor immunogenicity in NSCLC,2023/02/26,4,Homo sapiens,True,True,False,True,False,single_cell,,True,1.2,True,,,GSE201460_RNASeq_PSME4KDvsCTRLKD.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE216055,"Multi-modal single-cell and whole-genome sequencing of minute, frozen specimens to propel clinical applications [slideseq]",2022/10/19,3,Homo sapiens,True,True,False,True,False,single_cell,,True,53.0,True,,,GSE216055_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
GSE225689,Netrin-1 blockade induces tumor growth inhibition and EMT reversion in endometrial cancer [scRNA-seq],2023/06/02,2,Homo sapiens,True,False,False,True,False,single_cell,,True,169.0,True,,,GSE225689_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html
