accession	title	taxon	gdstype	n_samples	pdat	suppfile	queries	summary
GSE236722	Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [WGBS]	Homo sapiens; Mus musculus		12			"(KP OR ""Kras;p53"") AND lung adenocarcinoma AND mouse AND checkpoint blockade | KPB25L OR KP7B OR ""KP cell line"" AND lung | lung adenocarcinoma mouse AND immune checkpoint AND single cell"	Thymine DNA Glycosylase (TDG) is a versatile protein involved in DNA mismatch repair, DNA demethylation, and transcriptional regulation. Here, we identify TDG as a synthetic essential effector in p53-deficient tumours. We found that deletion of TDG inhibits cell proliferation specifically in p53-deficient cancer cells. Using a genetically engineered mouse model of lung adenocarcinoma (LUAD), we demonstrate that depletion of TDG suppresses tumour growth in the p53-deficient context. Notably, A novel and selective inhibitor developed to disrupt the DNA binding activity of TDG exhibits therapeutic efficacy against p53-deficient tumours in both cellular and xenograft models. Mechanistically, TDG coordinates with p53 to orchestrate the transcription of RNA helicase DHX9, which functions to eliminate dsRNA. Depletion of TDG in p53-deficient cells results in the downregulation of DHX9 and aberrant cytoplasmic double-strand (dsRNA) accumulation derived from Alu elements, subsequently activating the RIG-I/MDA5-MAVS mediated antiviral response. Moreover, single-cell RNA-sequencing analysis revealed the depletion of TDG in p53-deficient tumours facilitates the recruitment of tumour-infiltrating lymphocytes. We observed that TDG inhibition combined with immune checkpoint blockade (ICB) achieved a strong synergistic anti-tumour effect in p53-deficient tumours. This study highlights the function of TDG in maintaining p53-deficient tumour growth and provides an alternative therapeutic target for p53-deficient cancers.
GSE236726	Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [strand specific RNA-seq]	Mus musculus		13			"(KP OR ""Kras;p53"") AND lung adenocarcinoma AND mouse AND checkpoint blockade | KPB25L OR KP7B OR ""KP cell line"" AND lung | lung adenocarcinoma mouse AND immune checkpoint AND single cell"	Thymine DNA Glycosylase (TDG) is a versatile protein involved in DNA mismatch repair, DNA demethylation, and transcriptional regulation. Here, we identify TDG as a synthetic essential effector in p53-deficient tumours. We found that deletion of TDG inhibits cell proliferation specifically in p53-deficient cancer cells. Using a genetically engineered mouse model of lung adenocarcinoma (LUAD), we demonstrate that depletion of TDG suppresses tumour growth in the p53-deficient context. Notably, A novel and selective inhibitor developed to disrupt the DNA binding activity of TDG exhibits therapeutic efficacy against p53-deficient tumours in both cellular and xenograft models. Mechanistically, TDG coordinates with p53 to orchestrate the transcription of RNA helicase DHX9, which functions to eliminate dsRNA. Depletion of TDG in p53-deficient cells results in the downregulation of DHX9 and aberrant cytoplasmic double-strand (dsRNA) accumulation derived from Alu elements, subsequently activating the RIG-I/MDA5-MAVS mediated antiviral response. Moreover, single-cell RNA-sequencing analysis revealed the depletion of TDG in p53-deficient tumours facilitates the recruitment of tumour-infiltrating lymphocytes. We observed that TDG inhibition combined with immune checkpoint blockade (ICB) achieved a strong synergistic anti-tumour effect in p53-deficient tumours. This study highlights the function of TDG in maintaining p53-deficient tumour growth and provides an alternative therapeutic target for p53-deficient cancers.
GSE236727	Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [scRNA-seq]	Mus musculus		2			"(KP OR ""Kras;p53"") AND lung adenocarcinoma AND mouse AND checkpoint blockade | KPB25L OR KP7B OR ""KP cell line"" AND lung | lung adenocarcinoma mouse AND immune checkpoint AND single cell"	Thymine DNA Glycosylase (TDG) is a versatile protein involved in DNA mismatch repair, DNA demethylation, and transcriptional regulation. Here, we identify TDG as a synthetic essential effector in p53-deficient tumours. We found that deletion of TDG inhibits cell proliferation specifically in p53-deficient cancer cells. Using a genetically engineered mouse model of lung adenocarcinoma (LUAD), we demonstrate that depletion of TDG suppresses tumour growth in the p53-deficient context. Notably, A novel and selective inhibitor developed to disrupt the DNA binding activity of TDG exhibits therapeutic efficacy against p53-deficient tumours in both cellular and xenograft models. Mechanistically, TDG coordinates with p53 to orchestrate the transcription of RNA helicase DHX9, which functions to eliminate dsRNA. Depletion of TDG in p53-deficient cells results in the downregulation of DHX9 and aberrant cytoplasmic double-strand (dsRNA) accumulation derived from Alu elements, subsequently activating the RIG-I/MDA5-MAVS mediated antiviral response. Moreover, single-cell RNA-sequencing analysis revealed the depletion of TDG in p53-deficient tumours facilitates the recruitment of tumour-infiltrating lymphocytes. We observed that TDG inhibition combined with immune checkpoint blockade (ICB) achieved a strong synergistic anti-tumour effect in p53-deficient tumours. This study highlights the function of TDG in maintaining p53-deficient tumour growth and provides an alternative therapeutic target for p53-deficient cancers.
GSE236728	Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer	Mus musculus; Homo sapiens		73			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	This SuperSeries is composed of the SubSeries listed below.
GSE241977	IFN    -induced treatment of a Human Lung Adenocarcinoma Cell Line is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (a549 bulk RNA)	Homo sapiens		6			lung adenocarcinoma mouse AND immune checkpoint AND single cell	While immunotherapy has shown efficacy in non-small cell lung cancer (NSCLC) patients, many respond only partially or not at all. One limitation in improving outcomes is the lack of a complete understanding of factors regulating immune checkpoint targets. Here, we sought to address a possible link between an environmental chemical receptor implicated in NSCLC and immune regulation, the aryl hydrocarbon receptor (AhR), and a known but counterintuitive mediator of immunosuppression, IFN    , in regulation of two immune checkpoints, PD-L1 and the IDO1, in lung adenocarcinoma (LUAD). To this end we used AhR, PD-L1, and IFN    R gene-edited LUAD cell lines, a syngeneic LUAD mouse model, bulk- and single cell-RNA sequencing of LUADs and tumor-infiltrating leukocytes, and existing human transcriptomic databases. The data demonstrate that: 1) the AhR regulates both PD-L1 and IDO1 in murine and human LUAD cells, 2) AhR-driven IDO1 results in production of Kyn which likely mediates an AhR→IDO1→Kyn→AhR amplification loop, 3) the previously characterized induction by IFN    of PD-L1 and IDO is mediated by the AhR, 4) transplantation of LUAD cells in which the AhR is deleted results in long-term tumor immunity in approximately half of the mice; slow growing tumors in the other half exhibit significantly higher densities of CD4+ and CD8+ T cells expressing immunocompetence markers, and 5) deletion of either IFN    R1 or PD-L1 does not provide the same level of immune protection as AhR deletion. The data definitively link IFN    - mediated immunosuppression to the AhR and support the targeting of the AhR in the context of LUAD.
GSE241978	IFN    -induced Immunosuppression in Lung Carcinoma is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (cm167 bulk RNA)	Mus musculus		6			CMT167 | CMT167 AND (PD-1 OR PD-L1) | lung adenocarcinoma mouse AND immune checkpoint AND single cell	While immunotherapy has shown efficacy in non-small cell lung cancer (NSCLC) patients, many respond only partially or not at all. One limitation in improving outcomes is the lack of a complete understanding of factors regulating immune checkpoint targets. Here, we sought to address a possible link between an environmental chemical receptor implicated in NSCLC and immune regulation, the aryl hydrocarbon receptor (AhR), and a known but counterintuitive mediator of immunosuppression, IFN    , in regulation of two immune checkpoints, PD-L1 and the IDO1, in lung adenocarcinoma (LUAD). To this end we used AhR, PD-L1, and IFN    R gene-edited LUAD cell lines, a syngeneic LUAD mouse model, bulk- and single cell-RNA sequencing of LUADs and tumor-infiltrating leukocytes, and existing human transcriptomic databases. The data demonstrate that: 1) the AhR regulates both PD-L1 and IDO1 in murine and human LUAD cells, 2) AhR-driven IDO1 results in production of Kyn which likely mediates an AhR→IDO1→Kyn→AhR amplification loop, 3) the previously characterized induction by IFN    of PD-L1 and IDO is mediated by the AhR, 4) transplantation of LUAD cells in which the AhR is deleted results in long-term tumor immunity in approximately half of the mice; slow growing tumors in the other half exhibit significantly higher densities of CD4+ and CD8+ T cells expressing immunocompetence markers, and 5) deletion of either IFN    R1 or PD-L1 does not provide the same level of immune protection as AhR deletion. The data definitively link IFN    - mediated immunosuppression to the AhR and support the targeting of the AhR in the context of LUAD.
GSE241979	IFN    -induced Immunosuppression in Lung Carcinoma is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (cmt167 scRNA)	Mus musculus		5			CMT167 | CMT167 AND (PD-1 OR PD-L1) | lung adenocarcinoma mouse AND immune checkpoint AND single cell	While immunotherapy has shown efficacy in non-small cell lung cancer (NSCLC) patients, many respond only partially or not at all. One limitation in improving outcomes is the lack of a complete understanding of factors regulating immune checkpoint targets. Here, we sought to address a possible link between an environmental chemical receptor implicated in NSCLC and immune regulation, the aryl hydrocarbon receptor (AhR), and a known but counterintuitive mediator of immunosuppression, IFN    , in regulation of two immune checkpoints, PD-L1 and the IDO1, in lung adenocarcinoma (LUAD). To this end we used AhR, PD-L1, and IFN    R gene-edited LUAD cell lines, a syngeneic LUAD mouse model, bulk- and single cell-RNA sequencing of LUADs and tumor-infiltrating leukocytes, and existing human transcriptomic databases. The data demonstrate that: 1) the AhR regulates both PD-L1 and IDO1 in murine and human LUAD cells, 2) AhR-driven IDO1 results in production of Kyn which likely mediates an AhR→IDO1→Kyn→AhR amplification loop, 3) the previously characterized induction by IFN    of PD-L1 and IDO is mediated by the AhR, 4) transplantation of LUAD cells in which the AhR is deleted results in long-term tumor immunity in approximately half of the mice; slow growing tumors in the other half exhibit significantly higher densities of CD4+ and CD8+ T cells expressing immunocompetence markers, and 5) deletion of either IFN    R1 or PD-L1 does not provide the same level of immune protection as AhR deletion. The data definitively link IFN    - mediated immunosuppression to the AhR and support the targeting of the AhR in the context of LUAD.
GSE241980	IFN    -induced Immunosuppression in Lung Carcinoma is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control	Mus musculus; Homo sapiens		17			CMT167 | CMT167 AND (PD-1 OR PD-L1)	This SuperSeries is composed of the SubSeries listed below.
GSE242510	Myeloid-mesenchymal crosstalk drives ARG1-dependent profibrotic metabolism via ornithine in lung fibrosis	Mus musculus		6			Tacstd2 AND lung	Single-cell RNA sequencing (scRNA-seq) was performed to investigate fibroblast–myeloid cell crosstalk in lung fibrosis. The dataset includes murine lung macrophage–fibroblast cocultures or fibroblast monocultures, with macrophages derived from WT mice and fibroblasts from either WT or fibroblast-specific P2rx4 knockout (Pdgfrb-Cre: P2rx4 f/f) mice 7 days after bleomycin injury. Cells were captured using the Fluent Biosciences PIPseq platform. Data include gene–cell count matrices and support the study “Myeloid–mesenchymal crosstalk drives ARG1-dependent profibrotic metabolism via ornithine in lung fibrosis” (Yadav et al., 2025).
GSE242511	Reciprocal inflammatory signals establish profibrotic cross-feeding metabolism [young_old_bleo]	Mus musculus		8			Tacstd2 AND lung	When monocyte-derived macrophages are recruited to injured tissues, they can induce a maladaptive fibrotic response characterized by excessive production of fibrillar collagen from local fibroblasts. Macrophages initiate the fibrotic programming of fibroblasts via paracrine factors, but it is unclear if reciprocal responses from the fibroblasts trigger pro-fibrotic programming of macrophages to establish a collaborative feed-forward fibrotic circuit. We identify macrophage-fibroblast cross talk necessary for injury-associated fibrosis, in which macrophages induce interleukin 6 (IL-6) expression in fibroblasts via purinergic receptor P2rx4 signaling and IL-6 induces arginase 1 (Arg1) expression in macrophages. Surprisingly, Arg1 contributes to fibrotic responses by metabolizing arginine to ornithine, which fibroblasts use as a substrate to synthesize proline, a uniquely abundant constituent of fibrillar collagen Taken together, we define a bidirectional circuit between macrophages and fibroblasts that facilitates cross-feeding metabolism necessary for injury-associated fibrosis.
GSE242697	Single-cell RNA sequencing of iALI epithelial and mesenchymal cell derived from UHOMi003-A cell line	Homo sapiens		3			Tacstd2 AND lung	This study aims to specify the effect of air pollution (PM2.5 developed by NIST), on bronchial epithelium generated from induced pluripotent stem cells, called iALI. The exposition was performed during 15 days on basal side and media was changed everyday. We performed single-cell RNA-sequencing (10x Genomics Chromium) to capture 10 000 cells on EpCAM+ cells (epithelial cells) and on EpCAM- cells (mesenchymal cells), in both control and exposed condition. Then, analyse was perfomed in R by using Seurat pipeline, to identified each cluster cells and induced and repressed genes.
GSE243124	Single-cell sequencing of mouse lung epithelial cells after bleomycin injury and modulation of IRE1α	Mus musculus		4			Tacstd2 AND lung	Epithelial cells that are committed to a differentiated state in homeostasis can change their identity in response to injury. In the lung, alveolar type 2 (AT2) cells are the resident secretory epithelial cells of the alveolus, and after injury can proliferate and differentiate into type 1 cells. This inducible plasticity is central to alveolar regeneration, fibrosis, and malignancy, but the regulatory pathways that govern the balance between fate maintenance and differentiation are incompletely understood.  Epithelial cells that are committed to a differentiated state in homeostasis can change their identity in response to injury. In the lung, alveolar type 2 (AT2) cells are the resident secretory epithelial cells of the alveolus, and after injury can proliferate and differentiate into type 1 cells. This inducible plasticity is central to alveolar regeneration, fibrosis, and malignancy, but the regulatory pathways that govern the balance between fate maintenance and differentiation are incompletely understood. IRE1α is an ER transmembrane protein conserved throughout eukaryotes that senses misfolded protein in the ER lumen and initiates cellular efforts to regain protein folding homeostasis through its cytosolic kinase and RNase domains. We previously showed that IRE1α pharmacologic or genetic loss of function decreased the accumulation of damage-associated transient progenitors (DATPs), and also promoted their differentiation into new alveolar epithelial cells. To further detail the functions of IRE1α after AT2 injury, we performed single-cell transcriptome profiling of the AT2-to-AT1 transition after bleomycin injury, with pharmacologic or epithelial-specific genetic loss of IRE1α function.
GSE244117	Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer [Spatial transcriptomics on de-identified human ONB samples]	Homo sapiens		96			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	The olfactory epithelium relies on active neuron regeneration from basal stem cells and is susceptible to olfactory neuroblastoma (ONB), a rare, aggressive tumor of unclear origins. Here, we establish a new, highly-penetrant, genetically-engineered mouse model of ONB with alterations in Rb1/Trp53/Myc that exhibit a NEUROD1+ immature neuronal state. ASCL1 loss leads to emergence of non-neuronal histopathologies, including a POU2F3+ microvillar-like state. We find ONB tumor heterogeneity to recapitulate developmental states of multipotent globose basal cells (GBCs), which our data demonstrate is a cell of origin for ONB. Similar to small cell lung cancer (SCLC), mouse and human ONB exhibit: mutually exclusive ASCL1, NEUROD1, and POU2F3- like states, an immune-cold tumor microenvironment, intratumoral subtype heterogeneity comprising neuronal and non-neuronal lineages, and subtype plasticity—as evidenced by barcode-based lineage tracing and single-cell transcriptomics. Collectively, our findings highlight conserved developmental trajectories between ONB and SCLC subtypes with significant implications for ONB classification and treatment.
GSE244119	Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer [Single cell RNA seq on RPM and RPMA GBC-derived allograft tumors, CellTagged]	Mus musculus		2			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	The olfactory epithelium relies on active neuron regeneration from basal stem cells and is susceptible to olfactory neuroblastoma (ONB), a rare, aggressive tumor of unclear origins. Here, we establish a new, highly-penetrant, genetically-engineered mouse model of ONB with alterations in Rb1/Trp53/Myc that exhibit a NEUROD1+ immature neuronal state. ASCL1 loss leads to emergence of non-neuronal histopathologies, including a POU2F3+ microvillar-like state. We find ONB tumor heterogeneity to recapitulate developmental states of multipotent globose basal cells (GBCs), which our data demonstrate is a cell of origin for ONB. Similar to small cell lung cancer (SCLC), mouse and human ONB exhibit: mutually exclusive ASCL1, NEUROD1, and POU2F3- like states, an immune-cold tumor microenvironment, intratumoral subtype heterogeneity comprising neuronal and non-neuronal lineages, and subtype plasticity—as evidenced by barcode-based lineage tracing and single-cell transcriptomics. Collectively, our findings highlight conserved developmental trajectories between ONB and SCLC subtypes with significant implications for ONB classification and treatment.
GSE244122	Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer [Single cell RNA seq on RPM-GFP and RPMA ONB tumors]	Mus musculus		4			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	The olfactory epithelium relies on active neuron regeneration from basal stem cells and is susceptible to olfactory neuroblastoma (ONB), a rare, aggressive tumor of unclear origins. Here, we establish a new, highly-penetrant, genetically-engineered mouse model of ONB with alterations in Rb1/Trp53/Myc that exhibit a NEUROD1+ immature neuronal state. ASCL1 loss leads to emergence of non-neuronal histopathologies, including a POU2F3+ microvillar-like state. We find ONB tumor heterogeneity to recapitulate developmental states of multipotent globose basal cells (GBCs), which our data demonstrate is a cell of origin for ONB. Similar to small cell lung cancer (SCLC), mouse and human ONB exhibit: mutually exclusive ASCL1, NEUROD1, and POU2F3- like states, an immune-cold tumor microenvironment, intratumoral subtype heterogeneity comprising neuronal and non-neuronal lineages, and subtype plasticity—as evidenced by barcode-based lineage tracing and single-cell transcriptomics. Collectively, our findings highlight conserved developmental trajectories between ONB and SCLC subtypes with significant implications for ONB classification and treatment.
GSE244123	Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer	Homo sapiens; Mus musculus		103			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	This SuperSeries is composed of the SubSeries listed below.
GSE244820	Activation of alveolar epithelial ER stress by b-coronavirus infection disrupts surfactant homeostasis in mice: implications for COVID-19 respiratory failure	Mus musculus		10			Cldn4 AND lung	Covid-19 syndrome is characterized by an acute lung injury phenotype marked by hypoxemic respiratory failure and high mortality. Alveolar Type 2 (AT2) cells are essential for gas exchange, repair, and regeneration of distal lung epithelium. We have shown that the causative agent, SARS-CoV-2 and other members of the b coronavirus genus induces an ER stress response in vitro however the consequences for host AT2 cell function in vivo are less understood.  To study this, two murine models of coronavirus infection were employed– mouse hepatitis virus-1 (MHV-1) in A/J mice and a C57BL6/j adapted SARS-CoV-2 strain.  MHV-1 infected mice exhibited dose-dependent weight loss through Day 8 (8dpi) with histological evidence of distal lung injury accompanied by elevated BALF cell counts and total protein.  AT2 cells isolated at 4dpi and 8dpi showed evidence of both viral infection and increases in Bip /GRP78 expression, consistent with activation of the unfolded protein response (UPR).  AT2 UPR signaling included elevations in spliced XBP-1 indicating activation of IRE1a signaling as well as a biphasic response in PERK signaling mark by phosphorylated eIF2a protein levels and expression of Atf4, Ppp1r15a, and Ddit3. Viral UPR activation was accompanied by marked reductions in AT2 and BALF surfactant protein (SP-B, SP-C) content, increases in surfactant surface tension, and emergence of a re-programmed epithelial cell population (Krt8+, Cldn4+, and Gdf15+) which was attenuated by treatment with the IRE1a inhibitor OPK711.  As proof-of-concept, C57BL6 mice infected with mouse-adapted SARS-CoV-2 demonstrated similar lung injury and evidence of disrupted surfactant homeostasis.  We conclude that hypoxic respiratory failure from b-coronavirus infection results from an aberrant AT2 cell host response activating multiple ER stress pathways, altering surfactant metabolism / function, and changing AT2 endophenotypes offering a mechanistic link between SARS-CoV-2 infection, AT2 cell biology, and hypoxemic respiratory failure.
GSE245236	Local IL-4 signaling within bone marrow drives pathogenic myelopoiesis in lung cancer	Mus musculus		5			"(KP OR ""Kras;p53"") AND lung adenocarcinoma AND mouse AND checkpoint blockade"	Myeloid cells, in particular monocytes and macrophages, are well-described to suppress the antitumor immune response. However, the molecular mechanisms controlling immunosuppressive myeloid cell states are ill- defined, hampering the development of myeloid-targeted therapies for cancer1,2. Here, we transcriptionally profiled over 500,000 tumor infiltrating leukocytes in non-small cell lung cancer (NSCLC) patients and in the KrasG12DTp53-/- (KP) murine lung adenocarcinoma model. In both species, the Type 2 cytokine IL-4 was predicted to be the primary driver of tumor infiltrating monocyte-derived macrophage (mo-mac) phenotype, despite the fact that lung tumors were largely devoid of IL-4 producing cells. Using a panel of conditional knockout mice, we found that only deletion of IL-4Ra within early myeloid progenitors in bone marrow (BM) reduced lung tumor burden, while deletion of this receptor in downstream mature myeloid cells had no effect. Detailed transcriptional analysis followed by mechanistic studies in vivo revealed an essential role for local BM IL-4 signaling in reprograming myelopoiesis in cancer. Mechanistically, basophils and eosinophils within BM upregulated IL4 production upon sensing distal tumor cues; local BM IL-4 acted on granulocyte-monocyte progenitors to transcriptionally program the development of immunosuppressive myeloid cells, which then homed to the tumor and promoted tumor growth. Consequentially, specific depletion of basophils, which were enriched in BM but absent from the tumor, profoundly reduced tumor burden and normalized myelopoiesis in experimental lung tumors. Prompted by these results, we designed and initiated the first clinical trial of dupilumab, a humanized IL- 4Ra blocking antibody commonly used for atopic disease, given in conjunction with PD-(L)1 blockade in relapsed/refractory NSCLC patients who had progressed on standard chemoimmunotherapy combinations. Consistent with our preclinical mouse data, dupilumab drove a reduction in circulating monocytes. This was coupled with an expansion of circulating and tumor-infiltrating CD8 T cells. Notably, one out of the six patients who enrolled in Phase 1b of this trial exhibited significant decrease in his tumor burden after two months of dupilumab treatment, and the clinical response deepened further to a near complete response even after cessation of dupilumab, suggestive of successful reprogramming of the antitumor response. Collectively, our study defines a role for IL-4 signaling in lung tumor progression, identifies a central axis controlling immunosuppressive myelopoiesis in cancer, and highlights a novel combination therapy for immune checkpoint blockade in humans.
GSE247130	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [1]	Mus musculus		12			Cldn4 AND lung	Cell plasticity theoretically extends to all possible cell types, but naturally decreases as cells differentiate, whereas injury-repair re-engages the developmental plasticity. Here we show that the lung alveolar type 2 (AT2)-specific transcription factor (TF), CEBPA, restricts AT2 cell plasticity in the mouse lung. AT2 cells undergo transcriptional and epigenetic maturation postnatally. Without CEBPA, both neonatal and mature AT2 cells reduce the AT2 program, but only the former reactivate the SOX9 progenitor program. Sendai virus infection bestows mature AT2 cells with neonatal plasticity where Cebpa mutant, but not wild type, AT2 cells express SOX9, as well as more readily proliferate and form KRT8/CLDN4+ transitional cells. CEBPA promotes the AT2 program by recruiting the lung lineage TF NKX2-1. The temporal change in CEBPA-dependent plasticity reflects AT2 cell developmental history. The ontogeny of AT2 cell plasticity and its transcriptional and epigenetic mechanisms have implications in lung regeneration and cancer.
GSE247271	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [ChIP-seq]	Mus musculus		30			Cldn4 AND lung	Cell plasticity theoretically extends to all possible cell types, but naturally decreases as cells differentiate, whereas injury-repair re-engages the developmental plasticity. Here we show that the lung alveolar type 2 (AT2)-specific transcription factor (TF), CEBPA, restricts AT2 cell plasticity in the mouse lung. AT2 cells undergo transcriptional and epigenetic maturation postnatally. Without CEBPA, both neonatal and mature AT2 cells reduce the AT2 program, but only the former reactivate the SOX9 progenitor program. Sendai virus infection bestows mature AT2 cells with neonatal plasticity where Cebpa mutant, but not wild type, AT2 cells express SOX9, as well as more readily proliferate and form KRT8/CLDN4+ transitional cells. CEBPA promotes the AT2 program by recruiting the lung lineage TF NKX2-1. The temporal change in CEBPA-dependent plasticity reflects AT2 cell developmental history. The ontogeny of AT2 cell plasticity and its transcriptional and epigenetic mechanisms have implications in lung regeneration and cancer.
GSE248746	Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer [Single nucleus RNA-seq on human ONB tumor]	Homo sapiens		1			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	The olfactory epithelium relies on active neuron regeneration from basal stem cells and is susceptible to olfactory neuroblastoma (ONB), a rare, aggressive tumor of unclear origins. Here, we establish a new, highly-penetrant, genetically-engineered mouse model of ONB with alterations in Rb1/Trp53/Myc that exhibit a NEUROD1+ immature neuronal state. ASCL1 loss leads to emergence of non-neuronal histopathologies, including a POU2F3+ microvillar-like state. We find ONB tumor heterogeneity to recapitulate developmental states of multipotent globose basal cells (GBCs), which our data demonstrate is a cell of origin for ONB. Similar to small cell lung cancer (SCLC), mouse and human ONB exhibit: mutually exclusive ASCL1, NEUROD1, and POU2F3- like states, an immune-cold tumor microenvironment, intratumoral subtype heterogeneity comprising neuronal and non-neuronal lineages, and subtype plasticity—as evidenced by barcode-based lineage tracing and single-cell transcriptomics. Collectively, our findings highlight conserved developmental trajectories between ONB and SCLC subtypes with significant implications for ONB classification and treatment.
GSE249658	Effect of depletion of KDM4D, NFIB, and MLL1 on gene expression during adipogenic differentiation of C3H10T1/2 mesenchymal stem cells	Mus musculus		3			EGFR AND lung AND mouse AND (PD-1 OR PD-L1 OR immunotherapy)	The limited efficacy of currently approved immunotherapies in EGFR-mutant lung adenocarcinoma (LUAD) underscores the need to better understand alternative mechanisms governing local immunosuppression to fuel novel therapies. Elevated surfactant and GM-CSF secretion from the transformed epithelium induces tumor-associated alveolar macrophages (TA-AM) to proliferate and support tumor growth by rewiring inflammatory functions and lipid metabolism. TA-AM properties are driven by increased GM-CSF—PPARγ signaling and inhibition of airway GM-CSF or PPARγ in TA-AMs suppresses cholesterol efflux to tumor cells, which impairs EGFR phosphorylation and restrains LUAD progression. In the absence of TA-AM metabolic support, LUAD cells compensate by increasing cholesterol synthesis, and blocking PPARγ in TA-AMs simultaneous with statin therapy further suppresses tumor progression and increases T cell effector functions. These results reveal new therapeutic combinations for immunotherapy resistant EGFR-mutant LUADs and demonstrate how such cancer cells can metabolically co-opt TA-AMs through GM-CSF—PPARγ signaling to provide nutrients that promote oncogenic signaling and growth.
GSE250297	Nono stimulates the DNA damage response by mediating the induction of Gadd45b [CUT&Run]	Mus musculus		5			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	RNA-binding proteins (RBPs) are frequently deregulated in cancer and emerge as effectors of the DNA damage response (DDR). The non-POU domain-containing octamer-binding protein NONO/p54nrb is a multi-functional RBP that modulates the production and processing of mRNA in unperturbed cells, but also promotes the repair of DNA double-strand breaks (DSBs). Here, we investigate the impact of Nono deletion in the murine cell-based lung cancer model KP (KRasG12D, Trp53-/-). We show that the deletion of Nono impairs the response to DSBs induced by the topoisomerase-II inhibitor etoposide. Nono-deficient KP (KPN) cells display prolonged activation of DSB signaling and an increased amount of DSBs. The defects in the DDR are accompanied with reduced RNAPII promoter occupancy, elevated levels of DNA-RNA-hybrids (R-loops), and attenuated induction of the DDR factor growth arrest and DNA damage inducible beta (Gadd45b). Our data suggest a Nono-mediated, genome-protective crosstalk of the DDR with the RNA metabolism. Our data characterise Gadd45b as putative Nono-dependent effector of the DDR and suggest that Nono mediates a genome-protective crosstalk of the DDR with the RNA metabolism via induction of Gadd45b.
GSE250301	Nono stimulates the DNA damage response by mediating the induction of Gadd45b [RNA-seq]	Mus musculus		12			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	RNA-binding proteins (RBPs) are frequently deregulated in cancer and emerge as effectors of the DNA damage response (DDR). The non-POU domain-containing octamer-binding protein NONO/p54nrb is a multi-functional RBP that modulates the production and processing of mRNA in unperturbed cells, but also promotes the repair of DNA double-strand breaks (DSBs). Here, we investigate the impact of Nono deletion in the murine cell-based lung cancer model KP (KRasG12D, Trp53-/-). We show that the deletion of Nono impairs the response to DSBs induced by the topoisomerase-II inhibitor etoposide. Nono-deficient KP (KPN) cells display prolonged activation of DSB signaling and an increased amount of DSBs. The defects in the DDR are accompanied with reduced RNAPII promoter occupancy, elevated levels of DNA-RNA-hybrids (R-loops), and attenuated induction of the DDR factor growth arrest and DNA damage inducible beta (Gadd45b). Our data suggest a Nono-mediated, genome-protective crosstalk of the DDR with the RNA metabolism. Our data characterise Gadd45b as putative Nono-dependent effector of the DDR and suggest that Nono mediates a genome-protective crosstalk of the DDR with the RNA metabolism via induction of Gadd45b.
GSE250302	Nono stimulates the DNA damage response by mediating the induction of Gadd45b	Mus musculus		17			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	This SuperSeries is composed of the SubSeries listed below.
