accession	n_samples	ici_any	ici_in_sample_metadata	models	llc_only	in_vivo	strategies	gds_summary_type	suppfile	pubmed	series_title	design
GSE161492	171	False	False		False	True	ATAC-seq,RNA-Seq			33664261	Transcriptome and Chromatin Landscape of iNKT Cells are Shaped by Subset Differentiation and Antigen Exposure	Refer to individual Series
GSE161514	16	False	False	SCLC_GEMM	False	True	RNA-Seq			31727771	RNA-sequencing of bulk small cell lung cancer lung tumors generating by either injecting LSL-Cas9 mice with a sgControl RPP CMV Cre adenovirus or a sgKdm5a RPP CMV Cre adenovirus	Bulk RNA sequencing from small cell lung cancer lung tumors that are KDM5A mutant (sgKdm5a RPP) or KDM5A WT (sgControl RPP)
GSE161548	20	False	False	SCLC_GEMM	False	True	RNA-Seq			31727771	The KDM5A/RBP2 histone demethylase represses NOTCH signaling to sustain neuroendocrine differentiation and promote small cell lung cancer tumorigenesis	Refer to individual Series
GSE161606	15	False	False	KP_kras_p53,SCLC_GEMM	False	False	RNA-Seq			34236315	RNA sequencing comparing mouse lung cancer cell lines derived from Kras G12D Trp53 -/- and Kras G12D Trp53 -/- sgMga tumors	Each condition (Empty vs. sgMga) is represented in 3 independent sgMga lines in biological triplicates and 2 control Empty lines in biological triplicate (n=9 sgMga n=6 Empty)
GSE161771	16	False	False		False	True	RNA-Seq			34795032	Macrophage-targeted Therapy Unlocks Antitumoral Crosstalk Between IFN𝜸-secreting Lymphocytes and IL12-producing Dendritic Cells	Single-cell RNA sequencing (scRNAseq) of lung-infiltrating CD45+ cells from healthy mice (n=2), and lung adenocarcinoma-bearing mice treated with the CSF1R inhibitor BLZ945 (n=2) or vehicle alone (n=2).
GSE161878	24	False	False		False	False	RNA-Seq			33660333,34621188	The impact of influenza pulmonary infection and inflammation on vagal bronchopulmonary sensory neurons	Transcriptome of vagal sensory ganglia obtained from mice infected with a respiratory pathogen (influenza A)
GSE161908	4	True	False		False	False	RNA-Seq			35181787	Differential expression genes analysis in MC38/gp100 cell line with DMSO or type I PRMT inhibitor treatment	mRNA profiles of MC38/gp100 cells treated with DMSO or 1uM GSK3368712 for 5 days
GSE161938	4	False	False		False	False	RNA-Seq			35260804	Clonotypic analysis of protective influenza M2e-specific lung resident T helper memory cells reveals extensive functional plasticity	Three immunizations with 5μg CTA1-3M2e-DD in sterile PBS were done with 10 days between the doses. Mice were sacrificed 6 months after the final immunization 3 or 8 days after an influenza A virus challenge infection. Influenza A virus challenge experiments were performed using a lethal dose of 4x LD50 of the mouse-adapted X47(H3N2) virus strain (a reassortant between A/Victoria/3/75 (H3N2) and A/
GSE162898	6	False	False		False	False	RNA-Seq				An IL-9-pulmonary macrophage axis defines the allergic lung inflammatory environment	There are two samples, one is pooled cells of WT lung macropahges and WT blood monocytes, the other one is pooled cells of Il9r KO lung macropahges and Il9r KO blood monocytes.
GSE162919	3	False	False		False	False				35236337	microarray analysis of lung SPC/GFP+ EpCAM+ cells from different smoke exposure mice	Lung SPC/GFP+ EpCAM+ cells from the control mice, 3 week continuous smoke mice, and 3 week intermittent smoke mice were sorted, RNA extraction from these cells was hybridized on Affymetrix microarrays.
GSE163087	15	False	False	KP_kras_p53	False	True	RNA-Seq			33738287	Implementation of CRISPR/Cas9 genome editing to generate murine lung cancer models that depict the mutational landscape of the human disease	gene expression changes of murine WT lung tissue and lung tumor derived cell lines (KPGemm and KPCrispr)
GSE163915	15	False	False		False	False	RNA-Seq				Transcriptional profiling of BoNT/A-induced lung injury in mice	Examination of the trascriptional altertions in mice lungs after acute exposure a single dose of BoNT/A in a time-dependent manner.
GSE164094	67	False	False		False	False				33777004	Gene expression signatures to the radiation attenuated Schistosome Vaccine	Mice were vaccinated with one dose (V1) or three doses (V3) of 500 attenuated cercariae, or infected (VC) with 500 normal ceracriae. Then, gene expression in mice PBMC was measured in a time course manner at days 7 (7dpi) and 17 (17dpi) after vacination or infection. In addition, the vaccine groups (V1 and V3) and a challenge control (Chc) were challenge with 120 normal cercariae and PBMC gene exp
GSE164436	6	False	False	KP_kras_p53	False	True	RNA-Seq			34381046	Loss of Smad4 promotes aggressive lung cancer metastasis by de-repression of PAK3 via miRNA regulation	In this study, we used adeno-Cre to conditionally activate a KrasG12D allele with concomitant deletion of Smad4 (Smad4 fl/fl) and p53 (p53fl/fl) genes to induce lung cancer. Expression of mutant KrasG12D along with p53 and Smad4 loss-of-function (LOF) engendered a high incidence of metastasis to different tissues, compared to that found in p53fl/fl; KrasG12D mice. We isolated lung tumors from Aden
GSE164487	4	True	False	LLC	True	False	RNA-Seq			34916656	Intrapleural nano-immunotherapy promotes innate and adaptive immune responses to enhance anti-PD-L1 therapy for malignant pleural effusion	The LLC MPE mice (n = 3/treatment) were treated with intrapleural PBS, LNP-CDN (1 µg), anti-PD-L1 Ab (10F.9G2; 30 µg; BioXCell) or LNP-CDN plus anti-PD-L1 Ab. 48 h later, pleural fluid cells were collected and pooled from n = 3 MPE mice under each treatment. Biological replicates were then processed at the single-cell suspension stage with an equivalent number of cells from each replicate. Four th
GSE164590	2	False	False		False	False	RNA-Seq				Single cell transcriptional analysis reveals the effects of mucosal vaccination on mouse lung CD4 T cell compartments	Mouse lung CD4 T cells pooled from mock (PBS control) or mucosally vaccinated with H1/ML-RR-cGAMP vaccine (IN vacc) 3 weeks post M. tuberculosis infection, 3 mice pooled per sample.
GSE164653	6	False	False		False	True	RNA-Seq			35029648	Lung tumor MHCII immunity depends on in situ antigen presentation by fibroblasts. [CAF]	mRNA profiles of MHCII+ and MHCII- cancer assosiated fibroblasts (apCAFs and nonapCAFs respectively) from orthopotic lung tumors of wt mice (over 8-week-old mice) were analysed. ApCAFs and nonapCAFs were isolated simultaneously from pulled tumors in 3 independent experiments.
GSE164659	7	False	False		False	True	RNA-Seq			35029648	Lung tumor MHCII immunity depends on in situ antigen presentation by fibroblasts. [CD4 T cells]	mRNA profiles of CD4 T cells from orthopotic lung tumors of I-AbF/FCol1a2-cre vs I-AbF/F mice (gender and age-matched, over 8-week-old mice) were analysed. Intratumoral CD4 T cells were isolated from 5 biological replicates of I-AbF/F mice (control) and 2 from I-AbF/FCol1a2-cre mice (experimental).
GSE164770	4	False	False	KP_kras_p53	False	True	RNA-Seq			34561242	Smarca4 inactivation promotes lineage-specific transformation and early metastatic features in the lung [RNA-seq]	Isogenic pairs of murine KrasG12D/+;Trp53-/- lung adenocarcinoma cell lines harboring intact Smarca4 or loss-of-function Smarca4 mutations generated by CRISPR in vitro. Biological replicates were generated from two independent tumor-derived parental cell lines
GSE164860	18	True	False		False	False	RNA-Seq				Cytotoxic lymphocytes use mechanosurveillance to target biophysical vulnerabilities in cancer	We report the genes induced by MRTFA or MRTFB overexpression in two mouse cancer cell lines E0771 and B16F10
GSE164867	80	False	False	KP_kras_p53	False	False	ATAC-seq,OTHER,RNA-Seq			34561242	Smarca4 inactivation promotes lineage-specific transformation and early metastatic features in the lung	Refer to individual Series
GSE164872	12	False	False	KP_kras_p53	False	True	RNA-Seq			34963055	EMSY inhibits homologous recombination repair and the interferon response promoting lung cancer immune evasion	All 12 samples generated by deep sequencing
GSE165063	6	False	False		False	False	RNA-Seq			34927678	A Single Cell Atlas of Alveolar Development	Single Cell RNAseq of dissociated mouse lungs at ages: E12, E15, P3, P5, and P7. Suspensions were enriched for cells that were CD45 negative, Ter119 negative, and viable. P7 lungs were enriched for epithelial cells by collecting EPCAM positive cells.
GSE165404	15	True	True		False	True	RNA-Seq			34686340	Targeting TREM2 on tumor associated macrophages enhances efficacious immunotherapy	10X Genomics single-cell RNA sequencing of CD45+ sorted immune cells from 10 human tumors and 1 murine syngenic model
GSE165500	9	True	False		False	False	RNA-Seq			33868271	Transcriptomic analysis of bone marrow derived macrophages (BMDM) activated by conditioned media (CM) generated from control (CO-Fibs) and hypertensive pulmonary artery adventitial fibroblasts (PH-Fib	mRNA profiles of mice BMDM treated with control and pulmonary hypertensive adventitial fibroblast culture media
GSE165517	20	True	True	LLC	True	True				35493461	Transcriptional analysis on the impact of anti-PD-L1 mAb on murine lung tumor sorted myeloid populations.	C57BL/6 mice were challenged intravenously with LLC cells and treated every 3 days with anti-PD-L1 or isotype control mAbs for 4 times in total. On week three lungs were isolated and MHC-IIlow macrophages, Ly6Chigh and Ly6Clow monocytes were sorted for RNA isolation (3-4 biological replicates).
GSE165987	12	True	False		False	False	OTHER,RNA-Seq				Synergy of chemotherapy and macrophage depletion leads to T cell memory activation and durable triple negative breast cancer regression	Examining CD45+ immune cells in murine mammary tumors before and after immunotherapy treatment
GSE166478	60	False	False	344SQ_line	False	False	RNA-Seq			33882319	Contextual cues from cancer cells govern CAF heterogeneity [Bulk RNA-seq]	RNA-seq on tCAFs co-cultured with cancer cells
GSE166479	460	False	False		False	False	RNA-Seq			33882319	Contextual cues from cancer cells govern CAF heterogeneity [scRNA-seq]	Single cell RNA-seq on tCAFs from KrasLA1 mice
GSE166480	520	False	False	344SQ_line	False	False	RNA-Seq			33882319	Contextual cues from cancer cells govern CAF heterogeneity	Refer to individual Series
GSE166763	17	False	False		False	True	RNA-Seq			33765443	RNA sequencing of the lung pre-metastatic niche in a syngeneic mouse model of rhabdomyosarcoma	RNA was isolated from the lungs of naive and tumor-bearing mice, with and without IL12-GEMy treatment.
GSE167521	8	False	False		False	False	RNA-Seq			33688649	The mRNA-LNP platform’s lipid nanoparticle component used in preclinical vaccine studies is highly inflammatory	A total of 8 samples are included in this study with 4 replicates each for naive and immunized mice.
GSE167650	12	False	False		False	False	RNA-Seq			35672321	Type I IFNs exacerbate tuberculosis pathogenesis by inhibiting migration of antigen specific T cells	mRNA profile of Lung infitrating CD45+ immune cells from Naïve, Mtb only infected, Mtb+LCMV co-infected, Mtb+LCMV+aIFNAR1 co-infected mice at 21 days post Mtb infection
GSE168294	22	False	False	SCLC_GEMM	False	False	RNA-Seq				Identification of intrinsically immunogenic small cell lung carcinoma (SCLC) subpopulations [Cell line]	Examination of paired transcriptome and H3K27Me3 in isogenic SCLC cell lines, and transcriptomes of MHC Class I high vs. low SCLC cell lines and patient samples
GSE168295	40	False	False	SCLC_GEMM	False	False	ChIP-Seq,RNA-Seq				Identification of intrinsically immunogenic small cell lung carcinoma (SCLC) subpopulations	Refer to individual Series
GSE168297	14	False	False		False	True	RNA-Seq			33765443	Single cell RNA sequencing of the lung pre-metastatic niche in a syngeneic mouse model of rhabdomyosarcoma	Single cell 3' RNA-Seq from lung tissue of naive mice, primary tumor-bearing pre-metastatic mice, and primary tumor-bearing pre-metastatic mice treated with IL12-GEMys.
GSE168529	51	False	False		False	False	RNA-Seq			34349032	Profiling of sorted cell populations in mouse bleomycin induced lung fibrosis	Mice recieved intratracheal injection of either saline or bleomycin. We selected time point day 14, which was the peak of gene expression of most pro-fibrotic genes in this model. We isolated four different cell types from C57/B6 mouse lungs by FACS sorting: epithelial (EpCAM+), leukocytes (CD45+), endothelial (CD31+), and others (triple negative; EPCAM-CD45-CD31-). RNA was harvested via RNeasy ki
GSE169123	2	False	False		False	False	RNA-Seq				Regulation of the alveolar regenerative niche by amphiregulin-producing Treg cells (10X)	Areg-flox and CD4cre Areg-flox mice were infected with H1N1/PR8 influenza and harvested at day 8 post infection. Mesenchymal cells were enriched by negative depletion of CD45+, Epcam+, Ter119+, and CD31+. Enriched cells were delivered to Columbia University Genome Center for 10X bead emulsification.
GSE169125	18	False	False		False	False	RNA-Seq				Regulation of the alveolar regenerative niche by amphiregulin-producing Treg cells (MesSTIM)	All populations of mesenchymal cells were extracted from lungs by enzymatic digestion. Cells were enriched by negative selection using magnetic biotinylated beads for depletion of CD45+, CD31+, Epcam+ and Ter119+ cells, then sorted by FACs. Cells were plated overnight in vitro before ex vivo stimulation.
GSE169127	38	False	False		False	False	RNA-Seq			36534084	Regulation of the alveolar regenerative niche by amphiregulin-producing Treg cells	Refer to individual Series
GSE169194	38	True	True	KP_kras_p53,SCLC_GEMM	False	False	RNA-Seq			34380768	Expression profile comparison of enriched bone marrow-derived tumor associated macrophages, tumor-associated alveolar macrophages, CD4 T cells, and total tumor-derived cells in lung cancer models with	Expression profile comparison of enriched bone marrow-derived tumor associated macrophages (BM-TAMs), tumor-associated alveolar macrphages (T-AM), CD4 T cells, and total (unfractioned) tumor-derived viable cells, from KrasG12D/p53null/Msh2null NSCLC tumors of mice untreated (IgG), treated with anti-VEGFA/ANGPT2 antibody (A2V), or A2V + anti-PD1 antibodies.
GSE169196	48	True	True	KP_kras_p53	False	True	OTHER,RNA-Seq			34380768	Overcoming microenvironmental resistance to anti-PD-1 immunotherapy in lung cancer models	Refer to individual Series
GSE169529	4	False	False	SCLC_GEMM	False	True	RNA-Seq			34016693	ASCL1 represses a SOX9+ neural-crest-stem-like state in small cell lung cancer	Single-cell RNA-sequencing using 10X platform on 1 RPMA tumor initiated with CMV-Cre (general promoter), 1 RPMA tumor initiated with CGRP-Cre (neuroendocrine cell-specific promoter), 1 early RPM tumor initiated with CGRP-Cre, and 1 RPR2 tumor initiated with CGRP-Cre. Tumors were digested with an enzymatic cocktail into single cell suspension and subject to 10X Chromium library preparation and Illu
GSE169541	21	False	False		False	False	RNA-Seq				Profiling the immune response to Mycobacterium tuberculosis Beijing family infection: A perspective from the transcriptome	In this study, the progressive pulmonary TB model in BALB/c mice were used; groups of 50 male animals per group were anaesthetized with sevoflurane (100 uL per mice) and infected by intratracheal inoculation with 250.000 bacteria/100uL of each strain. At day 1, 3, 7, 14, 21, 28 and 60 (with surviving mice) after infection groups of six mice were euthanized by exsanguination under anesthesia with p
GSE169688	16	True	False	LLC	True	True	RNA-Seq			35675777	Inhibition of PGE2-EP2/EP4 signaling elicits anti-tumor immunity through reprograming of inflammatory myeloid cells and suppression of mRegDC-Treg axis	Using 10x genomics to measure single-cell RNA sequence (scRNA-seq) to comprehensively characterize the tumor immune microenvironment in mouse LLC1 tumor syngeneic transplantation model from EP2 and EP4 antagonists treatment and Treg depletion.
GSE171571	2	False	False		False	False	RNA-Seq				Single cell transcriptome analysis of adult murine lung airway epithelium after NAPH-induced injury	We performed single cell transcriptomic sequencing of flow purified Epcam+ cells via 10X Genomics platform
GSE171940	504	False	False		False	True	RNA-Seq			34847378,35707685	Trajectories of partial and full EMT of mammary tumor cells in the MMTV-PyMT mouse model	Partial and full EMT mammary tumor cells were sorted by flow cytometry from tumors of Tnc-CreERT2;MMTV-Flpo;RC::FrePe;MMTV-PyMT (Tnc-CreERT2) and Cdh2-CreERT2;MMTV-Flpo;RC::FrePe;/MMTV-PyMT (Cdh2-CreERT2) mice. The dual recombinase lineage tracing system allows to label all breast cancer cells as mCherry expressing cells (red). Upon tamoxifen administration cancer cells that have undergone either 
GSE172258	18	False	False		False	False	ATAC-seq,RNA-Seq				The Molecular and Epigenetic Mechanisms of Innate Lymphoid Cell (ILC) Memory and its Relevance for Asthma	Total 17 samples. 11 samples from Rag1 KO mice and 6 samples from wild-type C57B/6 mice. Study groups: 1) Alt/Alt: mice senstized with the Alternaria allergen (Alt) and underwent recall challenge with Alt; 2) Alt/-:mice sensitized with Alt and underwent no (-) recall challenge; 3) Sal/Alt: mice senitized with saline (Sal) and underwent recall challenge with Alt. 4) Sal/-: mice sensitized with Sal 
GSE173107	160	True	True	KP_kras_p53	False	True	RNA-Seq			36223955	Tripartite target-agnostic combination immunotherapy cures established poorly immunogenic tumors	Comparison of gene expression in differently treated tumors
GSE173186	18	False	False		False	False	RNA-Seq			34230457	Next Generation Sequencing Facilitates Quantitative Analysis of Mock/SARS-CoV-2 Infected humanized ACE2 Mice Olfactory Epithelium and Olfactory Bulb Transcriptomes	To decipher the underlying mechanism of the observed olfactory dysfunction in SARS-CoV-2 infected mice at the molecular level, RNA-Seq analyses of the OE and OB samples from SARS-CoV-2 infected mice (2 and 4 dpi) were performed in comparison with that from the control animals.
GSE173673	38	False	False		False	False	ChIP-Seq,RNA-Seq			34525339,37069502	Transcriptional regulation of cell fate decisions in early B cell activation.	23 bulk RNA-seq samples, 3 single cell RNA-seq, 10 bulk RNA-seq, 2 ChIP-seq
GSE174005	12	False	False		False	True	RNA-Seq			35778404	Pulmonary interstitial macrophages are required to mediate the pro-tumorigenic effects of IL-9	Exam the gene expression of interstitial macrophages in tumor bearing WT and Il9r knock-out mice
GSE174124	67	False	False		False	False	RNA-Seq			35787521	Tetracycline-induced mitohormesis mediates disease tolerance against influenza	Design: We subjected 8 week-old female BALB/cN mice to either mock or intranasal inoculation with 175 PFU of the IFV H1N1 PR8 strain (3 groups). The 3 infected groups were given vehicle, Tet1 (at 40 mpkd) or Tet2 (at 1 mpkd) by daily intraperitoneal injection (mock group respectively injected with vehicule as well). At day 7 post-inoculation, 5-6 mice were sacrified for organ collection.
GSE174225	48	False	False	LLC	True	True	OTHER			34759926	TCR repertoire analysis revealed the highly conserved TCR repertoire in the bilateral tumor in mice	Lewis lung carcinoma (LLC) cells (5 × 105 cells /mouse) were inoculated subcutaneously (s.c.) into the bilateral backs of C57BL/6 mice (n=4). On day13, mice were sacrificed and the tumors and tumor-draining lymph nodes (DLN) were collected from the left and the right side. Tumor was devided into two pieces, and the TCR repertoire of CD4+ and CD8+ tumor infiltrating lymphocytes (TILs) in each piece
GSE174382	18	False	False		False	True	RNA-Seq			35922434	An inhaled therapeutic targeting a conserved RNA structure in SARS-CoV-2	Evaluate the viral repressive effect of LNA ASO in SARS-CoV-2-infected K18-hACE2 mice at day 4 post-infection Evaluate the immune-stimulatory effect of LNA ASO in lung of wild-type mice
GSE174393	224	False	False		False	True	OTHER,RNA-Seq				Combinatorial tumor suppressor inactivation efficiently initiates lung adenocarcinoma with therapeutic vulnerabilities	Ultra-deep sequencing of DNA barcode amplicon and RNA-seq
GSE174540	5	True	False	KP_kras_p53	False	True	RNA-Seq			34242269	Characterization of a novel mouse model of undifferentiated pleomorphic sarcoma that is lymphocyte poor, macrophage rich, and resistant to immune checkpoint blockade	Examination of spontaneous tumor and control muscle
GSE174682	5	False	False		False	False	RNA-Seq			35768001	Bona fide and bystander memory B cell subsets colonize the lung peribronchial niche upon viral infection	Memory B cells were FACS-sorted from lungs, mediastinal lymph nodes, or spleen of Aicda-Cre-ERT2 x Rosa26-LSL-eYFP mice 70 days after intranasal infection with influenza A virus PR8 H1N1 strain, and subjected to single-cell RNA-seq by either droplet-based 10x Genomics 5'-end protocol, or plate-based FB5P-seq 5'-end protocol.
GSE174849	6	False	False		False	False	RNA-Seq			34516780	Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling	I. We harvested the lungs from Il17raDermoCre negative and positive mice at 4 hours post challenge with 10^4 CFU K1 strain (KP396) and extracted the whole RNAs. We chose this time point based on the similar CFU between groups because any differences in gene expression would not be due to lung bacterial burdens.
GSE175479	12	True	False	KL_kras_lkb1	False	True	RNA-Seq			34667030	Inactivation of the LKB1 substrate AMPK accelerates lung adenocarcinoma and leads to immune evasion.	mRNA profiling of buik tumors from murine lung with 1) Kras activation, 2) Kras activation and depletion of LKB1, 3) Kras activation and depletion of AMPKa1 (Prkaa1) and AMPKa2 (Prkaa2)
GSE175838	27	False	False	KP_kras_p53,SCLC_GEMM	False	False	ChIP-Seq,RNA-Seq			34236315	RNA sequencing comparing in-vitro lentiviral CRISPR-Cas9 knockdown of Non-Canonical Polycomb Repressive Complex 1.6 members from a Kras G12D Trp53 -/- background mouse lung cancer cell line	Each condition (Empty vs sg_ncPRC1.6 member (either sgMga, sgL3mbtl2, sgPcgf6, or sgL3mbtl2+sgPcgf6 cotransduced) is represented in 1 control Empty line in biological triplicate, 1 sgMga line in biological triplicates, 1 sgL3mblt2 line in biological triplicate, 1sgPcgf6 in biological triplicate, and 1 sgL3mbtl2+sgPcg6 co-transduced line in biological triplicate. ChiP-Seq comparing binding of vario
GSE176091	20	True	False		False	True	RNA-Seq			34302042	Inhibition of lung tumorigenesis by a small molecule CA170 targeting the immune checkpoint protein VISTA	5-6 week old female A/J mice were divided into five groups: (a) control mice that received PBS; (b) adjuvant control mice that received a STING agonist plusAddaVax; (c) KVax mice treated with KVax plus adjuvant; (d) CA170 treatment (10mg/kg in PBS) by oral gavage five times per week; and (e) combined treatment with KVax/adjuvant plus CA170. The experimental treatment scheme is shown in. Mice were 
GSE176185	7	False	False		False	True	RNA-Seq			35931677	Club cells employ regeneration mechanisms during lung tumorigenesis	2 normal control samples, 4 samples with induced tumor and 1 tumor samples. The 4 induced tumour samples are from 2 and 4 weeks after the induction
GSE176228	34	False	False		False	False	RNA-Seq			35173036	Transcriptomic analysis of lung epithelial cells after LPS inhalation	The RNA was extracted from primary AT1, AT2, and bronchiolar epithelial cells isolated from mice lung. Three (C57BL/6 LPS and NaCl), two (Stat1/Stat2 dKO LPS and NaCl (AT2)) or one (Nlrc5 KO LPS and NaCl, and Stat1/Stat2 dKO NaCl (AT1 and Bronchiolar ECs) biological replicates were included per condition. Each biological replicate contained FACS-sorted primary lung ECs pooled from 3 mice. Lung wer
GSE176311	2	True	False		False	False	RNA-Seq			35660135	Exercise-Induced Engagement of the IL-15/IL15Rα axis Promotes Anti Tumor Immunity	In this work, we set out to peform unibased analysis of the tumor immune microenvironment in pancretic cancer tumors in response to aerobic exercise. All live leukocytes in control and exercised tumors were isolated and were assessed for changes in the relative proportion of specific immune populations or changes to the transcriptional phenotype within each immune cell subset. Differences in the i
GSE178177	6	True	False		False	True	RNA-Seq			35121645	Targeting KDM4C upregulates the transcriptional activity of Cxcl10 to enhance the efficacy of combining radiotherapy and immunotherapy in lung cancer	Lewis cells treated with DMSO or SD70 for 24 hours were analyzed by RNA-seq.
GSE178385	10	False	False		False	False	RNA-Seq			34516780,38594380	Vaccine driven lung TRM cells provide immunity against Klebsiella via fibroblast IL-17R signaling [scRNA-Seq]	I. We immunized WT C57BL/6 mice oropharyngealy with 1ug OmpX+10ug LTA1 or 40ug heat-killed Klebsiella pneumoniae (ATCC 43816) twice 3 weeks apart, and 1 more week later we euthanized and removed the lungs for single cell suspensions as well as spleen cells from naïve WT C57BL/6 mice. Then, the CD4+ T-cells were sorted from the cell suspensions by magnetic beads. Recombinant OmpX were generated fro
GSE178503	1	True	False	SCLC_GEMM	False	True	RNA-Seq			34963055	EMSY inhibits homologous recombination repair and the interferon response promoting lung cancer immune evasion	All samples were generated by deep sequencing
GSE178711	2	False	False		False	False	ATAC-seq				Single cell ATAC-seq study of Lung epithelial cells with Il33 KO cells	This dataset consists of 2 10x Genomics scATAC-seq libraries, including WT sample and Il33KO sample.
GSE178829	3	False	False		False	False	RNA-Seq			35285539	Activation of YAP/TAZ signaling reprograms the airway secretory cell fate via mTORC1-dependent amino acid metabolism	Total 3 single-cell RNA-seq libraries (10X Chromium, v2) were sequenced. All samples are sorted CD31-CD45-EpCAM+tdTomato+ secretory cells from mouse. Samples consist of control (Lats1fl/+;Lats2+/+;Scgb1a1-cre;tdTomato) mice at 5 days post-tamoxifen induction, and Lats1/2 knockout (Lats1fl/fl;Lats2fl/fl;Scgb1a1-creER;tdtomato) mice at 5 and 14 days post-tamoxifen induction.
GSE179418	9	False	False		False	False				35137631	Expression data from mouse lung epithelial cells during E. coli pneumonia in the presence or absence of LIF neutralization (24 h)	RNA from 3 separate groups of mice (3 mice per group) was analyzed: 1) 24h Vehicle/control IgG-treated; 2) 24h E. coli/control IgG-treated; and 3) 24h E. coli/anti-LIF-specific IgG.
GSE179419	9	False	False		False	False				35137631	Expression data from mouse lung epithelial cells during E. coli pneumonia in the presence or absence of LIF neutralization (6 h)	RNA from 3 separate groups of mice (3 mice per group) was analyzed: 1) 6h Vehicle/control IgG-treated; 2) 6h E. coli/control IgG-treated; and 3) 6h E. coli/anti-LIF-specific IgG.
GSE179500	32	False	False	KL_kras_lkb1,KP_kras_p53	False	True	RNA-Seq			35228570	LKB1 drives stasis and C/EBP-mediated reprogramming to an alveolar type II fate in lung cancer [XTR Bulk RNA-seq]	Lung tumors were initiated in KrasLSL-G12D/+;R26LSL-tdTomato (KT; Lkb1 wild-type), KT;Lkb1XTR/XTR (non-restorable), and KT;Lkb1XTR/XTR;FLPo-ERT2 (restorable) mice with Lenti-Cre. Following tumor development and two weeks of treatment with either corn oil vehicle or tamoxifen, neoplastic cells were FACS-isolated from lung tumors and subjected to bulk RNA-seq.
GSE179560	100	False	False	KL_kras_lkb1,KP_kras_p53	False	True	OTHER,RNA-Seq			35228570	LKB1 drives stasis and C/EBP-mediated reprogramming to an alveolar type II fate in lung cancer	Refer to individual Series
GSE179783	24	True	False	LLC	True	False	RNA-Seq			34916656	Intrapleural nano-immunotherapy promotes innate and adaptive immune responses to enhance anti-PD-L1 therapy for malignant pleural effusion	The LLC MPE mice (n=3/group) were randomly grouped and treated on day 11 as follows: (i) PBS, (ii) LNP-CDN (intrapleural injection of 1 ug LNP-CDN), (iii) anti-PD-L1 Abs (intrapleural injection of 10F.9G2), (iv), (v) LNP-CDN +PD-L1 Abs. Cells from pleural fluid and pleural tumors of individual mice were gathered and total RNA was isolated by TRIzol Reagent for library preparation and further seque
GSE179814	12	True	False	LLC	True	False	RNA-Seq			35304449	A customized synthetic gene circuit selectively engages an immune-related transcriptional program in p53-negative LLC cells	mRNA profiles of p53-negative LLC cells and their p53+ derivatives which introduced with the customized synthetic gene circuit
GSE179855	3	False	False		False	False	RNA-Seq			35137631	Single-cell RNA-seq of lung cells following bacterial pneumonia with or without LIF blockade	Sorted whole lung C57BL/6 mouse cells 24 hours after IgG saline, IgG E. coli, or anti-LIF E. coli
GSE180063	12	False	False		False	True	RNA-Seq			35421379	Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection	12 human fetal lung xenografts implanted in mice: 4- Naïve (non-inoculated in non-infected mice) human fetal lung xenografts from NRG-L mice. 3-human fetal lung xenografts from NRG-Flk2-/- mice co-engrafted with a human immune system at 2-days and 7-days post infection using 1x10^6 PFU SARS-CoV-2 WA-Isolate. 3 Naïve (non-infected graft in non-infected mice) human fetal lung xenografts from NRG-Flk
GSE180110	2	True	False		False	True	RNA-Seq			35247887	Tumor microenvironment and transcriptional analysis of CD45+ leukocytes isolated from syngeneic MC38 tumors from mice fed ketogenic diet or control diet	Single-cell transcriptional analysis of CD45+ leukocytes isolated 14 days post-implantation from subcutaneous MC38 tumors in C57BL6/J mice fed control or ketogenic diet. Each sample contains CD45+ cells combined from 5 mice.
GSE180360	18	False	False	EGFR	False	True	RNA-Seq			34622577	Cellular Origins of EGFR-driven Lung Cancer Cells Determines Sensitivity to Therapy	RNA-sequencing profiles of murine lung organoids with or without EGFR T790M/L858R mutations before ex vivo transplantation, and EGFR T790M/L858R tumor organoids after ex vivo transplantation.
GSE180618	32	False	False		False	True	RNA-Seq			34984327,38350880	PPARα and PPARγ activation is associated with pleural mesothelioma invasion, but therapeutic inhibition is ineffective in preclinical models	Examination of invasive and non invasive mesothelioma in murine model
GSE180823	24	False	False		False	False	RNA-Seq			35221334	Signature of lung epithelial and mesenchymal populations from control, irradiated and neutrophil-depleted irradiated mice	Female mice received a targeted dose of 13Gy irradiation to the lungs 7 days prior to harvest. Cells were sorted from three groups, each with n=4 mice: (1) control mice (2) irradiated mice (3) irradiated mice that received daily injections of a neutrophil depletion antibody
GSE180908	20	False	False		False	True	RNA-Seq			35421379	Macrophages govern antiviral responses in human lung tissues protected from SARS-CoV-2 infection	20 human fetal lung xenografts implanted in mice. Four are uninfected, one is mock-infected with PBS, and 12 are infected with 1E+6 PFU of SARS-CoV-2. An additional 3 are uninfected xenografts contralateral to infected xenografts. 4 infected xenografts were harvested and sequenced at 2 DPI along with the 3 contralateral grafts. The remaining 8 infected xenografts were harvested at 7 DPI.
