accession	gene	is_ici	is_kd_ko	organism	category	gds_type	n_geo_samples	title	marker_status	source	source_file	table_kind	n_values	value_mean	value_median	value_min	value_max	n_nonzero	de_logfc	de_pvalue	de_padj	contrast	group_a	n_a	mean_a	group_b	n_b	mean_b	mean_diff_b_minus_a	mannwhitney_p	groups_json	notes
GSE261597	TACSTD2	Y	N	Mus musculus	ICI	Genome binding/occupancy profiling by high throughput sequencing	6	Acquired resistance to immunotherapy by physical barriers with cancer cell–expressing collagens in non–small cell lung cancer	found	supplementary	GSE261597_Comprehensive_ATAC_Counts_and_Differential_Parameters_in_Resistant_vs._Sensitive_Groups.xlsx	DE							-1.19667	4.11562e-09	3.71261e-07											DE table (author-computed contrast)
GSE261597	CLDN4	Y	N	Mus musculus	ICI	Genome binding/occupancy profiling by high throughput sequencing	6	Acquired resistance to immunotherapy by physical barriers with cancer cell–expressing collagens in non–small cell lung cancer	found	supplementary	GSE261597_Comprehensive_ATAC_Counts_and_Differential_Parameters_in_Resistant_vs._Sensitive_Groups.xlsx	DE							-1.26754	1.3026e-07	7.46711e-06											DE table (author-computed contrast)
GSE261799	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	8	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche	found	supplementary	GSE261799_gene_fpkm_matrix.csv.gz	expression	8	3.47736	0.279128	0	23.4276	6													[{"group":"4T1, ICI,","n":4,"mean":6.74968,"median":1.707021,"sd":11.2041},{"group":"4T1, RI,","n":4,"mean":0.205033,"median":0.143358,"sd":0.257284}]	
GSE261799	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	8	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche	found	supplementary	GSE261799_gene_fpkm_matrix.csv.gz	expression	8	1.01136	0.590293	0.136541	3.41645	8													[{"group":"4T1, ICI,","n":4,"mean":1.365627,"median":0.954759,"sd":1.489792},{"group":"4T1, RI,","n":4,"mean":0.657084,"median":0.590293,"sd":0.452083}]	
GSE261889	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	19	Acquired resistance to immunotherapy by physical barriers with cancer cell–expressing collagens in non–small cell lung cancer	found	supplementary	GSE261889_Comparison_of_Gene_Counts_and_Differential_Parameters_in_Resistant_vs._Sensitive.xlsx	DE							-4.99435	0.0220579	0.0567702											DE table (author-computed contrast)
GSE261889	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	19	Acquired resistance to immunotherapy by physical barriers with cancer cell–expressing collagens in non–small cell lung cancer	found	supplementary	GSE261889_Comparison_of_Gene_Counts_and_Differential_Parameters_in_Resistant_vs._Sensitive.xlsx	DE							-3.55293	0.0239318	0.0605771											DE table (author-computed contrast)
GSE261890	TACSTD2	Y	N	Mus musculus	ICI	Other	2	Cancer cell self-built physical barriers promote acquired resistance to immunotherapy [spatial]	no_processed_table																							no gene-level processed supplementary table listed
GSE261890	CLDN4	Y	N	Mus musculus	ICI	Other	2	Cancer cell self-built physical barriers promote acquired resistance to immunotherapy [spatial]	no_processed_table																							no gene-level processed supplementary table listed
GSE261898	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	14	Acquired resistance to immunotherapy by physical barriers with cancer cell–expressing collagens in non–small cell lung cancer	no_processed_table																							no gene-level processed supplementary table listed
GSE261898	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	14	Acquired resistance to immunotherapy by physical barriers with cancer cell–expressing collagens in non–small cell lung cancer	no_processed_table																							no gene-level processed supplementary table listed
GSE263386	TACSTD2	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	15	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche [II]	found	supplementary	GSE263386_expression_matrix.xlsx	expression	24	4.45937	0.916709	0.0245557	25	24														
GSE263386	CLDN4	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	15	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche [II]	found	supplementary	GSE263386_expression_matrix.xlsx	expression	24	0.128288	0	0	1	6														
GSE264098	TACSTD2	N	N	Mus musculus	marker-only	Genome binding/occupancy profiling by high throughput sequencing	4	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [scATAC-seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE264098	CLDN4	N	N	Mus musculus	marker-only	Genome binding/occupancy profiling by high throughput sequencing	4	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [scATAC-seq]	no_processed_table																							no gene-level processed supplementary table listed
GSE264573	TACSTD2	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	4	Single Cell Analysis of Treatment–Resistant Prostate Cancer: Implications of Cell State Changes for Cell Surface Antigen Targeted Therapies	no_processed_table																							no gene-level processed supplementary table listed
GSE264573	CLDN4	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	4	Single Cell Analysis of Treatment–Resistant Prostate Cancer: Implications of Cell State Changes for Cell Surface Antigen Targeted Therapies	no_processed_table																							no gene-level processed supplementary table listed
GSE266364	TACSTD2	Y	Y	Homo sapiens; Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	33	Immunogenic cell death inducer cEmsy boosted cancer immunotherapy in lung adenocarcinoma	no_processed_table																							no usable processed expression for this gene
GSE266364	CLDN4	Y	Y	Homo sapiens; Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	33	Immunogenic cell death inducer cEmsy boosted cancer immunotherapy in lung adenocarcinoma	found	supplementary	GSE266364_differentially_expressed.xlsx	DE							1.86309	3.30307e-08	3.57441e-07											DE table (author-computed contrast)
GSE266384	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by array	4	A comprehensive gene expression analysis to identify the key regulator suppressing the IFN-γ-inducible factors in tumor cells	found	embedded_matrix	GSE266384_series_matrix.txt.gz	expression	4	0.0133157	4.775e-07	-0.144261	0.197523	4													[{"group":"AB1-HA con","n":1,"mean":0.197523,"median":0.197523,"sd":null},{"group":"AB1-HA IFNG","n":1,"mean":-0.144261,"median":-0.144261,"sd":null},{"group":"3LL con","n":1,"mean":-0.046396,"median":-0.046396,"sd":null},{"group":"3LL IFNG","n":1,"mean":0.046397,"median":0.046397,"sd":null}]	scale=log2-like
GSE266384	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by array	4	A comprehensive gene expression analysis to identify the key regulator suppressing the IFN-γ-inducible factors in tumor cells	found	embedded_matrix	GSE266384_series_matrix.txt.gz	expression	4	0.0694015	0.100062	-0.488997	0.566478	4													[{"group":"AB1-HA con","n":1,"mean":0.011736,"median":0.011736,"sd":null},{"group":"AB1-HA IFNG","n":1,"mean":0.566478,"median":0.566478,"sd":null},{"group":"3LL con","n":1,"mean":-0.488997,"median":-0.488997,"sd":null},{"group":"3LL IFNG","n":1,"mean":0.188388,"median":0.188388,"sd":null}]	scale=log2-like
GSE268525	TACSTD2	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	3	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche (scRNA-Seq)	no_processed_table																							no gene-level processed supplementary table listed
GSE268525	CLDN4	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	3	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche (scRNA-Seq)	no_processed_table																							no gene-level processed supplementary table listed
GSE268909	TACSTD2	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	26	Effects of hyperglycemia on airway epithelial barrier function in WT and CF 16HBE cells	found	supplementary	GSE268909_gene_count.txt.gz	expression	26	25863.4	25521	20496	32671	26														
GSE268909	CLDN4	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	26	Effects of hyperglycemia on airway epithelial barrier function in WT and CF 16HBE cells	found	supplementary	GSE268909_gene_count.txt.gz	expression	26	11488.5	11627	9610	13840	26														
GSE274584	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	21	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [EV RNA]	found	supplementary	GSE274584_countTable.txt.gz	expression	21	0.333333	0	0	5	3														
GSE274584	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	21	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [EV RNA]	found	supplementary	GSE274584_countTable.txt.gz	expression	21	0.47619	0	0	5	3														
GSE274588	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing; Other	57	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [PBMC]	no_processed_table																							no gene-level processed supplementary table listed
GSE274588	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing; Other	57	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [PBMC]	no_processed_table																							no gene-level processed supplementary table listed
GSE274595	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	8	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [tumor]	no_processed_table																							no gene-level processed supplementary table listed
GSE274595	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	8	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [tumor]	no_processed_table																							no gene-level processed supplementary table listed
GSE274960	TACSTD2	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	19	Targeting NTRK1 Enhances Immune Checkpoint Inhibitor Efficacy in NTRK1 Wild-type Non-Small Cell Lung Cancer	found	supplementary	GSE274960_gene_count_matrix.csv.gz	expression	19	15.2105	11	0	51	16													[{"group":"LL2_IgG","n":3,"mean":35.333333,"median":43.0,"sd":20.599353},{"group":"LL2_E","n":3,"mean":15.333333,"median":10.0,"sd":11.015141},{"group":"LL2_PD","n":3,"mean":26.666667,"median":24.0,"sd":16.165808},{"group":"LL2_E_PD","n":4,"mean":11.25,"median":12.5,"sd":5.251984},{"group":"LL2_CNTRL","n":3,"mean":1.333333,"median":0.0,"sd":2.309401},{"group":"LL2_shNTRK","n":3,"mean":2.666667,"median":4.0,"sd":2.309401}]	
GSE274960	CLDN4	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	19	Targeting NTRK1 Enhances Immune Checkpoint Inhibitor Efficacy in NTRK1 Wild-type Non-Small Cell Lung Cancer	found	supplementary	GSE274960_gene_count_matrix.csv.gz	expression	19	17.6842	8	0	91	13													[{"group":"LL2_IgG","n":3,"mean":9.333333,"median":8.0,"sd":10.066446},{"group":"LL2_E","n":3,"mean":12.666667,"median":10.0,"sd":14.189198},{"group":"LL2_PD","n":3,"mean":18.666667,"median":20.0,"sd":10.066446},{"group":"LL2_E_PD","n":4,"mean":49.5,"median":47.5,"sd":32.908965},{"group":"LL2_CNTRL","n":3,"mean":2.666667,"median":0.0,"sd":4.618802},{"group":"LL2_shNTRK","n":3,"mean":2.666667,"median":0.0,"sd":4.618802}]	
GSE276139	TACSTD2	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	6	Gene expression profile at single cell level of cerebrospinal fluid (CSF) cells from lung adenocarcinoma leptomeningeal metastases patients (LUAD LM)	no_processed_table																							no gene-level processed supplementary table listed
GSE276139	CLDN4	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	6	Gene expression profile at single cell level of cerebrospinal fluid (CSF) cells from lung adenocarcinoma leptomeningeal metastases patients (LUAD LM)	no_processed_table																							no gene-level processed supplementary table listed
GSE277136	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	10	Single-cell landscape of bronchoalveolar immune cells in patients with immune checkpoint inhibitor-related pneumonitis	no_processed_table																							no gene-level processed supplementary table listed
GSE277136	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	10	Single-cell landscape of bronchoalveolar immune cells in patients with immune checkpoint inhibitor-related pneumonitis	no_processed_table																							no gene-level processed supplementary table listed
GSE278119	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing; Other	44	Clonally expanded effector CD4+ cytotoxic T lymphocytes are associated with severe neurological adverse events after immune checkpoint inhibitor therapy	no_processed_table																							no gene-level processed supplementary table listed
GSE278119	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing; Other	44	Clonally expanded effector CD4+ cytotoxic T lymphocytes are associated with severe neurological adverse events after immune checkpoint inhibitor therapy	no_processed_table																							no gene-level processed supplementary table listed
GSE280068	TACSTD2	Y	N	Mus musculus	ICI	Non-coding RNA profiling by high throughput sequencing	9	Anti-PD-1 exacerbates bleomycin-induced lung injury in mice via Caspase-3/GSDME-mediated pyroptosis	found	supplementary	GSE280068_Processed_data1.xlsx	DE							-0.110976	0.637802	0.999851											DE table (author-computed contrast)
GSE280068	CLDN4	Y	N	Mus musculus	ICI	Non-coding RNA profiling by high throughput sequencing	9	Anti-PD-1 exacerbates bleomycin-induced lung injury in mice via Caspase-3/GSDME-mediated pyroptosis	found	supplementary	GSE280068_Processed_data1.xlsx	DE							-1.47261	0.0320998	0.999851											DE table (author-computed contrast)
GSE283462	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	6	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche [B16]	no_processed_table																							no usable processed expression for this gene
GSE283462	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	6	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche [B16]	found	supplementary	GSE283462_gene_count_matrix.csv.gz	expression	6	0.833333	0.5	0	2	3													[{"group":"B16,ICI,1","n":1,"mean":2.0,"median":2.0,"sd":null},{"group":"B16,ICI,2","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"B16,ICI,3","n":1,"mean":1.0,"median":1.0,"sd":null},{"group":"B16,RI,1","n":1,"mean":2.0,"median":2.0,"sd":null},{"group":"B16,RI,2","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"B16,RI,4","n":1,"mean":0.0,"median":0.0,"sd":null}]	
GSE283829	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	27	In situ detection of PD1–PD-L1 interactions as a functional predictor for response to immune checkpoint inhibition in NSCLC.	found	supplementary	GSE283829_raw_express_matrix_all_samples.txt.gz	expression	27	1455.85	900	21	11300	27													[{"group":"105691","n":16,"mean":1655.9375,"median":885.0,"sd":2758.38391},{"group":"105796","n":11,"mean":1164.818182,"median":900.0,"sd":946.852345}]	
GSE283829	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	27	In situ detection of PD1–PD-L1 interactions as a functional predictor for response to immune checkpoint inhibition in NSCLC.	found	supplementary	GSE283829_raw_express_matrix_all_samples.txt.gz	expression	27	780.111	236	11	5174	27													[{"group":"105691","n":16,"mean":994.0625,"median":247.5,"sd":1546.502741},{"group":"105796","n":11,"mean":468.909091,"median":218.0,"sd":450.147854}]	
GSE285029	TACSTD2	Y	Y	Homo sapiens	ICI;KD/KO	Expression profiling by high throughput sequencing	234	Cell-intrinsic PD-L1 signaling drives immunosuppression by myeloid-derived suppressor cells through IL-6/Jak/Stat3 in PD-L1-high lung cance	found	supplementary	GSE285029_WTS_expr_count_235_032820.txt.gz	expression	234	70.5843	52.599	-23.43	457.3	234														
GSE285029	CLDN4	Y	Y	Homo sapiens	ICI;KD/KO	Expression profiling by high throughput sequencing	234	Cell-intrinsic PD-L1 signaling drives immunosuppression by myeloid-derived suppressor cells through IL-6/Jak/Stat3 in PD-L1-high lung cance	found	supplementary	GSE285029_WTS_expr_count_235_032820.txt.gz	expression	234	67.0723	55.0595	-35.994	569.769	234														
GSE285606	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	4	Loss of miR-29a/b1 cluster reprograms the tumor microenvironment and contributes to immunosuppression in lung cancer	no_processed_table																							no gene-level processed supplementary table listed
GSE285606	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	4	Loss of miR-29a/b1 cluster reprograms the tumor microenvironment and contributes to immunosuppression in lung cancer	no_processed_table																							no gene-level processed supplementary table listed
GSE285888	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	1	Single-Cell RNA Sequencing of Baseline PBMCs Predicts ICI efficacy and irAE Severity in NSCLC Patients	no_processed_table																							no gene-level processed supplementary table listed
GSE285888	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	1	Single-Cell RNA Sequencing of Baseline PBMCs Predicts ICI efficacy and irAE Severity in NSCLC Patients	no_processed_table																							no gene-level processed supplementary table listed
GSE288083	TACSTD2	Y	Y	Homo sapiens	ICI;KD/KO	Expression profiling by high throughput sequencing	4	TIE-2 expressing monocytic myeloid-derived suppressor cells are involved in resistance to anti-PD-1 mediates by angiopoietin 2 in melanoma patients	found	supplementary	GSE288083_raw_count.txt.gz	expression	4	49.75	3	0	193	3													[{"group":"M-MDSC-TIE2-, pbmc of 3 differents melanoma patients before treatment initiation and pooled before sorting, replicat1","n":1,"mean":193.0,"median":193.0,"sd":null},{"group":"M-MDSC-TIE2-, pbmc of 3 differents melanoma patients before treatment initiation and pooled before sorting, replicat2","n":1,"mean":2.0,"median":2.0,"sd":null},{"group":"M-MDSC-TIE2+, pbmc of 3 differents melanoma patients before treatment initiation and pooled before sorting, replicat1","n":1,"mean":4.0,"median":4.0,"sd":null},{"group":"M-MDSC-TIE2+,pbmc of 3 differents melanoma patients before treatment initiation and pooled before sorting, replicat2","n":1,"mean":0.0,"median":0.0,"sd":null}]	
GSE288083	CLDN4	Y	Y	Homo sapiens	ICI;KD/KO	Expression profiling by high throughput sequencing	4	TIE-2 expressing monocytic myeloid-derived suppressor cells are involved in resistance to anti-PD-1 mediates by angiopoietin 2 in melanoma patients	found	supplementary	GSE288083_raw_count.txt.gz	expression	4	2	2	1	3	4													[{"group":"M-MDSC-TIE2-, pbmc of 3 differents melanoma patients before treatment initiation and pooled before sorting, replicat1","n":1,"mean":3.0,"median":3.0,"sd":null},{"group":"M-MDSC-TIE2-, pbmc of 3 differents melanoma patients before treatment initiation and pooled before sorting, replicat2","n":1,"mean":1.0,"median":1.0,"sd":null},{"group":"M-MDSC-TIE2+, pbmc of 3 differents melanoma patients before treatment initiation and pooled before sorting, replicat1","n":1,"mean":2.0,"median":2.0,"sd":null},{"group":"M-MDSC-TIE2+,pbmc of 3 differents melanoma patients before treatment initiation and pooled before sorting, replicat2","n":1,"mean":2.0,"median":2.0,"sd":null}]	
GSE293914	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	1	CCL20 Released by Drug-Tolerant Persisters Impairs Immunotherapy in EGFR-Mutated Lung Adenocarcinoma	no_processed_table																							no gene-level processed supplementary table listed
GSE293914	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	1	CCL20 Released by Drug-Tolerant Persisters Impairs Immunotherapy in EGFR-Mutated Lung Adenocarcinoma	no_processed_table																							no gene-level processed supplementary table listed
GSE295969	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	18	Blood immunomap for prediction of responses to anti-PD-1 immunotherapy in metastatic non-small cell lung cancer	found	supplementary	GSE295969_raw_counts_All_Samples.txt.gz	expression	18	0.388889	0	0	7	1														
GSE295969	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	18	Blood immunomap for prediction of responses to anti-PD-1 immunotherapy in metastatic non-small cell lung cancer	found	supplementary	GSE295969_raw_counts_All_Samples.txt.gz	expression	18	0.111111	0	0	2	1														
GSE298984	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	2	Immature monocytic cells within tumors differentiate into immunosuppressive cells in resistant tumors to immunotherapy	no_processed_table																							no gene-level processed supplementary table listed
GSE298984	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by high throughput sequencing	2	Immature monocytic cells within tumors differentiate into immunosuppressive cells in resistant tumors to immunotherapy	no_processed_table																							no gene-level processed supplementary table listed
GSE302284	TACSTD2	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	6	Eradicating Drug Tolerant Persister Cells in EGFR-Mutated Non-Small Cell Lung Cancer by Targeting TROP2 with CAR-T cellular therapy	no_processed_table																							no gene-level processed supplementary table listed
GSE302284	CLDN4	N	N	Homo sapiens	marker-only	Expression profiling by high throughput sequencing	6	Eradicating Drug Tolerant Persister Cells in EGFR-Mutated Non-Small Cell Lung Cancer by Targeting TROP2 with CAR-T cellular therapy	no_processed_table																							no gene-level processed supplementary table listed
GSE303531	TACSTD2	Y	N	Homo sapiens	ICI	Other	25	CHI3L1 contributes to an immune suppressed tumour microenvironment in highly invasive brain metastases	found	supplementary	GSE303531_Lung_Invasive_vs_Circumscribed_DEG_by_DESeq2.csv.gz	DE							0.637589	0.309016	0.769692											DE table (author-computed contrast)
GSE303531	CLDN4	Y	N	Homo sapiens	ICI	Other	25	CHI3L1 contributes to an immune suppressed tumour microenvironment in highly invasive brain metastases	no_processed_table																							no usable processed expression for this gene
GSE307029	TACSTD2	Y	N	Homo sapiens	ICI	Methylation profiling by genome tiling array	80	Multi-omics reveals heterogeneity in  advanced small cell lung cancers	no_processed_table																							no gene-level processed supplementary table listed
GSE307029	CLDN4	Y	N	Homo sapiens	ICI	Methylation profiling by genome tiling array	80	Multi-omics reveals heterogeneity in  advanced small cell lung cancers	no_processed_table																							no gene-level processed supplementary table listed
GSE309446	TACSTD2	Y	N	Homo sapiens	ICI	Other	32	A phase II study of sitravatinib combined with tislelizumab plus docetaxel for acquired resistance to PD-(L)1 in patients with advanced/metastatic non-small cell lung cancer	no_processed_table																							no gene-level processed supplementary table listed
GSE309446	CLDN4	Y	N	Homo sapiens	ICI	Other	32	A phase II study of sitravatinib combined with tislelizumab plus docetaxel for acquired resistance to PD-(L)1 in patients with advanced/metastatic non-small cell lung cancer	no_processed_table																							no gene-level processed supplementary table listed
GSE309751	TACSTD2	N	N	Mus musculus	marker-only	Genome binding/occupancy profiling by high throughput sequencing	14	AP-1 mediated chromatin changes govern alveolar type 2 cell transition in lung injury-repair	no_processed_table																							no gene-level processed supplementary table listed
GSE309751	CLDN4	N	N	Mus musculus	marker-only	Genome binding/occupancy profiling by high throughput sequencing	14	AP-1 mediated chromatin changes govern alveolar type 2 cell transition in lung injury-repair	no_processed_table																							no gene-level processed supplementary table listed
GSE309894	TACSTD2	N	N	Homo sapiens	marker-only	Other	34	Clinical Characteristics and Spatial transcriptome analysis of Early Resistance to Alectinib in ALK-Positive non-small cell lung cancer: A Retrospective OLCSG Study	no_processed_table																							no gene-level processed supplementary table listed
GSE309894	CLDN4	N	N	Homo sapiens	marker-only	Other	34	Clinical Characteristics and Spatial transcriptome analysis of Early Resistance to Alectinib in ALK-Positive non-small cell lung cancer: A Retrospective OLCSG Study	no_processed_table																							no gene-level processed supplementary table listed
GSE310370	TACSTD2	Y	N	synthetic construct; Homo sapiens	ICI	Non-coding RNA profiling by array	4	Expression data of microRNAs captured by OAA from plasma of NSCLC patients treated with nivolumab	not_on_platform	embedded_matrix	GSE310370_series_matrix.txt.gz																					gene absent from embedded platform table
GSE310370	CLDN4	Y	N	synthetic construct; Homo sapiens	ICI	Non-coding RNA profiling by array	4	Expression data of microRNAs captured by OAA from plasma of NSCLC patients treated with nivolumab	not_on_platform	embedded_matrix	GSE310370_series_matrix.txt.gz																					gene absent from embedded platform table
GSE310539	TACSTD2	N	N	Mus musculus	marker-only	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	8	AP-1 mediated chromatin changes govern alveolar type 2 cell transition in lung injury-repair [multiome]	no_processed_table																							no gene-level processed supplementary table listed
GSE310539	CLDN4	N	N	Mus musculus	marker-only	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	8	AP-1 mediated chromatin changes govern alveolar type 2 cell transition in lung injury-repair [multiome]	no_processed_table																							no gene-level processed supplementary table listed
GSE315510	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	30	Mitochondrial potential as a biomarker of T cell fitness and function in cancer immunotherapy	no_processed_table																							no gene-level processed supplementary table listed
GSE315510	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	30	Mitochondrial potential as a biomarker of T cell fitness and function in cancer immunotherapy	no_processed_table																							no gene-level processed supplementary table listed
GSE317011	TACSTD2	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	6	β-Elemene Enhances the Efficacy of PD-L1 Inhibitor in Lung Cancer by Reprogramming Tumor-Associated Macrophages to M1 Phenotype via Suppressing FLT1/PI3K/AKT Signaling	found	supplementary	GSE317011_counts_anno.txt.gz	expression	6	0.5	0	0	2	2													[{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with 100 \u00b5g/mL \u03b2-elemene for 24 hours01","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with 100 \u00b5g/mL \u03b2-elemene for 24 hours02","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with 100 \u00b5g/mL \u03b2-elemene for 24 hours03","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with PBS for 24 hours01","n":1,"mean":1.0,"median":1.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with PBS for 24 hours02","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with PBS for 24 hours03","n":1,"mean":2.0,"median":2.0,"sd":null}]	
