"CXCL13","CLDN4","GATA3","CD274","GZMA","FOXA1","KRT5","TACSTD2","EPCAM","CXCL9","KRT20","PRF1","TGFB1","UPK2","CD8A","CDH1","sample_id","libsize"
2177,255,2735,484,209,3365,576285,4461,2633,2795,4,539,2611,9,763,22809,"SAM1c0ecfb3eb63",50623510
775,113,7085,119,182,3734,3004,2217,8884,1555,1048,351,945,590,957,37995,"SAMbf91f27e7f9b",30593784
257,191,2271,35,39,905,50322,984,1306,711,211,129,317,27,310,8346,"SAMbcb07ba81cee",14456742
183,168,7439,122,128,5312,89008,5411,5004,113,6,174,1483,60,496,23366,"SAM9aa6a095a9d6",31720257
10260,213,4052,439,739,1456,4593,1372,3260,1559,1,835,2346,457,1826,18793,"SAM957378bd907f",31575757
25,300,14093,29,35,27279,1192,8408,7174,19,5306,109,3982,9621,96,70861,"SAMf82bbdc267c8",46855786
194,160,6751,56,44,2230,4372,1288,1765,591,1433,139,1180,436,558,12365,"SAM2624229effe8",24910231
362,66,1476,450,118,36,55885,1025,7334,751,2,438,2907,26,383,21325,"SAMd2492b2a31bb",42684634
550,897,3832,187,156,3514,5471,6686,9144,1748,975,288,2026,4732,453,57623,"SAM670649e105b5",46239612
905,348,56814,213,232,10083,148,5564,23349,2887,2677,394,610,798,1165,48791,"SAM91c47b054ffb",38928672
181,294,67095,102,69,11123,370,4500,27340,307,22622,84,1604,5741,133,37669,"SAM491e341d5a82",39870200
805,509,18975,235,243,5874,1738,4019,15873,1494,4128,355,751,4558,1177,40099,"SAM5fe7a81a39dd",31773571
231,329,8455,114,38,2092,57548,2030,14508,61,6,104,1713,180,212,41435,"SAM29da928587ad",25388392
136,370,2963,343,220,2735,118792,5176,29746,704,56,177,2250,19,802,82443,"SAM0a0f2bac4b20",63478890
74,366,26814,85,84,5804,3590,5731,5630,263,1,178,1806,5038,372,50949,"SAM8e469834acc1",39843539
21,1294,44237,129,71,15868,2359,9395,48371,57,32600,77,731,29722,522,127371,"SAM8e43e9caf307",50523367
79,817,23657,69,65,9754,1399,5353,29615,69,18136,81,968,12747,287,83200,"SAM99b1f6a9534e",38387033
107,721,12934,63,56,6956,70,4378,11380,43,228,116,1536,1112,165,63903,"SAM12502d970c10",25711950
871,133,16034,412,1999,2856,91142,3704,3815,7920,364,1607,3242,312,3225,29730,"SAM9681450bbc90",52450631
67,201,14548,53,68,2547,1524,1456,15491,205,1266,71,514,857,263,33347,"SAM7d7c54623618",44659527
518,46,1987,743,435,261,65840,3474,9651,576,4,391,2827,0,1859,17681,"SAM181b638b8248",37367034
357,455,30567,727,306,4324,14216,2300,29246,1242,2973,604,2374,814,1262,47652,"SAMbfdffb97c446",46148717
1757,233,2182,1356,1016,993,588489,5512,7744,5126,11,1341,4846,1304,1925,51147,"SAM3b15b4c6311d",61900891
258,103,10726,205,203,2727,173718,3982,2305,127,4,364,1820,43,671,31486,"SAM00b9e5c52da9",47645997
802,493,4242,483,774,168,170028,7494,55240,4135,3,683,4838,69,1499,96184,"SAM59b825252c0d",94954621
88,325,11731,60,154,3501,473,2106,4196,51,3,122,1824,1441,374,22558,"SAM1c8b086175ca",29798661
1185,252,8086,347,443,8761,25173,9542,2160,2401,9646,670,937,1722,2213,33659,"SAMeaa477a5384b",38407110
199,771,16701,179,148,8304,7265,3963,10490,1325,3903,226,3046,1715,346,62161,"SAM1dda30f1c5be",55860623
66,380,6260,248,84,3495,32,537,24075,101,5,85,2600,478,184,22017,"SAM9eebdef2858a",27100815
66,37,15496,54,39,2281,11892,376,5527,195,330,78,1644,76,308,18999,"SAM9daccafc18db",24961210
1291,44,2603,100,235,703,482,277,1930,2113,497,322,684,236,862,3636,"SAM2eb07dedf07f",12489442
646,389,15341,140,22,3794,169723,12856,22492,50,4,200,2436,391,102,104464,"SAM25510f300d79",69008707
2385,154,7348,95,718,1689,165,1218,3778,2720,450,1121,511,2122,4601,20649,"SAMbda79f955628",14888851
86,1196,42011,152,110,13823,23575,7119,23642,329,15622,234,1104,5396,612,49979,"SAM9b9d48b0b02c",55219808
337,321,37380,129,242,18712,16292,7281,6472,182,7795,331,1850,5447,820,73741,"SAMff41c4e8c08f",67198211
59,73,6411,4,5,2571,4358,1436,3688,2,1659,22,995,109,22,9537,"SAMc97f35a29d16",10146502
13,758,10701,38,33,6253,197,5712,8777,20,4900,51,2583,1592,103,55601,"SAM187e056d6a2a",33999004
9,1039,17172,27,12,23711,507,5034,16916,27,1160,24,275,5827,74,45337,"SAMbc8dc3a7b54e",32963974
7,246,4516,30,7,9976,49589,2015,21146,9,111,26,397,124,222,30309,"SAM7b40007f4aa4",32035254
28,44,1897,71,43,1186,5127,413,494,12,255,91,401,252,230,2801,"SAM568ce160abd9",12767316
566,1475,25314,264,98,12047,101,10139,19793,764,7490,217,829,21604,460,58570,"SAM14938611a2d3",39123495
402,34,1775,178,202,263,556203,2726,5610,528,4,241,2049,40,709,9499,"SAM1a87df750b9d",35959068
1,263,24504,22,20,7384,6313,3580,8198,4,6588,70,1680,187,45,31971,"SAMae02629a97f7",27875098
1055,475,2655,372,297,1346,542,1908,8436,2239,54,519,1190,316,1500,10039,"SAM47fc46c3d6be",26829177
234,567,4377,428,79,7010,371757,8320,7082,299,1,201,1313,22,414,31730,"SAM7829a341b9f3",25826916
204,1183,12243,56,68,7353,271,5214,14100,202,4916,108,1011,4474,262,43886,"SAM0f956e757453",27777922
1197,1503,7322,366,865,7877,324,8181,8436,4269,5444,1114,893,3255,2955,69839,"SAMaf42c1541269",29544377
3,524,12726,31,0,5342,34928,2949,5157,1,4,4,3286,4214,4,54171,"SAM09c84ec0cf34",29358332
1036,235,815,105,60,2958,743476,11205,888,207,10,112,1672,36,299,32767,"SAM7538ad9ff524",27667165
144,369,2978,129,205,2529,90321,3484,5195,462,180,323,1579,566,887,16170,"SAM95c70496ffb5",19941037
28,300,10335,51,69,5635,186,4128,14817,67,508,52,590,164,235,25886,"SAM7edacb3deb65",20397840
2923,4,1522,500,123,185,1104,43,73,493,8,519,2275,65,929,2343,"SAMb2e4a082541a",25931157
583,60,3685,170,113,3643,9111,1521,823,1118,1360,147,704,72,634,7809,"SAM771445e92421",18855683
5,101,639,120,17,316,336,544,582,44,38,105,2179,4,25,3543,"SAM59fda9035d1d",32557420
3494,496,3351,633,542,3941,1279,3283,12639,5846,860,1018,1574,5196,2056,31400,"SAM727c0e92a2a7",33086321
663,429,3746,637,354,1625,191,2680,20158,3567,0,418,1878,855,989,51539,"SAM6f2a102a99df",28514544
1159,72,1335,601,277,174,96648,1331,3441,545,1,482,2185,32,1550,19042,"SAMe56c96c51190",34115438
32,667,9868,52,36,8045,4919,5173,5086,90,4053,113,3247,4974,263,39340,"SAM2b672f4336c7",22339713
178,69,18312,43,18,3762,8830,3001,13080,24,4080,74,274,55,159,27109,"SAM1ab1b28d9f2b",20179896
75,239,94,136,40,11563,586,26,41163,213,659,70,202,15,244,10645,"SAM1bcc62d8290c",28745800
446,1110,17897,251,117,9353,14074,7315,3807,872,1268,230,1290,1180,378,44962,"SAM6662f5181f87",35362399
306,196,13006,121,87,12344,113822,3816,3154,432,7,114,3392,115,211,32933,"SAMe0c49ea0df5d",35512860
141,154,870,153,144,1035,155419,1585,2676,381,1,204,2732,43,376,11146,"SAM59289ca42c99",18865295
727,222,539,245,332,2071,1017,198,42488,1207,1800,470,1139,19,775,21305,"SAM18b9351e265a",28851296
273,150,4223,87,27,3835,3638,1981,2704,98,0,112,894,454,127,12179,"SAM7fb7a13c096b",15355063
29,672,34956,49,41,13290,5130,6232,4603,38,5765,46,2274,10958,57,59938,"SAM87a8e18eb45b",38351634
140,1270,7400,151,94,6032,921,5903,7450,64,6362,202,992,6247,304,8964,"SAM1f3c93814cb9",23965389
661,266,6265,538,374,1580,257985,3139,6671,1577,2358,667,2299,2319,1056,16783,"SAM5fc9ae0aed1f",33925993
94,1651,22782,203,43,12044,681,18793,35817,240,16839,130,548,4418,182,101916,"SAM9725303dce0c",42855910
48,488,6290,73,99,8297,672,2663,7358,157,7077,146,1153,7768,275,14800,"SAM6ff654a20f98",22885216
584,49,532,100,112,304,434,644,249,218,309,187,502,330,929,3158,"SAM65afda25b920",13953022
1513,42,568,366,822,197,746,146,1252,1797,5,1212,1622,8,3094,2285,"SAMef0e3d2415fd",19790602
2,730,4470,141,22,1894,797,1182,12890,24,1033,31,515,998,167,11535,"SAM07a93a28f801",18836228
2,386,14825,36,25,7046,9466,3736,2979,2,14,43,1352,859,112,26206,"SAM94859b440b1d",17946027
3,191,36070,23,4,21145,86127,8121,3241,1,5196,17,2058,3043,22,21624,"SAM58e7832f4e7d",32408288
2,666,12837,18,3,13885,69,5725,15570,1,419,13,2143,3372,7,80637,"SAMc57eadb2d82b",28066009
1082,1364,30261,964,253,4335,137,7575,4371,3885,6283,562,1034,4335,1235,39108,"SAMd5ab7fbfab4e",33236274
138,791,1838,132,78,14029,2771,3989,8683,1342,1,252,391,3073,236,22302,"SAM5767dd75d142",26124520
174,474,14436,49,130,4461,356,1787,12739,400,4618,125,871,1488,368,25588,"SAMaabf4afe4213",30490344
534,489,7506,83,121,12467,2172,7554,6556,511,127,214,895,8908,447,47918,"SAMcc7a42d87e9c",25622164
87,103,1400,184,40,634,489887,2358,1839,273,46,189,1176,4,233,22995,"SAMce39dd79b441",27364872
1180,228,2096,350,212,3387,7644,1572,5364,578,264,502,1352,330,929,7794,"SAM75f12d1a55fc",26853998
19,706,7439,139,10,8882,4644,5400,17765,17,5417,67,1112,8733,67,32976,"SAM6964a6d7b967",32962618
1228,76,2335,115,118,99,98,370,680,494,2,182,577,60,606,9924,"SAM3b1066e5801b",13105810
830,595,5043,431,595,3273,1837,2966,6309,1093,3508,1024,1634,3246,2456,15499,"SAMf20b827dca51",28640581
12,841,16863,66,11,11643,53164,5907,8189,5,23,31,4549,6079,24,73159,"SAM6792d6e98068",39215277
743,545,5885,307,283,9009,99116,5505,3607,1973,15,770,2479,452,555,33577,"SAM31d9176e11fb",29129600
95,494,187,29,62,1353,272296,3120,671,202,0,112,641,12,201,11558,"SAM04c589eb3fb3",9846393
1,84,1597,26,16,1732,4001,686,507,10,540,64,829,275,60,3679,"SAM5cc2d9036053",10590477
241,386,8813,813,127,6,174176,1703,1810,1059,6,361,879,48,439,4668,"SAMb8101c538753",24846878
888,54,1784,247,175,1111,186289,1408,1403,1400,157,285,1625,162,502,9768,"SAM80c6183220e6",18902166
285,803,6930,519,82,142,340,5124,8310,185,206,192,1993,870,351,24744,"SAM572f19794c96",27659268
247,289,12870,108,111,3080,106,2762,11764,91,1210,170,512,3207,419,21903,"SAM1abf01dd4544",17204873
93,140,12473,51,26,12366,7723,3899,1772,14,10446,31,595,53,113,32504,"SAM1f83ebd6be9b",18500039
1016,51,922,489,147,270,214305,1996,7323,863,79,426,2510,1,748,26113,"SAM1f66db567eb5",29748335
8,1839,7651,54,28,7319,172,16613,6290,186,887,64,494,126115,62,47800,"SAM4918c524b83a",30895167
109,1853,15830,56,62,4081,45,4395,5096,178,5143,67,1106,3856,271,24736,"SAMa0ca029b7afd",23450539
289,265,13265,93,103,5580,1183,3436,1177,505,1339,218,856,3738,445,18657,"SAM6157c8f38b72",25815364
447,566,857,1230,486,1032,768398,8239,4120,4391,2,944,3100,56,947,28303,"SAMe7e4f7c076a7",41578191
1272,22,4707,509,938,1031,5596,380,1132,1869,0,749,2958,18,6369,3955,"SAMbe25e2c88f3e",26674068
410,378,10620,43,72,9132,179444,6087,2850,275,3270,149,1231,64,261,16112,"SAM4caabd64e7fd",27599134
1186,272,1246,101,298,3787,180751,4917,3848,223,110,283,1656,34,531,16032,"SAMc6eff056c89a",31999539
99,867,14621,134,66,6472,319,4989,24153,1364,2978,83,2459,8119,202,57081,"SAM5cfa1699bdb7",31987372
249,656,4708,82,64,854,827,7249,5575,124,4912,86,1110,873,202,15935,"SAMda4d892fddc8",16901320
10,370,14829,15,12,10423,43,3046,5175,59,1357,72,2128,1423,65,61865,"SAM3a1c9632ff7b",22665167
802,389,8413,117,206,4402,473,4061,2662,425,5,274,1015,384,766,20324,"SAM8b4b8b0f9e73",21340866
26,377,19549,108,66,7929,1580,6336,3075,93,962,144,1102,7215,182,37723,"SAMe3d4266775a9",31681981
280,552,10897,156,34,5827,756,3856,5160,60,4109,135,355,2138,281,14662,"SAM2de7cffb5f72",15065487
