accession	uid	queries	taxon	n_samples	gdstype	pdat	gpl	title	summary
GSE300343	200300343	G_TROP2_KD	Mus musculus	5	Genome binding/occupancy profiling by high throughput sequencing	2026/04/13	24247	H3K9me3 controls epidermis development by repressing RNA Pol II activity on key promoters and enhancers [CUT&Run]	Histone H3 lysine 9 trimethylation (H3K9me3) is a heterochromatin mark important for silencing repetitive DNA elements and for repressing lineage-inappropriate genes during early murine development, but its role in later organogenesis remains understudied. Here, we simultaneously target three histone methylases, Suv39h1, Suv39h2 and Setdb1, to deplete H3K9me3 specifically in developing epidermis. H3K9me3 loss blocks epidermis morphogenesis, resulting in defective cell differentiation, impaired b
GSE300342	200300342	G_TROP2_KD	Mus musculus	6	Expression profiling by high throughput sequencing	2026/04/13	24247	H3K9me3 controls epidermis development by repressing RNA Pol II activity on key promoters and enhancers [bulk RNA-Seq]	Histone H3 lysine 9 trimethylation (H3K9me3) is a heterochromatin mark important for silencing repetitive DNA elements and for repressing lineage-inappropriate genes during early murine development, but its role in later organogenesis remains understudied. Here, we simultaneously target three histone methylases, Suv39h1, Suv39h2 and Setdb1, to deplete H3K9me3 specifically in developing epidermis. H3K9me3 loss blocks epidermis morphogenesis, resulting in defective cell differentiation, impaired b
GSE295739	200295739	G_TROP2_KD	Mus musculus	8	Expression profiling by high throughput sequencing	2026/03/30	24247	The NAMPT/SIRT7/SOD2 axis regulates alveolar progenitor cell renewal and pulmonary fibrosis [scRNA-seq]	We employed single-cell RNA sequencing using the 10x Genomics platform to investigate the role of nicotinamide phosphoribosyltransferase (NAMPT), a key enzyme in NAD+ biosynthesis, in AT2 cells in the lung. NAMPT has been implicated in regulating stem cell function, mitochondrial bioenergetics, apoptosis, and senescence in neurodegenerative diseases, endothelial cells, and human iPS cells. Single-cell lung suspensions were prepared from Nampt AT2 conditional knockout and control mice at day 0 an
GSE317253	200317253	G_TROP2_KD	Mus musculus	8	Expression profiling by high throughput sequencing	2026/02/26	24247	Enhanced mitophagy promotes lung repair and regeneration by restoring epithelial metabolic fitness [AT2s RNA-Seq]	Alveolar Type II cells (AT2s) are the stem cells in the alveoli, responsible for both alveolar homeostasis and regeneration. Mitochondrial dysfunction has been reported in the AT2 cells from both chronic and acute injury induced alveolar diseases, including idiopathic pulmonary fibrosis (IPF) and viral pneumonia. Here, we demonstrate that genetic depletion of Ubiquitin Specific Peptidase 30 (USP30), a negative regulator of mitophagy, boosts mitophagy and restores mitochondrial function, leading 
GSE289287	200289287	G_TROP2_KD	Homo sapiens	23	Expression profiling by high throughput sequencing	2026/02/10	24676	Trop-2 governs anti-metastatic desmosomal integrity	Trop-2 and DSG2 are proteins critical for the formation of intercellular contacts in healthy epithelial tissue. In cancer cells, their roles have been reported to vary, acting as either tumor suppressors or promoters depending on the context. In our study, deletion of Trop-2 or DSG2 in T-47D breast cancer cell lines resulted in a similar phenotype. In vivo, xenografts derived from these knockout cell lines exhibited an increased ability to form distant metastases. The present study links the obs
GSE284026	200284026	G_TROP2_KD	Mus musculus	34	Expression profiling by high throughput sequencing	2026/01/23	34290	NR2F6 deletion revives CAR‑T cell function and induces antigen‑agnostic immune memory in solid tumors	CAR‑T cell therapy is effective in hematologic malignancies but remains challenging in solid tumors owing to antigen heterogeneity and tumor microenvironment‑induced exhaustion. Here, gene editing of the nuclear receptor NR2F6 restores CAR‑T cell functionality, sustaining a TCF1⁺ progenitor‑exhausted T cell phenotype, enhancing metabolic fitness, and preserving cytotoxic potency under chronic antigen exposure. In immunocompetent models, Nr2f6‑deficient CAR‑T cells suppress solid tumor growth and
GSE313671	200313671	G_TROP2_KD	Mus musculus	2	Expression profiling by high throughput sequencing	2026/01/14	24247	Prostaglandin I₂ Receptor Activation Promotes Alveolar Regeneration via the JUN/p53 Pathway [scRNA-seq]	Rationale: Transdifferentiation of alveolar type 2 (AT2) epithelial cells into type 1 (AT1) cells is essential for maintaining lung homeostasis and facilitating repair following injury. However, the molecular mechanisms governing AT2-to-AT1 transdifferentiation remain unclear. Objectives: To investigate the role of the prostaglandin I2 receptor (IP) in regulating AT2-to-AT1 transdifferentiation and elucidate the underlying mechanisms. Methods: Alveolar organoid cultures and bleomycin- or lipopol
GSE271684	200271684	G_TROP2_KD	Homo sapiens	4	Other	2026/01/07	15520	Disruption of the epigenetic regulator BAP1 drives chromatin remodeling leading to the emergence of cells with breast cancer stem cell properties and aberrant glycosylation [gRNA_MiSeq]	Epigenetic regulator genes are key in controlling cell identity and are frequently disrupted in breast cancers. However, specific epigenetic drivers (epidrivers) of mammary cell plasticity and their mechanistic contributions to this phenotype are poorly characterized. Here, we employed a CRISPR/Cas9 loss-of-function screening strategy to identify potential epidrivers of the emergence of mesenchymal breast cancer stem cell-like phenotypes in non-tumorigenic mammary cells. We unveiled that loss of
GSE309972	200309972	G_TROP2_KD	Mus musculus	4	Expression profiling by high throughput sequencing	2025/11/19	34328	Stc1-expressing myofibroblasts are a developmentally distinct lineage cleared through apoptosis in the neonatal lung	Lung myofibroblasts are necessary for early postnatal alveolar growth. The unique contributions of individual myofibroblast lineages to alveolar development is unresolved by existing genetic tools. We generated a Stc1CreERT2 mouse line that labels the developmentally transient secondary crest myofibroblasts (SCMFs), distinguishing them from alveolar duct myofibroblasts (DMF) and smooth muscle. SCMFs expand through clonal proliferation of Stc1-expressing progenitors and are cleared by apoptosis. 
GSE304658	200304658	G_TROP2_KD	Homo sapiens	6	Expression profiling by high throughput sequencing	2025/11/01	24676	Role of STAT3 in Human Esophageal Epithelial Development	The transcription factor STAT3 plays broad roles in epithelial biology, yet its function in human esophageal development remains undefined. Using 2D and 3D human induced pluripotent stem cell (hiPSC)-derived platforms, we investigated how STAT3 regulates esophageal epithelial differentiation.
GSE294827	200294827	G_TROP2_KD	Homo sapiens; Mus musculus	81	Genome binding/occupancy profiling by high throughput sequencing; Other; Expression profiling by high throughput sequencing	2025/09/29	34328;11154;30172;19057;24247;13112	A plastic EMP1⁺ to LGR5⁺ cell state conversion as a therapeutic bypass to KRAS-G12D inhibition in metastatic colorectal cancer	This SuperSeries is composed of the SubSeries listed below.
GSE277833	200277833	G_TROP2_KD	Mus musculus	12	Expression profiling by high throughput sequencing	2025/09/23	24247	KANSL3 directs transcriptional programs essential for hepatic metabolism and differentiation [scRNA-seq]	Understanding the molecular mechanisms governing liver homeostasis and disease progression is crucial for developing new therapeutic strategies for chronic liver diseases and liver cancer, with emerging evidence underscoring the key role of epigenetic regulation. Here, we show that hepatic deletion of the epigenetic regulator KANSL3, a component of the NSL complex, causes early-onset chronic liver disease, distinct from metabolic dysfunction-associated steatohepatitis (MASH). Loss of KANSL3 lead
GSE306686	200306686	G_TROP2_KD	Mus musculus	6	Genome binding/occupancy profiling by high throughput sequencing	2025/09/01	17021	Androgen receptor cell-autonomously regulates luminal cell plasticity [ATAC-Seq]	ATAC-seq was performed using intact, Ar knockout or castrated luminal cell after 2 weeks Ar knockout or 5 days castration
GSE306685	200306685	G_TROP2_KD	Mus musculus	9	Expression profiling by high throughput sequencing	2025/09/01	17021	Androgen receptor cell-autonomously regulates luminal cell plasticity [RNA-Seq]	Comparision of transcriptome of Intact, Ar knockout or castrated luminal cell after 2 weeks Ar knockout or 5 days castration
GSE298716	200298716	G_TROP2_KD	Mus musculus	24	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2025/08/30	24247;34290;21103	The transcriptional repressor AEBP2 is indispensable for the epigenetic control of mimetic thymic epithelial cell differentiation and central self-tolerance induction.	Polycomb repressive complex 2 (PRC2) plays a critical role in gene silencing by catalyzing the addition of H3K27me3 marks to chromatin, a modification essential for maintaining developmental gene repression. In thymic epithelial cells (TECs), PRC2 is required for the differentiation and function of medullary TECs (mTECs) but not cortical TECs. This study investigates the role of AEBP2, an accessory subunit of PRC2, in TEC biology, focusing on its impact on thymus development and central toleranc
GSE271964	200271964	G_TROP2_KD	Mus musculus	2	Expression profiling by high throughput sequencing	2025/08/15	24247	Single-cell RNA-seq of 4T1 breast tumors from mice treated with anti-Siglec-E and/or anti-PD-1 antibodies	Metastasis remains the leading cause of cancer-related mortality, driven by complex interactions within the tumor microenvironment (TME). Tumor-associated macrophages (TAMs) play a pivotal role in metastatic progression, yet molecular diversity and upstream regulators remain poorly defined. Glycoprotein nonmetastatic melanoma protein B (GPNMB), overexpressed in subsets of tumors including triple-negative breast cancer (TNBC), is implicated in epithelial-mesenchymal transition (EMT) and cancer st
GSE242510	200242510	G_TROP2_KD	Mus musculus	6	Expression profiling by high throughput sequencing	2025/08/15	24247	Myeloid-mesenchymal crosstalk drives ARG1-dependent profibrotic metabolism via ornithine in lung fibrosis	Single-cell RNA sequencing (scRNA-seq) was performed to investigate fibroblast–myeloid cell crosstalk in lung fibrosis. The dataset includes murine lung macrophage–fibroblast cocultures or fibroblast monocultures, with macrophages derived from WT mice and fibroblasts from either WT or fibroblast-specific P2rx4 knockout (Pdgfrb-Cre: P2rx4 f/f) mice 7 days after bleomycin injury. Cells were captured using the Fluent Biosciences PIPseq platform. Data include gene–cell count matrices and support the
GSE243124	200243124	G_TROP2_KD	Mus musculus	4	Expression profiling by high throughput sequencing	2025/08/12	24247	Single-cell sequencing of mouse lung epithelial cells after bleomycin injury and modulation of IRE1α	Epithelial cells that are committed to a differentiated state in homeostasis can change their identity in response to injury. In the lung, alveolar type 2 (AT2) cells are the resident secretory epithelial cells of the alveolus, and after injury can proliferate and differentiate into type 1 cells. This inducible plasticity is central to alveolar regeneration, fibrosis, and malignancy, but the regulatory pathways that govern the balance between fate maintenance and differentiation are incompletely
GSE248094	200248094	G_TROP2_KD	Homo sapiens	51	Expression profiling by high throughput sequencing	2025/07/29	26167	Systematic characterization of single-cell full-length RNA isoforms in human colorectal cancer	Dysregulated RNA splicing is a well-recognized characteristic of colorectal cancer (CRC); however, its intricacies remain obscure, partly due to challenges in profiling full-length transcript variants at single-cell level. Here, we employ high-depth long-read scRNA-seq to define the full-length transcriptome of colorectal epithelial cells in 12 CRC patients, revealing extensive isoform diversities and splicing alterations. Cancer cells exhibited increased transcript complexity, with widespread 3
GSE168828	200168828	G_TROP2_KD	Escherichia coli; Mus musculus	86	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other	2025/05/20	28126;21273;21626	HBO1 is an epigenetic determinant of hepatocyte-to-ductal reprogramming	Spontaneous cellular reprogramming is rare, but has been observed in adult cells. This is most evident in the mammalian liver, where hepatocytes undergo physiological reprogramming to generate functional biliary epithelial cells (BECs) in response to injury. The underlying mechanisms driving this cell fate switch remain unclear, however. Here, we characterize epigenetic changes occurring during this transition at the single cell level, and show that reprogramming occurs synchronously and determi
GSE296898	200296898	G_TROP2_KD	Mus musculus	2	Expression profiling by high throughput sequencing	2025/05/19	34290;19057	Studying Inner ear development through the use of the CARLIN mouse model to label progenitor cells, identifying the potency of early cell types in the otocyst	This experiment focuse on utilizing the CARLIN mouse model. The CARLIN system (CRISPR Array Repair Lineage tracing IN situ) is a genetic barcoding and lineage tracing tool developed to track the lineage and fate of individual cells in vivo over time. It was designed to allow researchers to reconstruct cell lineages and study progenitor cell behavior, especially in complex tissues like the hematopoietic system, the brain, and during development. Utilizing an inducible Cas9, it allows for temporal
GSE288075	200288075	G_TROP2_KD	Homo sapiens	6	Expression profiling by high throughput sequencing	2025/03/29	34284	Efficient DNA- and virus-free engineering of cellular transcriptomic states using dCas9 ribonucleoprotein (dRNP)-complexes	For genome editing, the use of CRISPR ribonucleoprotein (RNP) complexes is well established and often the superior choice over plasmid-based or viral strategies. RNPs containing dCas9 fusion proteins, which enable the targeted manipulation of transcriptomes and epigenomes remain significantly less accessible. Here, we describe the production, delivery and optimization of second generation CRISPRa RNPs (dRNPs). We characterize the transcriptional and cellular consequences of dRNP treatments in a 
GSE249591	200249591	G_TROP2_KD	Mus musculus	572	Expression profiling by high throughput sequencing	2025/03/12	28457	Gene suppression by PRC2 enhances the gene inductions by Aire and the development of mimetic cell populations	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in the bulk of medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Mechanisms for this process, however, remained incompletely understood, especially regarding the effects of Aire in each subpopulation in mTECs. Here, we profiled mTECs from EED-cKO (EED conditional knockout mice using Foxn1-Cre, JACKSON LABORATORY #022727 and #018448) and Aire/EED-dKO
GSE206236	200206236	G_TROP2_KD	Mus musculus	16	Genome binding/occupancy profiling by high throughput sequencing	2025/03/12	17021	Multiple subpopulations in medullary thymic epithelial cells are regulated by Aire with distinctive modes of gene regulations [CUT&Tag]	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in the bulk of medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Mechanisms for this process, however, remained incompletely understood, especially regarding the effects of Aire in each subpopulation in mTECs. Here, we combined single-cell multi-omics (scMulti-seq) technologies by which gene expression and open chromatin were simultaneously profiled
GSE205991	200205991	G_TROP2_KD	Mus musculus	2148	Expression profiling by high throughput sequencing	2025/03/12	28457;17021	Multiple subpopulations in medullary thymic epithelial cells are regulated by Aire with distinctive modes of gene regulations [deep single-cell RNA-seq]	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in the bulk of medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Mechanisms for this process, however, remained incompletely understood, especially regarding the effects of Aire in each subpopulation in mTECs. Here, we combined single-cell multi-omics (scMulti-seq) technologies by which gene expression and open chromatin were simultaneously profiled
GSE205560	200205560	G_TROP2_KD	Mus musculus	8	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2025/03/12	30172	Multiple subpopulations in medullary thymic epithelial cells are regulated by Aire with distinctive modes of gene regulations [scRNA-Seq and scATAC-Seq]	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in the bulk of medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Mechanisms for this process, however, remained incompletely understood, especially regarding the effects of Aire in each subpopulation in mTECs. Here, we combined single-cell multi-omics (scMulti-seq) technologies by which gene expression and open chromatin were simultaneously profiled
GSE205410	200205410	G_TROP2_KD	Mus musculus	47	Expression profiling by high throughput sequencing	2025/03/12	28457;21103;17021	Multiple subpopulations in medullary thymic epithelial cells are regulated by Aire with distinctive modes of gene regulations [bulkRNA-seq]	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in the bulk of medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Mechanisms for this process, however, remained incompletely understood, especially regarding the effects of Aire in each subpopulation in mTECs. Here, we combined single-cell multi-omics (scMulti-seq) technologies by which gene expression and open chromatin were simultaneously profiled
GSE254705	200254705	G_TROP2_KD	Mus musculus	8	Expression profiling by high throughput sequencing	2025/01/10	24247	CXCL12 produced from Foxl1high mesenchymal cells modulates epithelial cell metabolism and prevents intestinal neoplasia (RNA-Seq)	Several mesenchymal cell populations are involved in the maintenance and differentiation of intestinal stem cells (ISCs) by secreting Wnts, R-spondins, and bone morphogenetic proteins. However, the influences of signaling mediators derived from mesenchymal cells other than ISC niche factors on epithelial homeostasis remain poorly understood. Here, we revealed that CXCL12 produced from Foxl1high sub-epithelial mesenchymal cells regulates epithelial cell proliferation through modulation of the mev
GSE270508	200270508	G_TROP2_KD	Mus musculus	183	Genome binding/occupancy profiling by high throughput sequencing	2025/01/01	30172	In vivo CRISPR screen reveals interplay of epigenetic regulators underlies kinetics of hepatobiliary reprogramming [CUT&Tag]	Under chronic liver injury, a small fraction of hepatocytes undergoes reprogramming to biliary epithelial cells (BECs) through a multistep process of chromatin and transcriptional remodeling in which the hepatocyte phenotype is repressed and the biliary phenotype is activated. However, the epigenetic basis underlying this phenomenon is largely unknown. Here, using a lineage-traced model of cholestatic liver injury, we investigated the role of histone posttranslational modification in the kinetic
GSE271529	200271529	G_TROP2_KD	Mus musculus	2	Expression profiling by high throughput sequencing	2024/12/31	19057	Class A Scavenger receptors promote tumor progression and induce a unique macrophage phenotype in a mouse model of spontaneous breast cancer	Tumor-associated macrophages (TAMs) are a critical component of the immune response to cancer, and their role in modulating cancer progression is well-recognized. Macrophages express pattern-recognition receptors, including Class A Scavenger Receptors (SR-A), that are pivotal in regulating macrophage activation and polarization to different phenotypes. While evidence links an increased prevalence of SR-A-expressing TAMs to worse patient outcomes in certain cancers, a definitive role for SR-A in 
GSE274355	200274355	G_TROP2_KD	Mus musculus	8	Genome binding/occupancy profiling by high throughput sequencing	2024/08/09	21103	PRDM3/16 Regulate Chromatin Accessibility Required for NKX2-1 Mediated Alveolar Epithelial Differentiations and Function [Cut&Run H3K4me3]	Differential chromatin accessibility accompanies and mediates transcriptional control of diverse cell fates and their differentiation during embryogenesis. While the critical role of NKX2-1 and its transcriptional targets in lung morphogenesis and pulmonary epithelial cell differentiation is increasingly known, mechanisms by which chromatin accessibility alters the epigenetic landscape and how NKX2-1 interacts with other co-activators required for alveolar epithelial cell differentiation and fun
GSE180947	200180947	G_TROP2_KD	Mus musculus	45	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2024/08/09	17021;24247	Deciphering epigenetic and transcriptional alterations after Kmt2c/2d knock-out in mouse bladder urothelial cells	KMT2C and KMT2D are two of the most frequently mutated genes in histologically normal human bladder urothelium. In this study, we sought to model Kmt2c/d LOF mutations and investigate the biological mechanism of Kmt2c/d LOF mutations in bladder cancer development.
GSE196752	200196752	G_TROP2_KD	Mus musculus	6	Expression profiling by high throughput sequencing	2024/08/07	13112	Bulk RNA-seq analysis of PDAC tumor Cells	Orthotopic PDAC tumor were established with KPC and KPSC cells, respectively. After about 10-14 days, PDAC cells with Setd2-KO and Setd2-WT were sorted from orthotopic PDAC tumor by DPAI-CD45.2-Pdpn-Epcam+, and used for RNA preparation.
GSE196241	200196241	G_TROP2_KD	Mus musculus	8	Other	2024/08/07	13112	CUT&Tag sequencing in PDAC cells with Setd2-KO and Setd2-WT sorted from orthotopic PDAC tumor	To gain mechanistic insight into how Setd2 loss reprogramming tumor cell metabolism, we performed CUT&Tag sequencing in PDAC cells with Setd2-KO and Setd2-WT sorted from orthotopic PDAC tumor. Setd2-WT and -KO murine PDAC cells were sorted with DAPI-CD45.2-Pdpn-Epcam+ or cultured, and freshly collected as soon as possible. Hyperactive pA-Tn5 Transposase for CUT&Tag kit from Vazyme (TD901), and antibodies against H3K36me3, H3K27Ac and H3K27me3 were employed. Trueprep index kit v2 and v3 for illum
GSE243511	200243511	G_TROP2_KD	Mus musculus	65	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2024/05/24	19057	TRPS1 maintains luminal progenitors in the mammary gland by repressing SRF/MRTF activity	This SuperSeries is composed of the SubSeries listed below.
GSE243508	200243508	G_TROP2_KD	Mus musculus	12	Expression profiling by high throughput sequencing	2024/05/24	19057	TRPS1 maintains luminal progenitors in the mammary gland by repressing SRF/MRTF activity [02_citeseq_shTRPS1_mmg]	The GATA transcription factor TRPS1 is a context-dependent oncogene in breast cancer. In the mammary gland, TRPS1 activity is restricted to the luminal population and sustains the initial branching of the mammary ducts at puberty as well as the lactogenic differentiation during pregnancy. Its function in the resting mammary gland however, remains unclear. To evaluate whether it could be a target for cancer therapy, we investigated TRPS1 function in the healthy resting mammary gland using a condi
GSE266561	200266561	G_TROP2_KD	Mus musculus	6	Expression profiling by high throughput sequencing	2024/05/08	24247	Overexpressed Malat1 drives metastasis through inflammatory reprogramming of lung adenocarcinoma microenvironment	Although the expression of some long noncoding RNAs (lncRNAs), including MALAT1 (metastasis-associated lung adenocarcinoma transcript 1), is predictive of metastasis, their impact and mechanism of action remain elusive. Here we use CRISPR activation (CRISPRa) to model MALAT1/Malat1 overexpression in patient-derived lung adenocarcinoma (LUAD) cell lines and in the autochthonous K-ras/p53 LUAD mouse model. The results indicate that Malat1 overexpression alone is sufficient to enable the progressio
GSE232078	200232078	G_TROP2_KD	Homo sapiens	119	Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing	2024/04/24	24676;18573	In vitro reconstitution of epigenetic reprogramming in the human germ line	This SuperSeries is composed of the SubSeries listed below.
GSE231813	200231813	G_TROP2_KD	Homo sapiens	23	Methylation profiling by high throughput sequencing	2024/04/24	24676	In vitro reconstitution of epigenetic reprogramming in the human germ line [EM-Seq]	Epigenetic reprogramming resets parental epigenetic memories and differentiates primordial germ cells (PGCs) into mitotic pro-spermatogonia or oogonia, ensuring sexually dimorphic germ-cell development for totipotency.  However, the mechanism of epigenetic reprogramming in humans remains unknown.  Here, we establish a robust strategy for inducing epigenetic reprogramming and differentiation of pluripotent stem cell (PSC)-derived human PGC-like cells (hPGCLCs) into mitotic pro-spermatogonia or oo
GSE250084	200250084	G_TROP2_KD	Mus musculus	88	Expression profiling by high throughput sequencing	2024/04/04	24247	Extraembryonic gut endoderm cells undergo programmed cell death during development	Despite a distinct developmental origin, extraembryonic cells in mice contribute to gut endoderm and converge to transcriptionally resemble their embryonic counterparts. Notably, extraembryonic progenitors share a non-canonical epigenome, raising several pertinent questions, including whether this landscape is reset to match the embryonic regulation and if these cells persist into later development. Here, we developed a two-color lineage tracing strategy to track and isolate extraembryonic cells
GSE221362	200221362	G_TROP2_KD	Mus musculus	3	Expression profiling by high throughput sequencing	2024/04/04	24247	Extraembryonic gut endoderm cells undergo programmed cell death during development (scRNA-seq)	Despite a distinct developmental origin, extraembryonic cells in mice contribute to gut endoderm and converge to transcriptionally resemble their embryonic counterparts. Notably, extraembryonic progenitors share a non-canonical epigenome, raising several pertinent questions, including whether this landscape is reset to match the embryonic regulation and if these cells persist into later development. Here, we developed a two-color lineage tracing strategy to track and isolate extraembryonic cells
GSE250452	200250452	G_TROP2_KD	Mus musculus	2	Expression profiling by high throughput sequencing	2024/03/27	24247	A single cell survey of CD127+ immune cells and EpCAM+ epithelial cells from wild type mice and Gabbr1-deficient mice	To explore the role of GABAergic signaling in regulation of ILC3 function and intestinal tissue homeostasis, we performed single cell RNA sequencing to analyze intestinal CD127+ immune cells and EpCAM+ epithelial cells
GSE250366	200250366	G_TROP2_KD	Mus musculus	46	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	2024/03/01	21103	PRDM3/16 Regulate Chromatin Accessibility Required for NKX2-1 Mediated Alveolar Epithelial Differentiations and Function	This SuperSeries is composed of the SubSeries listed below.
GSE250363	200250363	G_TROP2_KD	Mus musculus	11	Expression profiling by high throughput sequencing	2024/03/01	21103	PRDM3/16 Regulate Chromatin Accessibility Required for NKX2-1 Mediated Alveolar Epithelial Differentiations and Function [bulk RNA-seq]	Differential chromatin accessibility accompanies and mediates transcriptional control of diverse cell fates and their differentiation during embryogenesis. While the critical role of NKX2-1 and its transcriptional targets in lung morphogenesis and pulmonary epithelial cell differentiation is increasingly known, mechanisms by which chromatin accessibility alters the epigenetic landscape and how NKX2-1 interacts with other co-activators required for alveolar epithelial cell differentiation and fun
GSE250359	200250359	G_TROP2_KD	Mus musculus	11	Genome binding/occupancy profiling by high throughput sequencing	2024/03/01	21103	PRDM3/16 Regulate Chromatin Accessibility Required for NKX2-1 Mediated Alveolar Epithelial Differentiations and Function [ATAC-seq]	Differential chromatin accessibility accompanies and mediates transcriptional control of diverse cell fates and their differentiation during embryogenesis. While the critical role of NKX2-1 and its transcritional targets in lung morphogenesis and pulmonary epithelial cell differentiation is increasingly known, mechanisms by which chromatin accessibility alters the epigenetic landscape to regulate NKX2-1 activites required for alveolar epithelial cell differentiation and function are not well und
GSE222711	200222711	G_TROP2_KD	Mus musculus	6	Expression profiling by high throughput sequencing	2024/02/28	19057	SOX17 initiates an immune evasion program in early colorectal cancers [scRNA-seq]	In addition to accumulation of step-wise genetic mutations, epigenetic alterations play critical roles in the evolution of colon cancers. However, distinct mutational patterns and patient backgrounds render it challenging to distinguish driver epigenetic alterations from passenger epigenetic alterations. To address this, we combined the colon cancer organoid orthotopic transplantation approach with comprehensive epigenomic and transcriptomic analyses. We found that an in vivo environment induces
GSE247775	200247775	G_TROP2_KD	Mus musculus	12	Expression profiling by high throughput sequencing	2024/01/02	24247	Tmprss2 maintains epithelial barrier integrity and transepithelial sodium transport	Membrane-bound serine proteases are well known regulators of ENaC. More recently, they have also been identified as regulators of tight junction complexes. Here, we demonstrate that within the kidney, the serine protease Tmprss2 is co-expressed with the alpha subunit of ENaC, whereas Furin is primarily expressed in ENaC-negative cortex cells. In mCCDcl1 kidney cells, aldosterone-induced ENaC and Scnn1a-specific overexpression is accompanied by increased Tmprss2 gene expression, whereas Scnn1a si
GSE250089	200250089	G_TROP2_KD	Homo sapiens	12	Expression profiling by high throughput sequencing	2023/12/22	24676	Immune evasion in lung metastasis of leiomyosarcoma: upregulation of EPCAM inhibits CD8⁺ T cell infiltration	Background: Leiomyosarcomas are among the most common histological types of soft tissue sarcoma (STS), with no effective treatment available for advanced patients. Lung metastasis, the most common site of distant metastasis, is the primary prognostic factor. We analysed the immune environment targeting lung metastasis of STS to explore new targets for immunotherapy. Methods: We analysed the immune environment of primary and lung metastases in 38 patients with STS using immunohistochemistry. Next
GSE229814	200229814	G_TROP2_KD	Mus musculus	20	Expression profiling by high throughput sequencing	2023/12/14	24247	Impact of Olfr78 Knockout on enteroendocrine cells and on colon homeostasis	This SuperSeries is composed of the SubSeries listed below.
GSE229812	200229812	G_TROP2_KD	Mus musculus	18	Expression profiling by high throughput sequencing	2023/12/14	24247	Impact of Olfr78 Knockout on enteroendocrine cells and on colon homeostasis [RNA-seq]	The gastrointestinal epithelium constitutes a chemosensory system for microbiota-derived metabolites such as Short Chain Fatty Acids (SCFA). In this study, we investigated spatial distribution of Olfr78, one of the SCFA receptors, in the mouse intestine and studied the transcriptome of colon enteroendocrine cells expressing Olfr78. The receptor is principally detected in the enterochromaffin and L subtypes in the proximal and distal colon, respectively. Using the Olfr78-GFP and VilCre/Olfr78flox
GSE237780	200237780	G_TROP2_KD	Homo sapiens	21	Expression profiling by high throughput sequencing	2023/12/07	24676	Generation of antigen-specific mature T cells from RAG1−/−RAG2−/−B2M−/− stem cells by engineering their microenvironment	Pluripotent stem cells (PSCs) present promising engineering opportunities as sources of allogeneic T cells for off-the-shelf immunotherapies. However, the complex in vitro process of differentiation required to generate mature T cells from genetically engineered PSCs introduces unique challenges, as positive selection is dependent on the same molecular machinery that must be removed to prevent alloreactivity. We report an organoid-based method in which engineering of the stromal microenvironment
GSE230329	200230329	G_TROP2_KD	Mus musculus	16	Expression profiling by high throughput sequencing	2023/08/22	19057	Effect of colonic epithelial knockout of tumor necrosis factor receptor 2 (TNFR2) in dextran sulfate sodium (DSS)-induced colitis	Colonic epithelial repair is a key determinant of health. After injury, repair initiates through phenotypic reprogramming of wounded epithelium to a regenerative state permissive for the activation of alternative stem cell populations and healing. Although cytokine signals such as interferons may help induce regenerative reprogramming, the signals that modify this state as the wound resolves remain largely unknown. Here we examined whether cytokine signaling mediated by tumor necrosis factor rec
GSE237751	200237751	G_TROP2_KD	Homo sapiens	6	Expression profiling by high throughput sequencing	2023/07/24	24676	HOXA3 functions as the on-off switch to regulate the development of hESC-derived third pharyngeal pouch endoderm through EPHB2-mediated Wnt pathway	Normal commitment of the endoderm of the third pharyngeal pouch (3PP) is essential for the development and differentiation of the thymus. The aim of this study was to investigate the role of transcription factor HOXA3 in the development and differentiation of the third pharyngeal pouch endoderm from human embryonic stem cells (hESCs). 3PP endoderm (3PPE) was differentiated from hESC-derived definitive endoderm (DE) by mimicking developmental queues with Activin A, WNT3A, retinoic acid and BMP4. 
