accession	gds_type	entrytype	taxon	n_samples	gpl	pdat	title	summary	suppfile	ftplink	matched_queries
GSE197162		GSE	Mus musculus	1	17021	2022/09/14	Lung tuft single cell transcriptomics	While the lung bears significant regenerative capacity, severe viral pneumonia can chronically impair lung function by triggering dysplastic remodeling. The connection between these enduring changes and chronic disease remains poorly understood. We recently described the emergence of tuft cells within Krt5+ dysplastic regions after influenza injury. Using bulk and single cell transcriptomics, we characterized and delineated multiple distinct tuft cell populations that arise following influenza clearance. Distinct from intestinal tuft cells which rely on Type 2 immune signals for their expansion, neither IL-25 nor IL-4Ra signaling are required to drive tuft cell development in dysplastic/injured lungs. Furthermore, tuft cells were also observed upon bleomycin injury, suggesting that their development may be a general response to severe lung injury. While intestinal tuft cells promote growth and differentiation of surrounding epithelial cells, in the lungs of tuft cell deficient mice, Krt5+ dysplasia still occurs, goblet cell production is unchanged, and there remains no appreciable contribution of Krt5+ cells into more regionally appropriate alveolar Type 2 cells. Together, these findings highlight unexpected differences in signals necessary for lung tuft cell amplification and establish a framework for future elucidation of tuft cell functions in pulmonary health and disease.	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197162/	Tacstd2 AND deficient
GSE197686		GSE	Mus musculus	10	17021	2022/11/07	ARID1A loss shapes immunosuppression tumor microenvironment via NF-kB induced MDSC chemotaxis to promote prostate Cancer metastasis [RNA-seq]	Chronic inflammation and immunosuppressive microenvironment promote prostate cancer (PCa) metastasis and diminish the responses to immune checkpoint blockade (ICB) therapies. However, it remains unclear how and to what extent these two events are coordinated. Here we show that ARID1A, a subunit of the SWI/SNF chromatin remodeling complex, functions downstream of inflammation induced IKKb activation to shape immunosuppressive tumor microenvironment (TME). Prostate-specific deletion of Arid1a cooperates with Pten loss to produce a metastasis-prone tumors. We identify that polymorphonuclear myeloid-derived suppressor cells (MDSCs) as the major infiltrating immune cell type to cause immune evasion, and neutralization of MDSCs restricts metastasis of Arid1a deficient tumors. Mechanistically, inflammation cues activate IKKβ to phosphorylate ARID1A, leading to its degradation via b-TRCP. ARID1A downregulation in turn silences the enhancer of A20 deubiquitinase, a critical negative regulator of NF-kB signaling, and thereby unleashing CXCR2 ligands-mediated MDSC chemotaxis. Importantly, our results support the therapeutic strategy of anti-NF-kB or CXCR2 combined with ICB for advanced PCa. Together, our findings highlight a critical role of ARID1A in MDSCs recruitment and demonstrate IKKb/ARID1A/NF-kB feedback axis integrating inflammation and the immunosuppression to drive PCa metastasis.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE197nnn/GSE197686/	Tacstd2 AND deficient
GSE200284		GSE	Mus musculus	1203	21626	2022/10/26	Intestinal epithelial inositol polyphosphate multikinase protects mice from experimental colitis via governing colonic tuft cell homeostasis	Intestinal homeostasis is dynamically coordinated by various types of epithelial cells fulfilling their specific functions. Tuft cells as chemosensory cells have emerged as key players of the host response, such as innate immunity. Tuft cells are also critical for the restoration of intestinal architecture upon damage, thereby contributing to inflammatory bowel diseases (IBDs) characterized by defective intestinal barrier integrity. However, the molecular mechanism of how tuft cell homeostasis is controlled remains obscure. Recent studies have identified single-nucleotide polymorphisms in the inositol polyphosphate multikinase (IPMK) gene associated with IBD predisposition. IPMK, an essential enzyme for inositol phosphate metabolism, has been known to mediate major biological events such as growth. To investigate the functional significance of IPMK in gut epithelium, we generated intestinal epithelial cell (IEC)-specific Ipmk knockout (IPMKΔIEC) mice. Whereas IPMKΔIEC mice developed normally and showed no intestinal abnormalities during homeostasis, Ipmk deletion aggravated dextran sulfate sodium (DSS)-induced colitis, with higher clinical colitis scores, and elevated epithelial barrier permeability. Surprisingly, no apparent defects in epithelial growth signaling pathway and inflammation were found in DSS-challenged, IPMK-deficient colons. Rather, Ipmk deletion led to a significant decrease in the number of tuft cells without influencing other intestinal epithelial cells. Ipmk deletion in the gut epithelium was found to reduce choline acetyltransferase but not cytokines (e.g., IL-25), suggesting selective loss of cholinergic signaling. Single-cell RNA-sequencing of mouse colonic tuft cells (EpCAM+/Siglec F+) and immunohistochemistry revealed three populations of tuft cells and further showed that, in IPMKΔIEC mice, a transcriptionally inactive tuft club cell population was markedly expanded, and neuronal-related tuft cells were relatively decreased, supporting the abnormal development of tuft cells without IPMK functions. Thus, IPMK acts as a physiological determinant of colonic tuft cell homeostasis, thereby mediating tissue regeneration upon injury.	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200284/	TACSTD2 AND knockout;Tacstd2 AND deficient;Tacstd2 AND mouse AND knockout
GSE200613		GSE	Mus musculus	7	19057	2022/10/10	BRCA mutational status shapes the stromal microenvironment of pancreatic cancer linking CLU+ CAF expression with HSF1 signaling (CAF)	Cancer-associated fibroblasts (CAFs) give rise to desmoplastic stroma, which supports tumor progression and metastasis, and comprises up to 90% of the tumor mass in pancreatic cancer. Recent work by us and others has shown that CAFs are transcriptionally rewired by adjacent cancer cells to form heterogeneous subtypes. Whether this rewiring is differentially affected by different driver mutations in cancer cells is largely unknown. Here we address this question by dissecting and comparing the stromal landscape of BRCA-mutated and BRCA Wild-type (WT) pancreatic ductal adenocarcinoma (PDAC). We comprehensively analyze PDAC samples from a cohort of 42 patients by laser-capture microdissection, RNA-sequencing and multiplexed immunofluorescence, revealing different CAF subtype compositions in germline BRCA-mutated vs. BRCA-WT tumors. In particular, we detect an increase in a subset of Clusterin (CLU)-positive CAFs in BRCA-mutated tumors. Using cancer organoids, co-cultures and in-vivo models we show that loss of BRCA function in cancer cells leads to a transcriptional shift of pancreatic stellate cells from myofibroblastic into immune-regulatory CLU+ CAFs. This process is mediated through activation of heat-shock factor 1 (HSF1), the transcriptional regulator of Clu. Our findings unravel a new dimension of stromal heterogeneity, influenced by germline mutations in cancer cells, with direct translational implications for clinical research.	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200613/	TACSTD2 AND shRNA
GSE205410		GSE	Mus musculus	47	28457;21103;17021	2025/03/12	Multiple subpopulations in medullary thymic epithelial cells are regulated by Aire with distinctive modes of gene regulations [bulkRNA-seq]	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in the bulk of medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Mechanisms for this process, however, remained incompletely understood, especially regarding the effects of Aire in each subpopulation in mTECs. Here, we combined single-cell multi-omics (scMulti-seq) technologies by which gene expression and open chromatin were simultaneously profiled from the same cell and deeper single-cell sequencing by RamDA-seq which enabled profiling of the minimum dropout. scMulti-seq effectively demonstrated the subpopulations among mTECs associated with diverse transcription factor activities which are affected by Aire and developmental stages, while RamDA-seq revealed the different modes of gene regulations by Aire in different subpopulations. Aire is not only essential for the development of a specific population in which Aire induces a set of genes in a stochastic manner but also promotes the development of multiple subpopulations in which Aire enhances the expressions of genes in a coordinated manner. The former group of Aire-induced genes was characterized by enhanced H3K27me3 chromatin modifications and Aire seems to unleash these silenced genes by deactivating polycomb repressive complex 2 (PRC2). We also found unique gene signatures for the neonatal stage such as high expression of chemokines and expression of cortical TEC (cTEC)-like genes in TECs, which were Aire-independent. Our approach has illuminated the multilayered transcriptional control in mTECs governing the multiple subpopulations organizing the thymic microenvironment.	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205410/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE205560		GSE	Mus musculus	8	30172	2025/03/12	Multiple subpopulations in medullary thymic epithelial cells are regulated by Aire with distinctive modes of gene regulations [scRNA-Seq and scATAC-Seq]	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in the bulk of medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Mechanisms for this process, however, remained incompletely understood, especially regarding the effects of Aire in each subpopulation in mTECs. Here, we combined single-cell multi-omics (scMulti-seq) technologies by which gene expression and open chromatin were simultaneously profiled from the same cell and deeper single-cell sequencing by RamDA-seq which enabled profiling of the minimum dropout. scMulti-seq effectively demonstrated the subpopulations among mTECs associated with diverse transcription factor activities which are affected by Aire and developmental stages, while RamDA-seq revealed the different modes of gene regulations by Aire in different subpopulations. Aire is not only essential for the development of a specific population in which Aire induces a set of genes in a stochastic manner but also promotes the development of multiple subpopulations in which Aire enhances the expressions of genes in a coordinated manner. The former group of Aire-induced genes was characterized by enhanced H3K27me3 chromatin modifications and Aire seems to unleash these silenced genes by deactivating polycomb repressive complex 2 (PRC2). We also found unique gene signatures for the neonatal stage such as high expression of chemokines and expression of cortical TEC (cTEC)-like genes in TECs, which were Aire-independent. Our approach has illuminated the multilayered transcriptional control in mTECs governing the multiple subpopulations organizing the thymic microenvironment.	H5, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205560/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE205882		GSE	Mus musculus	5	24247	2023/06/10	b1 integrin regulates epithelial proliferation and cell shape during alveolar repair	Integrins are extracellular matrix receptors comprised of an a and b subunit that connect and mediate signaling between cells and the surrounding matrix. In organogenesis of epithelial tissues, the b1 integrin subunit regulates essential epithelial cell functions, but the role of b1 integrin in epithelial repair is poorly understood. To define the role of b1 integrin during alveolar repair, we challenged b1 integrin deficient mice with intratracheal lipopolysaccharide, resulting in increased mortality with emphysematous lungs 21 days following injury. The alveolar barrier was repopulated with an overabundance of type 2 alveolar epithelial cells, with reduced numbers of elongated alveolar type 1 cells, suggesting b1 integrin is required for type 2 to type 1 epithelial transition. Consistent with this finding, b1 deficient type 2 epithelial cells proliferated at increased rates throughout repair, lacked actin-rich cellular protrusions necessary for lateral cellular extension, and exhibited transcriptomic dysregulation of adherens junction and actin polymerization pathways. Finally, we show that b1 integrin balances actin polymerization versus stabilization through GTPase activation. Taken together, these data support a novel role for b1 integrin in re-establishing the alveolar niche after injury through modulation of type 2 epithelial cell proliferation and cytoskeletal-dependent cell shape change.	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205882/	Tacstd2 AND deficient
GSE205991		GSE	Mus musculus	2148	28457;17021	2025/03/12	Multiple subpopulations in medullary thymic epithelial cells are regulated by Aire with distinctive modes of gene regulations [deep single-cell RNA-seq]	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in the bulk of medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Mechanisms for this process, however, remained incompletely understood, especially regarding the effects of Aire in each subpopulation in mTECs. Here, we combined single-cell multi-omics (scMulti-seq) technologies by which gene expression and open chromatin were simultaneously profiled from the same cell and deeper single-cell sequencing by RamDA-seq which enabled profiling of the minimum dropout. scMulti-seq effectively demonstrated the subpopulations among mTECs associated with diverse transcription factor activities which are affected by Aire and developmental stages, while RamDA-seq revealed the different modes of gene regulations by Aire in different subpopulations. Aire is not only essential for the development of a specific population in which Aire induces a set of genes in a stochastic manner but also promotes the development of multiple subpopulations in which Aire enhances the expressions of genes in a coordinated manner. The former group of Aire-induced genes was characterized by enhanced H3K27me3 chromatin modifications and Aire seems to unleash these silenced genes by deactivating polycomb repressive complex 2 (PRC2). We also found unique gene signatures for the neonatal stage such as high expression of chemokines and expression of cortical TEC (cTEC)-like genes in TECs, which were Aire-independent. Our approach has illuminated the multilayered transcriptional control in mTECs governing the multiple subpopulations organizing the thymic microenvironment.	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE205nnn/GSE205991/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE206236		GSE	Mus musculus	16	17021	2025/03/12	Multiple subpopulations in medullary thymic epithelial cells are regulated by Aire with distinctive modes of gene regulations [CUT&Tag]	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in the bulk of medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Mechanisms for this process, however, remained incompletely understood, especially regarding the effects of Aire in each subpopulation in mTECs. Here, we combined single-cell multi-omics (scMulti-seq) technologies by which gene expression and open chromatin were simultaneously profiled from the same cell and deeper single-cell sequencing by RamDA-seq which enabled profiling of the minimum dropout. scMulti-seq effectively demonstrated the subpopulations among mTECs associated with diverse transcription factor activities which are affected by Aire and developmental stages, while RamDA-seq revealed the different modes of gene regulations by Aire in different subpopulations. Aire is not only essential for the development of a specific population in which Aire induces a set of genes in a stochastic manner but also promotes the development of multiple subpopulations in which Aire enhances the expressions of genes in a coordinated manner. The former group of Aire-induced genes was characterized by enhanced H3K27me3 chromatin modifications and Aire seems to unleash these silenced genes by deactivating polycomb repressive complex 2 (PRC2). We also found unique gene signatures for the neonatal stage such as high expression of chemokines and expression of cortical TEC (cTEC)-like genes in TECs, which were Aire-independent. Our approach has illuminated the multilayered transcriptional control in mTECs governing the multiple subpopulations organizing the thymic microenvironment.	BW	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE206nnn/GSE206236/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE207704		GSE	Homo sapiens	8	24676	2023/04/19	Claudin-4–adhesion signaling drives breast cancer metabolism and progression via liver X receptor β	Cell adhesion molecules exhibit the signaling abilities to control a variety of physiological and pathological processes; however, the underlying molecular basis remains poorly defined. Here, we demonstrate that the claudin-4 (CLDN4)-adhesion signaling accelerates breast cancer metabolism and progression via the nuclear receptor LXRb (liver X receptor b). Knockout and rescue experiments revealed that the CLDN4 signaling targets S432 in LXRb, leading to enhanced cell proliferation and tumor growth in breast cancer cells. In addition, RT-qPCR analysis showed the CLDN4-regulated genes are classified into at least six groups by distinct LXRb- and LXRbS432-dependence. Collectively, our results provide a link between cell adhesion and nuclear receptor signalings to coordinate cancer metabolism and advancement.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207704/	CLDN4 AND CRISPR;CLDN4 AND knockout;claudin 4 AND knockout
GSE208585		GSE	Homo sapiens	12	24676	2022/07/21	CHD7 regulates otic lineage differentiation and sensory epithelium generation in human inner ear organoids	Mutations in the chromatin remodeling enzyme CHD7 cause CHARGE syndrome, which affects multiple organs including the inner ear. We investigated how CHD7 mutations affect otic development in human inner ear organoids. We found loss of CHD7 or its chromatin remodeling activity leads to complete absence of hair cells and supporting cells, which can be explained by dysregulation of key otic development-associated genes in mutant otic progenitors. Further analysis of the mutant otic progenitors suggested that CHD7 can regulate otic genes through a chromatin remodeling-independent mechanism. Results from transcriptome profiling of hair cells revealed disruption of deafness gene expression as a potential underlying mechanism of CHARGE-associated sensorineural hearing loss. Notably, co-differentiating CHD7 knockout and wild-type cells in chimeric organoids partially rescued mutant phenotypes by restoring otherwise severely dysregulated otic genes. Taken together, our results suggest that CHD7 plays a critical role in regulating human otic lineage differentiation and deafness gene expression.	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE208nnn/GSE208585/	TACSTD2 AND knockout
GSE212940		GSE	Mus musculus	2	30172	2022/11/07	ILC2 promote type 2 immunity in myeloid and epithelial cells of the lung (scRNAseq)	ILC2 contribute to tissue immunity by secreting large amounts of cytokines upon activation. However, their role in steady state tissue homeostasis remains incompletely explored. We tested the impact of ILC2 on tissue immunity in steady state the lungs by scRNA sequencing of myeloid and epithelial cells from mice specifically lacking ILC2 (Nmur1-Cre Id2 fl/fl). Transcripts typically associated with type 2 immunity were reduced in ILC2-deficient mice, indicating a non-redundant role of ILC2 for type 2 tissue immunity that cannot be compensated by other cell types. These findings highlight the importance of ILC2 for balancing tissue homeostasis in the healthy murine lung.	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE212nnn/GSE212940/	Tacstd2 AND deficient
GSE213103		GSE	Homo sapiens	8	15207	2024/05/01	Transcriptional profiling of human colon “cancer stem cell” populations (EpCAM+, CD44+, CD166+) following in vivo exposure to irinotecan.	"In human colon cancer, the malignant component of tumor tissues often contains multiple sub-types of cancer cells, whose transcriptional profiles and surface marker phenotypes correspond to those of the epithelial lineages that are found in normal colonic crypts (e.g., goblet cells, enterocytes, LGR5+ columnar basal cells). Among those various sub-types of malignant cells, those characterized by a surface marker phenotype that is characteristic of epithelial stem/progenitor cells residing at the bottom of colonic crypts (EpCAM+, CD44+, CD166+) are enriched in cells with ""cancer stem cell"" (CSC) properties, such as self-renewal (i.e., the capacity to sustain the formation of new tumors upon serial xeno-transplantation in immune-deficient animals) and multi-lineage differentiation (i.e., the capacity to sustain the formation of other cell-types, thus reconstituting the heterogeneous population of the parent tumors from which they have been isolated). Cell populations with ""cancer stem cell"" (CSC) properties are known to be preferentially resistant to several cytotoxic agents used in conventional chemotherapy, but the molecular mechanisms underpinning this property remain poorly understood. In this dataset, we report the analysis by gene-expression microarrays of the transcriptional profile of two sub-populations of human colon cancer cells: 1) cells with a ""bottom-of-the-crypt"" phenotype (EpCAM+, CD44+, CD166+), which are known to be enriched in ""cancer stem cells"" (CSCs); and 2) cells with a ""top-of-the-crypt"" phenotype (EpCAM+, CD44neg, CD166neg), which are known to be non-tumorigenic upon xeno-transplantation in immune-deficient mice. The two populations were purified in parallel by fluorescence activated cell sorting (FACS), starting from solid tumors established by sub-cutaneous (s.c.) engraftment in immune-deficient mice of a patient-derived xenograft (PDX) line representative of a moderately differentiated (G2) primary colon carcinoma. To identify genes whose expression is modulated by in vivo exposure to chemotherapy (and thus potentially involved in the mechanistic regulation of chemo-resistance), we compared the transcriptional profile of cells purified from tumors that were exposed to 4 weeks of in vivo treatment with either irinotecan (CPT-11) or a placebo control (saline solution)."	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213103/	Tacstd2 AND deficient
GSE213251		GSE	Mus musculus	8	17021	2022/11/07	ARID1A loss shapes immunosuppression tumor microenvironment via NF-kB induced MDSC chemotaxis to promote prostate Cancer metastasis [RNA-seq II]	Chronic inflammation and immunosuppressive microenvironment promote prostate cancer (PCa) metastasis and diminish the responses to immune checkpoint blockade (ICB) therapies. However, it remains unclear how and to what extent these two events are coordinated. Here we show that ARID1A, a subunit of the SWI/SNF chromatin remodeling complex, functions downstream of inflammation induced IKKb activation to shape immunosuppressive tumor microenvironment (TME). Prostate-specific deletion of Arid1a cooperates with Pten loss to produce a metastasis-prone tumors. We identify that polymorphonuclear myeloid-derived suppressor cells (MDSCs) as the major infiltrating immune cell type to cause immune evasion, and neutralization of MDSCs restricts metastasis of Arid1a deficient tumors. Mechanistically, inflammation cues activate IKKβ to phosphorylate ARID1A, leading to its degradation via b-TRCP. ARID1A downregulation in turn silences the enhancer of A20 deubiquitinase, a critical negative regulator of NF-kB signaling, and thereby unleashing CXCR2 ligands-mediated MDSC chemotaxis. Importantly, our results support the therapeutic strategy of anti-NF-kB or CXCR2 combined with ICB for advanced PCa. Together, our findings highlight a critical role of ARID1A in MDSCs recruitment and demonstrate IKKb/ARID1A/NF-kB feedback axis integrating inflammation and the immunosuppression to drive PCa metastasis.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213251/	Tacstd2 AND deficient
GSE213424		GSE	Mus musculus	2	24247	2022/10/28	ILC2 promote type 2 immunity in colonic epithelial cells during N. brasiliensis infection.	ILC2 contribute to tissue immunity by secreting large amounts of cytokines upon activation. However, their specific contribution to worm infection and epithelial remodeling remains incompletely understood. We tested the impact of ILC2 on tissue immunity in the colon of mice infected with the nematode Nippostronylus brasiliensis. We performed scRNA sequencing of colon epithelial cells from mice specifically lacking ILC2 (Nmur1-Cre Id2 fl/fl). Transcripts typically associated with type 2 immunity were reduced in ILC2-deficient mice, indicating a non-redundant role of ILC2 for type 2 tissue immunity in worm protection that cannot be compensated by other cell types. These findings highlight the importance of ILC2 for nematode control and type 2 tissue immunity.	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213424/	Tacstd2 AND deficient
GSE214085		GSE	Homo sapiens	23	18573;24676	2023/05/04	Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity	Multiomic single-cell analyses on human IPF lungs identify a global opening of TWIST1 and other E-box motifs in IPF myofibroblasts, with in vivo murine models confirming a critical regulatory function for TWIST1 in IPF myofibroblast activity.	BED, CSV, H5, TBI, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE214nnn/GSE214085/	TACSTD2 AND overexpression
GSE215387		GSE	Mus musculus	6	21626	2022/10/18	Extracellular galectin 4 drives immune evasion and promotes T-cell apoptosis in pancreatic cancer [RNA-Seq]	Pancreatic ductal adenocarcinoma (PDAC) is characterized by rich deposits of extracellular matrix (ECM), affecting the pathophysiology of the disease. Here, we identified galectin 4 (gal 4) as a cancer cell produced protein deposited into the ECM of PDAC tumors and detected high circulating levels of gal 4 in PDAC patients. In orthotopic transplantation experiments we observed increased infiltration of T-cells and prolonged survival in immunocompetent mice transplanted with cancer cells with reduced expression of gal 4. Increased survival was not observed in immunodeficient RAG1-/- mice, demonstrating that the effect was mediated by the adaptive immune system. Furthermore, by performing single-cell RNA-sequencing we found that the myeloid compartment and cancer-associated fibroblast (CAF) subtypes were altered in the transplanted tumors. Reduced gal 4 expression was associated with higher proportion of myofibroblastic CAFs and reduced numbers of inflammatory CAFs. We also found higher proportions of M1 macrophages, T-cells and antigen presenting dendritic cells in tumors with reduced gal 4 expression. Using a co-culture system, we observed that extracellular gal 4 induced apoptosis in T-cells by binding CD3, resulting in anergy or induction of apoptosis. Hence, we show that gal 4 is involved in immune evasion and identify gal 4 as a promising drug target for overcoming immunosuppression in PDAC.	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE215nnn/GSE215387/	TACSTD2 AND shRNA
GSE215388		GSE	Mus musculus	2	21626	2022/10/18	Extracellular galectin 4 drives immune evasion and promotes T-cell apoptosis in pancreatic cancer [scRNA-Seq]	Pancreatic ductal adenocarcinoma (PDAC) is characterized by rich deposits of extracellular matrix (ECM), affecting the pathophysiology of the disease. Here, we identified galectin 4 (gal 4) as a cancer cell produced protein deposited into the ECM of PDAC tumors and detected high circulating levels of gal 4 in PDAC patients. In orthotopic transplantation experiments we observed increased infiltration of T-cells and prolonged survival in immunocompetent mice transplanted with cancer cells with reduced expression of gal 4. Increased survival was not observed in immunodeficient RAG1-/- mice, demonstrating that the effect was mediated by the adaptive immune system. Furthermore, by performing single-cell RNA-sequencing we found that the myeloid compartment and cancer-associated fibroblast (CAF) subtypes were altered in the transplanted tumors. Reduced gal 4 expression was associated with higher proportion of myofibroblastic CAFs and reduced numbers of inflammatory CAFs. We also found higher proportions of M1 macrophages, T-cells and antigen presenting dendritic cells in tumors with reduced gal 4 expression. Using a co-culture system, we observed that extracellular gal 4 induced apoptosis in T-cells by binding CD3, resulting in anergy or induction of apoptosis. Hence, we show that gal 4 is involved in immune evasion and identify gal 4 as a promising drug target for overcoming immunosuppression in PDAC.	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE215nnn/GSE215388/	TACSTD2 AND shRNA
GSE221362		GSE	Mus musculus	3	24247	2024/04/04	Extraembryonic gut endoderm cells undergo programmed cell death during development (scRNA-seq)	Despite a distinct developmental origin, extraembryonic cells in mice contribute to gut endoderm and converge to transcriptionally resemble their embryonic counterparts. Notably, extraembryonic progenitors share a non-canonical epigenome, raising several pertinent questions, including whether this landscape is reset to match the embryonic regulation and if these cells persist into later development. Here, we developed a two-color lineage tracing strategy to track and isolate extraembryonic cells over time. We find that extraembryonic gut cells display substantial memory of their developmental origin including retention of their original DNA methylation landscape and resulting transcriptional signatures. Furthermore, we show that extraembryonic gut cells undergo programmed cell death and neighboring embryonic cells clear their remnants via non-professional phagocytosis. By midgestation, we no longer detect extraembryonic cells in the wild type gut while they persist and differentiate further in p53 mutant embryos. Our study provides key insights into the molecular and developmental fate of extraembryonic cells inside the embryo.	TAR	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221362/	TACSTD2 AND CRISPR
GSE222285		GSE	Mus musculus	23	17021;21273	2023/01/07	In-depth profiling of transcriptional activity of Aire in mouse mTECs	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Here, we utilized a technique for profiling transcriptome from a single cell (RamDA-seq) to investigate bulk populations in mTECs deeply.	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE222nnn/GSE222285/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE222711		GSE	Mus musculus	6	19057	2024/02/28	SOX17 initiates an immune evasion program in early colorectal cancers [scRNA-seq]	In addition to accumulation of step-wise genetic mutations, epigenetic alterations play critical roles in the evolution of colon cancers. However, distinct mutational patterns and patient backgrounds render it challenging to distinguish driver epigenetic alterations from passenger epigenetic alterations. To address this, we combined the colon cancer organoid orthotopic transplantation approach with comprehensive epigenomic and transcriptomic analyses. We found that an in vivo environment induces epigenetic alterations with fetal intestinal features that converge on SOX17, a transcription factor that is required for endoderm development. Surprisingly, SOX17 knockout leads to tumour rejection in immunocompetent mice, but not in immunodeficient mice, by turning immune cold tumours into hot with robust infiltration of activated CD8+ T cells. Mechanistically, SOX17 suppresses Ifngr1-mediated MHC-I expression to evade CD8+ T cell-mediated tumour cell killing. At the tumour initiation, SOX17 expression is induced by APC loss, and SOX17 facilitates the production of LGR5- cells with low MHC-I expression to evade immune surveillance. Together, our result reveals that SOX17 is a master transcriptional factor that induces in vivo epigenetic reprograming of tumours, which provides fundamental understanding of how an immune evasion program is initiated at the early stages of colon cancer development.	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE222nnn/GSE222711/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE22493		GSE	Homo sapiens	3	10555	2010/12/15	Comparisons of the global gene profile between CLDN4-overexpressing and CLDN4-silencing ovarian cancer cells.	A microarray analysis was performed to compare the global gene expression profile between CLDN4-overexpressing (Control) and CLDN4-silencing SKOV-3 ovarian cancer cells.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22493/	CLDN4 AND knockdown;CLDN4 AND overexpression;CLDN4 AND shRNA;CLDN4 AND siRNA;CLDN4 AND silencing
